Course,"Course Code",White,"African American",Latino/a,Asian
"Introduction To Psychology",PSY2201,3.46,3.15,3.23,3.51
"Research Methods In Psychology",PSY2204,3.36,3,3.04,3.65
"Statistics For Sociology",SOC3307,3.35,3,3.32,3.42
"Mind Brain Behvr Intgrtd View",PSY2210,3.44,3.35,3.38,3.5
"Contemp Sociology Theory",SOC3306,3.53,N<10,3.4,3.41
"Statistics For Psychology",PSY3307,3.51,N<10,3.39,3.37
"Soc Inequality Sport and Body",SOC4451,3.46,N<10,3.3,2.81
"Statistics For Sociology Lab",SOC3307L,3.56,3.1,3.45,3.63
"Soc Welfare Policy Issues",SW3310,3.64,N<10,3.43,N<10
"Multicultural Psychology",PSY3325,3.38,3.35,3.13,3.39
"Organizational Psychology",PSY3332,3.78,N<10,3.55,3.51
"Socialization,  Self and Socie",SOC4402,3.81,2.87,3.55,N<10
"Crime Criminalization Society",SOC3345,3.35,N<10,3.41,3.29
"Statistics For Psychology Act",PSY3307A,3.54,N<10,3.42,3.35
"Survey Research",PSY4444,3.67,N<10,3.47,3.63
"Social Work Practice",SW3301,N<10,N<10,3.35,N<10
"Social Strat and Inequality",SOC3309,3.79,3.5,3.65,3.64
"Social Work Pract Lab",SW3301L,N<10,N<10,3.37,N<10
"Research Methods In Sociology",SOC2205,3.51,2.94,3.42,3.59
"Basic Developmental Psychology",PSY3305,3.67,3.59,3.65,3.77
"Hr In Organizations",PSY3314,N<10,N<10,3.66,N<10
"Cognitive Processes",PSY3334,3.53,N<10,3.37,3.44
"Community and Urban Sociology",SOC3325,3.27,N<10,3.42,N<10
"Crm Theory",CRM3350,N<10,N<10,2.92,N<10
"Introduction To Criminology",CRM2201,3.68,N<10,3.51,3.81
"Impact Colonization On Hawaii",SOC4465,N<10,N<10,3.29,N<10
"Memory and Amnesia",PSY3335,2.81,N<10,3.19,3.47
"Careers In Psychology",PSY2222,3.82,N<10,3.83,3.77
"Intro Soc Work and Soc Welfare",SW2201,N<10,N<10,3.4,N<10
"Senior Seminar",PSY4611,3.64,3.56,3.61,3.81
"Classic Sociological Theory",SOC3305,3.77,3.55,3.71,3.8
"Senior Symposium",SOC4611,3.43,3.45,3.59,3.33
"Abnormal Psychology",PSY4150,3.3,2.69,3.14,3.49
"Latina and O Sociology",SOC3313,N<10,N<10,3.4,N<10
"Basic Counseling Skills",PSY4170,3.46,3.25,3.44,3.63
"Leadership and Teams",PSY4490,N<10,N<10,3.74,N<10
"Political Violence",CRM3380,N<10,N<10,3.2,N<10
"Sociology of The Family",SOC3321,3.55,N<10,3.16,N<10
"Qualitative Mthds In Psych Act",PSY4404A,3.79,N<10,3.54,3.54
"Quantitative Mthds Soclgy Lab",SOC4100L,3.57,N<10,3.55,N<10
"Psychology of Women",PSY3322,3.69,N<10,3.57,3.67
"Immigration and Migration",SOC3350,3.92,3.85,3.91,4
"Family Violence",SW3322,3.74,N<10,3.56,3.63
"Child Psych,  Early Childhood",PSY3310,3.52,3.28,3.59,3.58
"Quantitative Mthds Sociology",SOC4100,3.64,N<10,3.61,N<10
"Survey Research Act",PSY4444A,3.85,N<10,3.52,3.67
"Gender and Sexuality",SOC3328,3.77,3.21,3.65,3.54
"Community Psychology",PSY4250,N<10,N<10,2.99,N<10
"Theories of Counseling",PSY4121,N<10,N<10,2.95,N<10
"Experimental Psychology",PSY4433,3.17,3,3.13,3.35
"Probation and Parole",CRM3320,3.49,N<10,3.19,3.37
"Juvenile Delinquency",CRM3360,N<10,N<10,3.18,N<10
"Human Sexuality,  Relationship",PSY4455,3.5,3.41,3.33,3.62
"Rsrch Methods In Criminology",CRM2205,N<10,N<10,2.94,N<10
"Qualitative Methods In Psych",PSY4404,3.71,N<10,3.16,3.62
"Human Rights",SW4440,N<10,N<10,3.2,N<10
"Program Evaluation",PSY4430,3.7,N<10,3.61,3.77
"Contemp Treat of Law Violators",CRM3318,N<10,N<10,3.39,N<10
"Crime Analysis Activity",CRM3306A,N<10,N<10,3.38,N<10
Policing,CRM3319,N<10,N<10,3.13,3.62
"Crime Analysis",CRM3306,N<10,N<10,3.69,N<10
"Experimental Psychology Act",PSY4433A,3.17,2.97,3.13,3.35
"Black Sociology",SOC3314,3.18,N<10,3.27,N<10
"Program Evaluation Lab",PSY4430A,3.7,N<10,3.6,3.77
"Adolescent Psychology",PSY3312,3.75,N<10,3.67,3.71
"Child Psychology For Educators",PSY2206,N<10,N<10,3.55,N<10
"Qualitative Methods For Soc",SOC4110,3.91,N<10,3.73,3.6
"Sociology of Education",SOC3360,N<10,N<10,3.31,N<10
Internship,SW4411,3.56,N<10,4,N<10
"Introduction To Sociology",SOC2201,3.65,3.35,3.48,3.64
"Senior Symposium",CRM4611,N<10,N<10,3.7,N<10
"Health Psychology",PSY3326,3.69,3.54,3.59,3.65
"Qual Mthds For Soclgy Lab",SOC4110L,3.91,N<10,3.76,3.6
"Race and Ethnic Relations",SOC3320,3.2,2.67,3.17,3.19
"Media and Crime",CRM3390,3.54,2.82,3.3,3.6
"Technology and Society",SOC4440,3.8,N<10,3.84,3.67
"Social Psychology",PSY4401,3.86,N<10,3.64,3.67
"Spec Study For Ud Students",PSY4000,N<10,N<10,4,4
"Medical Social Work",SW3320,N<10,N<10,3.61,N<10

