Course,"Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap"
"General Psychology",PSY201,399,"1,153",2.75,2.98,0.23
"Principles of Psychology I",PSY202,107,231,2.11,2.52,0.41
"Principles of Sociology",SOC201,178,466,2.32,2.5,0.17
"Human Sexual Behav,  Relatnshi",PSY455,130,325,2.81,3.04,0.23
"Exper Psy and Res Meth and Des",PSY433,59,133,2.57,2.89,0.32
"Exper Psy and Res Meth and Des",PSY433L,59,133,2.79,3.11,0.32
"Abnormal Psychology",PSY415,56,178,2.76,2.98,0.22
"Health Psychology",PSY326,130,300,3.05,2.96,-0.09
"Cognitive Processes",PSY334,43,100,2.36,2.62,0.26
"Mind, Brain, and Behavior",PSY210,167,372,2.36,2.43,0.07
"Program Evaluation",PSY430,28,72,3.1,3.45,0.36
"Politics As A Soc Institution",SOC322,16,45,2.63,3.19,0.57
"Psychology of Personality",PSY403,42,99,2.46,2.7,0.24
"Principles of Sociology",SOC202,74,110,2.72,2.87,0.15
"Child Psych,  The Middle Years",PSY311,38,58,3.16,3.42,0.26
"Adolescent Psychology",PSY312,32,63,2.96,3.22,0.26
"Theories of Learning",PSY402,18,53,1.63,1.29,-0.34
"Senior Seminar",PSY498,48,121,3.65,3.51,-0.14
"Survey Research",SOC444,21,62,3.03,3.32,0.28
"Statistics For The Social Scie",PSY307,42,97,2.89,3.06,0.17
"Multicultural Psychology",PSY325,70,157,3.08,3.18,0.1
"Juvenile Delinquency",SOC360,55,80,3.36,3.2,-0.17
"Gender and Sexuality",SOC328,41,55,3.52,3.3,-0.22
"Research Methods In Sociolgy I",SOC204,51,75,2.88,3.02,0.15
"Research Methods In Psychology",PSY204,55,98,2.69,2.79,0.11
"Child Psych For Educators",PSY206,22,43,2.62,2.86,0.24
"Child Psych,  Early Childhood",PSY310,30,66,2.9,3.06,0.16
"Social Change",SOC340,15,28,3.22,2.87,-0.35
"Rsrch Methods In Sociology II",SOC205,50,65,3.69,3.56,-0.13
"Sociology of Minority Commun",SOC323,47,47,3.56,3.41,-0.15
"Theories of Counseling",PSY412,21,53,2.67,2.85,0.18
"Socialization,  Self and Socie",SOC402,57,81,3.21,3.12,-0.09
"Survey Research Activity",SOC444A,21,62,3.33,3.48,0.14
"Senior Seminar",SOC498,42,64,3.36,3.46,0.1
"Statistics For Social Sci Act",SOC307A,56,88,3.52,3.44,-0.08
"Statistics For The Social Sci",SOC307,56,88,3.51,3.44,-0.07
"Probation and Parole",SW320,23,25,3.13,2.92,-0.21
"Contemporary Social Problems",SOC301,51,99,2.88,2.82,-0.07
"Social Psychology",PSY401,74,150,2.88,2.92,0.04
"Collective Behavior and Soc Mo",SOC350,14,33,2.83,3.02,0.19
"History and Systems",PSY410,28,66,2.67,2.58,-0.09
"Psychology of Women",PSY322,55,77,2.33,2.27,-0.06
"Ethnic Relations In America",SOC320,37,56,2.89,2.82,-0.08
"Classical Sociological Theory",SOC305,57,87,2.99,2.94,-0.05
"Family Violence",SW322,36,60,3.19,3.27,0.07
"Survey of Social Welfare",SW300,29,42,3.45,3.36,-0.09
"Soc Welfare Policies and Issue",SW431,23,22,3.55,3.68,0.14
"Industrial and Organizatio Psy",PSY332,13,35,3.2,3.32,0.12
"The Psychology of Identity",PSY321,10,38,3,2.88,-0.12
"Field Work",SW402,39,44,3.89,3.95,0.06
"Community Psychology",PSY425,18,30,3.15,3.04,-0.1
"Social Work Practice",SW301,33,40,3.23,3.3,0.07
"Statistics For Social Sci Act",PSY307A,42,97,3.22,3.25,0.03
Criminology,SOC302,44,90,2.74,2.77,0.03
"Death and Dying",SW470,18,30,3.39,3.47,0.08
"Treatment of Law Violators",SW318,43,46,3.03,2.99,-0.04
"Social Stratificationand Inequ",SOC309,63,76,3.02,3,-0.03
"Urban Sociology",SOC401,39,62,2.96,2.92,-0.03
"Prin of Behavorial Management",PSY450,12,16,3.06,2.96,-0.1
"Basic Developmental Psychology",PSY305,41,55,3.42,3.4,-0.02
"Contemporary Sociological Thry",SOC306,48,81,3.21,3.2,-0.01
"Technology and Society",SOC440,11,23,3.03,3.05,0.02
"Spec Study Ud Students",PSY400,17,14,4,4,-0

