Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"General Psychology",PSY201,868,956,2.76,2.71,0.05
"Principles of Sociology",SOC201,304,235,2.64,2.66,-0.01
"Principles of Psychology I",PSY202,190,75,2.13,2.08,0.05
"Juvenile Delinquency",SOC360,105,35,3.27,2.91,0.36
"Socialization,  Self and Socie",SOC402,89,34,3.33,2.93,0.4
"Abnormal Psychology",PSY415,194,93,2.72,2.69,0.04
"Research Methods In Psychology",PSY204,89,36,2.88,2.7,0.18
"Human Sexual Behav,  Relatnshi",PSY455,508,396,2.88,2.65,0.23
"Family As A Social Institution",SOC321,32,N<10,2.74,N<10,N/A
"Basic Developmental Psychology",PSY305,103,40,2.79,2.67,0.12
"Mind, Brain, and Behavior",PSY210,158,113,2.32,2.29,0.04
"Adolescent Psychology",PSY312,73,21,2.96,2.79,0.16
"Senior Seminar",SOC498,77,33,3.4,3.01,0.39
"Basic Counseling Skills",PSY417,68,29,3.24,3.04,0.21
"Survey Research Activity",SOC444A,37,17,3.48,2.92,0.56
Criminology,SOC302,90,48,2.72,2.38,0.34
"Principles of Sociology",SOC202,67,30,2.37,2.45,-0.08
"Survey of Social Welfare",SW300,27,N<10,3.24,N<10,N/A
"Exper Psy and Res Meth and Des",PSY433L,100,43,3.01,2.78,0.23
"Classical Sociological Theory",SOC305,100,39,2.46,2.66,-0.19
"Social Stratificationand Inequ",SOC309,95,34,2.81,2.86,-0.05
"Psychology of Personality",PSY403,69,27,2.72,2.36,0.36
"Exper Psy and Res Meth and Des",PSY433,100,43,3.01,2.78,0.23
"Urban Sociology",SOC401,22,N<10,3.47,N<10,N/A
"Child Psych,  Early Childhood",PSY310,72,23,3.04,2.93,0.11
"Sociology of Minority Commun",SOC323,81,36,3.34,3.09,0.25
"Treatment of Law Violators",SW318,21,N<10,3.38,N<10,N/A
"Child Psych,  The Middle Years",PSY311,39,N<10,2.44,N<10,N/A
"Survey Research",SOC444,37,17,3.27,2.88,0.39
"Ethnic Relations In America",SOC320,66,34,3.04,2.73,0.31
"Social Work Practice",SW301,55,15,3.38,3.45,-0.07
"Gender and Sexuality",SOC328,68,17,3.12,2.77,0.35
"Politics As A Soc Institution",SOC322,29,19,2.67,2.77,-0.11
"Theories of Learning",PSY402,49,29,2.04,1.9,0.14
"Statistics For The Social Sci",SOC307,80,33,3.65,3.48,0.17
"Statistics For Social Sci Act",SOC307A,80,33,3.65,3.48,0.17
"Death and Dying",SW470,41,N<10,3.43,N<10,N/A
"Industrial and Organizatio Psy",PSY332,64,31,3.51,3.71,-0.2
"Rsrch Methods In Sociology II",SOC205,54,21,3.76,3.59,0.17
"Research Methods In Sociolgy I",SOC204,39,11,3.05,2.97,0.08
"Leadership and Teams",PSY490,33,15,3.35,2.98,0.38
"Spec Topics Ud Students",SOC499,54,15,3.38,2.81,0.57
"Organizational Change and Inte",PSY452,36,12,3.64,3.64,-0
"Senior Seminar",PSY498,107,39,3.57,3.41,0.16
"Statistics For The Social Scie",PSY307,116,28,3,3.06,-0.06
"Statistics For Social Sci Act",PSY307A,116,28,3,3.06,-0.06
"Family Violence",SW322,107,34,3.45,3.33,0.11
"Program Evaluation",PSY430,73,24,3.39,3.43,-0.04
"Theories of Counseling",PSY412,28,20,3.5,3.3,0.2
"Child Psych For Educators",PSY206,45,N<10,2.33,N<10,N/A
"The Psychology of Identity",PSY321,26,22,3.2,2.88,0.32
"Community Psychology",PSY425,36,13,2.9,3.19,-0.3
"Human Relations",PSY314,16,N<10,3.79,N<10,N/A
"Contemporary Social Problems",SOC301,69,39,3.07,2.87,0.2
"Social Psychology",PSY401,98,29,2.96,2.99,-0.03
"Psychology of Women",PSY322,36,11,2.87,2.42,0.45
"Contemporary Sociological Thry",SOC306,80,35,3.54,3.4,0.14
"Probation and Parole",SW320,75,19,3.36,3.05,0.31
"Soc Welfare Policies and Issue",SW431,23,N<10,3.72,N<10,N/A
"Cognitive Processes",PSY334,94,47,2.87,2.44,0.42
"Multicultural Psychology",PSY325,207,113,3.01,3,0.01
"Health Psychology",PSY326,309,265,3.15,2.93,0.23
"Field Work",SW402,50,10,4,4,-0

