Course,"Course Code",White,"African American",Latino/a,Asian
"Introduction To Psychology",PSY2201,113,36,570,157
"Introduction To Sociology",SOC2201,44,14,348,88
"Multicultural Psychology",PSY3325,61,11,292,74
"Abnormal Psychology",PSY4150,47,N<10,232,58
"Research Methods In Sociology",SOC2205,32,15,281,29
"Gender and Sexuality",SOC3328,24,16,200,14
"Cognitive Processes",PSY3334,25,N<10,198,44
"Senior Seminar",PSY4611,33,12,160,28
"Basic Counseling Skills",PSY4170,33,15,148,31
"Soc Inequality Sport and Body",SOC4451,17,N<10,58,13
"Basic Developmental Psychology",PSY3305,42,10,237,59
"Senior Symposium",SOC4611,13,12,146,15
"Theories of Counseling",PSY4121,16,N<10,106,18
"Statistics For Sociology",SOC3307,20,23,235,28
"Careers In Psychology",PSY2222,31,N<10,175,42
"Statistics For Psychology",PSY3307,33,13,171,38
"Juvenile Delinquency",CRM3360,N<10,N<10,80,N<10
"Human Sexuality,  Relationship",PSY4455,104,22,410,124
"Social Psychology",PSY4401,46,N<10,236,44
"Probation and Parole",CRM3320,N<10,N<10,105,13
"Psychology of Personality",PSY4403,24,13,140,27
"Social Strat and Inequality",SOC3309,36,17,271,33
"Latina and O Sociology",SOC3313,N<10,N<10,116,N<10
"Race and Ethnic Relations",SOC3320,23,N<10,130,12
"Contemp Sociology Theory",SOC3306,25,17,243,25
"Program Evaluation Lab",PSY4430A,16,N<10,71,16
"Statistics For Psychology Act",PSY3307A,33,13,171,38
"Crime Criminalization Society",SOC3345,22,10,157,18
"Statistics For Sociology Lab",SOC3307L,20,23,234,28
"Qualitative Methods In Psych",PSY4404,N<10,N<10,24,N<10
"Black Sociology",SOC3314,N<10,13,24,N<10
"Classic Sociological Theory",SOC3305,33,19,314,32
"Program Evaluation",PSY4430,16,N<10,71,16
"Introduction To Criminology",CRM2201,36,21,323,40
"Crime Analysis Activity",CRM3306A,N<10,N<10,32,N<10
"Quantitative Mthds Soclgy Lab",SOC4100L,N<10,N<10,54,N<10
"Adolescent Psychology",PSY3312,26,12,118,25
"Qualitative Methods For Soc",SOC4110,12,N<10,72,10
"Research Methods In Psychology",PSY2204,24,12,95,26
"Social Work Practice",SW3301,N<10,N<10,46,N<10
"Quantitative Mthds Sociology",SOC4100,N<10,N<10,54,N<10
"Health Psychology",PSY3326,32,N<10,182,52
"Qualitative Mthds In Psych Act",PSY4404A,N<10,N<10,24,N<10
"Community and Urban Sociology",SOC3325,18,13,111,17
"Survey Research Act",PSY4444A,13,N<10,58,N<10
"Mind Brain Behvr Intgrtd View",PSY2210,29,10,124,32
"Crime Analysis",CRM3306,N<10,N<10,32,N<10
"Soc Welfare Policy Issues",SW3310,13,N<10,83,N<10
"Contemp Treat of Law Violators",CRM3318,11,N<10,64,N<10
"Impact Colonization On Hawaii",SOC4465,N<10,N<10,27,N<10
"Sociology of Education Svc Lrn",SOC3360S,N<10,N<10,33,N<10
"Intro Soc Work and Soc Welfare",SW2201,21,10,231,22
Policing,CRM3319,N<10,N<10,72,10
"Experimental Psychology",PSY4433,33,13,160,34
"Experimental Psychology Act",PSY4433A,33,13,160,34
"Organizational Psychology",PSY3332,28,N<10,151,25
"Child Psychology For Educators",PSY2206,N<10,N<10,30,N<10
Internship,SW4411,N<10,N<10,92,N<10
"Psychology of Women",PSY3322,N<10,N<10,29,N<10
"Industrial Psychology",PSY3333,18,N<10,46,10
"Survey Research",PSY4444,13,N<10,58,N<10
"Family Violence",SW3322,15,N<10,147,11
"Spec Study For Ud Students",SOC4000,N<10,N<10,20,N<10
"Socialization,  Self and Socie",SOC4402,21,11,189,15
"Child Psych,  Early Childhood",PSY3310,21,N<10,123,23
"Social Work Pract Lab",SW3301L,N<10,N<10,46,N<10
"Memory and Amnesia",PSY3335,22,N<10,145,27
"Community Psychology",PSY4250,N<10,N<10,29,N<10
"Spec Study For Ud Students",PSY4000,18,N<10,19,N<10
"Child Psych,  Mid Childhood",PSY3311,N<10,N<10,29,N<10
"Theories of Learning",PSY4402,10,N<10,39,14
"Qual Mthds For Soclgy Lab",SOC4110L,12,N<10,72,10
"Death and Dying",SW4470,N<10,N<10,47,N<10

