Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"General Psychology",PSY201,830,994,2.61,2.84,0.24
"Principles of Sociology",SOC201,275,264,2.53,2.77,0.24
"Principles of Psychology I",PSY202,143,122,2.06,2.18,0.12
"Juvenile Delinquency",SOC360,94,46,3.23,3.09,-0.13
"Socialization,  Self and Socie",SOC402,81,42,3.35,2.98,-0.37
"Abnormal Psychology",PSY415,159,128,2.62,2.83,0.21
"Research Methods In Psychology",PSY204,71,54,2.72,2.96,0.23
"Human Sexual Behav,  Relatnshi",PSY455,469,435,2.79,2.77,-0.02
"Family As A Social Institution",SOC321,29,11,2.66,3.24,0.59
"Basic Developmental Psychology",PSY305,75,68,2.75,2.76,0.02
"Mind, Brain, and Behavior",PSY210,126,145,2.24,2.37,0.13
"Adolescent Psychology",PSY312,50,44,3,2.83,-0.17
"Senior Seminar",SOC498,65,45,3.31,3.25,-0.06
"Basic Counseling Skills",PSY417,47,50,3.13,3.24,0.11
"Survey Research Activity",SOC444A,28,26,3.08,3.55,0.46
Criminology,SOC302,77,61,2.61,2.6,-0.01
"Principles of Sociology",SOC202,56,41,2.34,2.47,0.13
"Survey of Social Welfare",SW300,26,N<10,3.25,N<10,N/A
"Exper Psy and Res Meth and Des",PSY433L,73,70,2.82,3.06,0.24
"Classical Sociological Theory",SOC305,89,50,2.43,2.68,0.25
"Social Stratificationand Inequ",SOC309,81,48,2.77,2.92,0.14
"Psychology of Personality",PSY403,43,53,2.77,2.5,-0.27
"Exper Psy and Res Meth and Des",PSY433,73,70,2.82,3.06,0.23
"Urban Sociology",SOC401,24,N<10,3.31,N<10,N/A
"Child Psych,  Early Childhood",PSY310,52,43,2.98,3.05,0.07
"Sociology of Minority Commun",SOC323,72,45,3.25,3.27,0.02
"Treatment of Law Violators",SW318,14,15,3.36,3.31,-0.05
"Child Psych,  The Middle Years",PSY311,26,22,2.4,2.38,-0.02
"Survey Research",SOC444,28,26,2.88,3.46,0.58
"Ethnic Relations In America",SOC320,55,45,2.95,2.9,-0.05
"Social Work Practice",SW301,47,23,3.27,3.65,0.38
"Gender and Sexuality",SOC328,48,37,3.06,3.03,-0.03
"Politics As A Soc Institution",SOC322,30,18,2.61,2.87,0.26
"Theories of Learning",PSY402,38,40,2.02,1.95,-0.07
"Statistics For The Social Sci",SOC307,71,42,3.52,3.74,0.22
"Statistics For Social Sci Act",SOC307A,71,42,3.52,3.74,0.22
"Death and Dying",SW470,31,14,3.45,3.38,-0.07
"Industrial and Organizatio Psy",PSY332,56,39,3.52,3.66,0.14
"Rsrch Methods In Sociology II",SOC205,44,31,3.68,3.76,0.07
"Research Methods In Sociolgy I",SOC204,33,17,2.86,3.37,0.51
"Leadership and Teams",PSY490,19,29,3.39,3.14,-0.25
"Spec Topics Ud Students",SOC499,50,19,3.15,3.54,0.4
"Organizational Change and Inte",PSY452,28,20,3.63,3.65,0.02
"Senior Seminar",PSY498,70,76,3.43,3.62,0.19
"Statistics For The Social Scie",PSY307,85,59,2.96,3.08,0.12
"Statistics For Social Sci Act",PSY307A,85,59,2.96,3.08,0.12
"Family Violence",SW322,88,53,3.48,3.31,-0.18
"Program Evaluation",PSY430,44,53,3.39,3.41,0.02
"Theories of Counseling",PSY412,25,23,3.38,3.46,0.09
"Child Psych For Educators",PSY206,29,19,2.39,2.33,-0.06
"The Psychology of Identity",PSY321,22,26,3.02,3.08,0.06
"Community Psychology",PSY425,21,28,2.9,3.02,0.12
"Human Relations",PSY314,11,11,3.67,3.79,0.12
"Contemporary Social Problems",SOC301,56,52,2.81,3.2,0.39
"Social Psychology",PSY401,64,63,2.92,3.02,0.09
"Psychology of Women",PSY322,34,13,2.78,2.72,-0.07
"Contemporary Sociological Thry",SOC306,69,46,3.47,3.55,0.08
"Probation and Parole",SW320,70,24,3.25,3.46,0.21
"Soc Welfare Policies and Issue",SW431,16,N<10,3.65,N<10,N/A
"Cognitive Processes",PSY334,69,72,2.47,2.96,0.49
"Multicultural Psychology",PSY325,175,145,2.96,3.07,0.11
"Health Psychology",PSY326,272,302,2.99,3.1,0.11
"Field Work",SW402,46,14,4,4,-0

