Course,"Course Code",White,"African American",Latino/a,Asian
"Introduction To Psychology",PSY2201,3.16,2.12,2.51,2.92
"Introduction To Sociology",SOC2201,2.47,2.26,2.07,2.14
"Human Sexuality,  Relationship",PSY4455,3.09,2.62,2.78,2.9
"Theories of Learning",PSY4402,2.67,N<10,2.27,2.52
"Abnormal Psychology",PSY4150,3.31,2.73,2.77,2.81
"Multicultural Psychology",PSY3325,3.09,2.73,2.85,2.97
"Basic Developmental Psychology",PSY3305,3.19,2.9,2.92,2.99
"Race and Ethnic Relations",SOC3320,N<10,3.11,2.7,2.91
"Mind Brain Behvr Intgrtd View",PSY2210,2.94,N<10,2.62,3.02
"Juvenile Delinquency",CRM3360,3.09,N<10,2.57,2.77
"Crime Criminalization Society",SOC3345,3.08,2.76,2.75,2.99
"Socialization,  Self and Socie",SOC4402,2.88,2.8,2.74,2.77
"Adolescent Psychology",PSY3312,3.38,2.9,2.77,3.19
"Social Strat and Inequality",SOC3309,3.5,3.16,3.22,3.38
"Intro Soc Work and Soc Welfare",SW2201,N<10,N<10,3.29,N<10
"Program Evaluation Lab",PSY4430A,3.39,N<10,2.45,2.13
"Statistics For Psychology Act",PSY3307A,3.26,2.64,2.86,3.35
"Gender and Sexuality",SOC3328,3.44,N<10,3.14,2.53
"Contemp Treat of Law Violators",CRM3318,N<10,N<10,2.3,N<10
"Experimental Psychology",PSY4433,3.19,N<10,3.03,3.14
"Qual Mthds For Soclgy Lab",SOC4110L,N<10,N<10,3.08,N<10
"Classic Sociological Theory",SOC3305,3.1,2.8,2.8,2.78
"Statistics For Psychology",PSY3307,3.11,2.33,2.74,3.19
"Statistics For Sociology",SOC3307,2.96,N<10,3.19,2.73
"Experimental Psychology Act",PSY4433A,3.2,N<10,3.04,3.16
"Cognitive Processes",PSY3334,3.11,2.33,2.71,2.78
"Social Psychology",PSY4401,3.18,2.83,3.04,3.16
"Qualitative Methods For Soc",SOC4110,N<10,N<10,3.11,N<10
"Spec Topic For Ud Students",PSY4990,N<10,N<10,3.26,N<10
"Social Work Practice",SW3301,N<10,N<10,3.5,N<10
"Social Work Pract Lab",SW3301L,N<10,N<10,3.5,N<10
"Organizational Psychology",PSY3332,3.57,3.23,3.21,3.32
"Program Evaluation",PSY4430,3.25,N<10,2.38,1.97
"Psychology of Identity",PSY3321,N<10,N<10,2.28,N<10
"Statistics For Sociology Lab",SOC3307L,3.19,N<10,3.38,2.87
"Senior Seminar",PSY4611,3.79,N<10,3.53,3.43
"Family Violence",SW3322,3.64,N<10,3.27,N<10
"Basic Counseling Skills",PSY4170,3.39,N<10,2.92,N<10
"Health Psychology",PSY3326,3.08,3.09,2.94,2.85
"Contemp Sociology Theory",SOC3306,3.33,N<10,3.19,2.9
"Child Psychology For Educators",PSY2206,2.91,N<10,2.76,N<10
"Research Methods In Sociology",SOC2205,3.36,3.25,3.13,3.13
"Soc Welfare Policy Issues",SW3310,N<10,N<10,3.33,N<10
"Soc Inequality Sport and Body",SOC4451,N<10,N<10,3.22,N<10
"Probation and Parole",CRM3320,3.62,N<10,3,3.3
"Senior Symposium",SOC4611,2.97,N<10,3.1,2.89
"Qualitative Methods In Psych",PSY4404,N<10,N<10,3.86,N<10
"Qualitative Mthds In Psych Act",PSY4404A,N<10,N<10,3.86,N<10
"Child Psych,  Early Childhood",PSY3310,3.4,N<10,2.9,3.11
"Technology and Society",SOC4440,N<10,N<10,2.14,N<10
"Research Methods In Psychology",PSY2204,2.72,N<10,2.63,2.71
"Quantitative Mthds Sociology",SOC4100,N<10,N<10,2.92,N<10
"Quantitative Mthds Soclgy Lab",SOC4100L,N<10,N<10,2.92,N<10
"Community and Urban Sociology",SOC3325,N<10,N<10,3.01,N<10
"Spec Study For Ud Students",PSY4000,3.82,N<10,4,4
"Psychology of Personality",PSY4403,N<10,N<10,2.87,N<10
"Theories of Counseling",PSY4121,N<10,N<10,2.94,N<10
"Latina and O Sociology",SOC3313,N<10,N<10,3.18,N<10
"Careers In Psychology",PSY2222,4,N<10,4,N<10
Internship,SW4411,N<10,N<10,3.97,N<10

