"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2015 - Spring",PSY201,"General Psychology",534,8%,45
"2015 - Spring",PSY202,"Principles of Psychology I",90,29%,26
"2015 - Spring",PSY455,"Human Sexual Behav,  Relatnshi",294,8%,24
"2015 - Spring",SOC201,"Principles of Sociology",180,10%,18
"2015 - Spring",PSY210,"Mind, Brain, and Behavior",91,16%,15
"2015 - Spring",PSY402,"Theories of Learning",45,31%,14
"2015 - Spring",PSY326,"Health Psychology",189,6%,11
"2015 - Spring",PSY206,"Child Psych For Educators",48,21%,10
"2015 - Spring",PSY325,"Multicultural Psychology",125,8%,10
"2015 - Spring",SOC301,"Contemporary Social Problems",64,13%,8
"2015 - Spring",PSY307,"Statistics For The Social Scie",48,15%,7
"2015 - Spring",PSY307A,"Statistics For Social Sci Act",48,15%,7
"2015 - Spring",PSY334,"Cognitive Processes",48,10%,5
"2015 - Spring",PSY415,"Abnormal Psychology",96,5%,5
"2015 - Spring",SOC402,"Socialization,  Self and Socie",43,9%,4
"2015 - Spring",SOC320,"Ethnic Relations In America",45,9%,4
"2015 - Spring",PSY401,"Social Psychology",47,9%,4
"2015 - Spring",PSY305,"Basic Developmental Psychology",48,8%,4
"2015 - Spring",SOC305,"Classical Sociological Theory",48,8%,4
"2015 - Spring",SOC444,"Survey Research",24,13%,3
"2015 - Spring",SOC444A,"Survey Research Activity",24,13%,3
"2015 - Spring",SOC202,"Principles of Sociology",29,10%,3
"2015 - Spring",SOC360,"Juvenile Delinquency",48,6%,3
"2015 - Spring",PSY433L,"Exper Psy and Res Meth and Des",50,6%,3
"2015 - Spring",PSY433,"Exper Psy and Res Meth and Des",50,6%,3
"2015 - Spring",PSY204,"Research Methods In Psychology",25,8%,2
"2015 - Spring",SOC323,"Sociology of Minority Commun",38,5%,2
"2015 - Spring",PSY417,"Basic Counseling Skills",47,4%,2
"2015 - Spring",SOC302,Criminology,48,4%,2
"2015 - Spring",SW322,"Family Violence",49,4%,2
"2015 - Spring",SOC498,"Senior Seminar",36,3%,1
"2015 - Spring",SOC309,"Social Stratificationand Inequ",44,2%,1
"2015 - Spring",SW320,"Probation and Parole",48,2%,1

