"Data Download for In Which Courses Do They Struggle?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/where-do-they-struggle
"CSV created on:  ","Sun, Dec 12, 2021 5:05 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","By Department","Psychology and Sociology","2011 - Academic Year"

"Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students"
"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2011 - Academic Year",PSY201,"General Psychology","1,207",9%,113
"2011 - Academic Year",PSY210,"Mind, Brain, and Behavior",271,24%,64
"2011 - Academic Year",SOC201,"Principles of Sociology",511,11%,58
"2011 - Academic Year",SOC202,"Principles of Sociology",270,14%,37
"2011 - Academic Year",PSY334,"Cognitive Processes",144,24%,35
"2011 - Academic Year",PSY202,"Principles of Psychology I",357,8%,30
"2011 - Academic Year",PSY307A,"Statistics For Social Sci Act",187,15%,28
"2011 - Academic Year",PSY402,"Theories of Learning",74,30%,22
"2011 - Academic Year",PSY433,"Exper Psy and Res Meth and Des",190,12%,22
"2011 - Academic Year",PSY307,"Statistics For The Social Scie",187,11%,20
"2011 - Academic Year",PSY433L,"Exper Psy and Res Meth and Des",190,11%,20
"2011 - Academic Year",SOC302,Criminology,144,13%,19
"2011 - Academic Year",PSY412,"Theories of Counseling",145,13%,19
"2011 - Academic Year",PSY204,"Research Methods In Psychology",231,8%,19
"2011 - Academic Year",PSY326,"Health Psychology",253,8%,19
"2011 - Academic Year",PSY403,"Psychology of Personality",142,13%,18
"2011 - Academic Year",PSY321,"The Psychology of Identity",143,13%,18
"2011 - Academic Year",PSY415,"Abnormal Psychology",192,8%,16
"2011 - Academic Year",PSY401,"Social Psychology",192,6%,12
"2011 - Academic Year",PSY455,"Human Sexual Behav,  Relatnshi",325,3%,11
"2011 - Academic Year",PSY322,"Psychology of Women",93,11%,10
"2011 - Academic Year",SOC322,"Politics As A Soc Institution",126,8%,10
"2011 - Academic Year",PSY460,"Sensation and Perception",35,26%,9
"2011 - Academic Year",PSY460A,"Sensation and Perception Act",35,26%,9
"2011 - Academic Year",SOC401,"Urban Sociology",121,7%,9
"2011 - Academic Year",SOC360,"Juvenile Delinquency",144,5%,7
"2011 - Academic Year",SOC320,"Ethnic Relations In America",46,13%,6
"2011 - Academic Year",SOC451,"Social Inequality and Sport",44,11%,5
"2011 - Academic Year",PSY410,"History and Systems",96,5%,5
"2011 - Academic Year",SOC204,"Research Methods In Sociolgy I",145,3%,5
"2011 - Academic Year",PSY498,"Senior Seminar",189,3%,5
"2011 - Academic Year",SW318,"Treatment of Law Violators",100,4%,4
"2011 - Academic Year",SOC306,"Contemporary Sociological Thry",119,3%,4
"2011 - Academic Year",SOC305,"Classical Sociological Theory",143,3%,4
"2011 - Academic Year",SOC403,"Sociology of Emotion",39,8%,3
"2011 - Academic Year",PSY416,"Psychological Testing",48,6%,3
"2011 - Academic Year",SW300,"Survey of Social Welfare",114,3%,3
"2011 - Academic Year",PSY325,"Multicultural Psychology",262,1%,3
"2011 - Academic Year",PSY335,"Memory and Amnesia",42,5%,2
"2011 - Academic Year",SOC340,"Social Change",47,4%,2
"2011 - Academic Year",PSY425,"Community Psychology",48,4%,2
"2011 - Academic Year",SW320,"Probation and Parole",50,4%,2
"2011 - Academic Year",SOC444,"Survey Research",59,3%,2
"2011 - Academic Year",SOC444A,"Survey Research Activity",59,3%,2
"2011 - Academic Year",SOC307,"Statistics For The Social Sci",94,2%,2
"2011 - Academic Year",SOC307A,"Statistics For Social Sci Act",94,2%,2
"2011 - Academic Year",SOC498,"Senior Seminar",119,2%,2
"2011 - Academic Year",SOC301,"Contemporary Social Problems",127,2%,2
"2011 - Academic Year",SOC402,"Socialization,  Self and Socie",143,1%,2
"2011 - Academic Year",SOC309,"Social Stratificationand Inequ",145,1%,2
"2011 - Academic Year",PSY303,"Physiological Psychology",25,4%,1
"2011 - Academic Year",PSY490,"Leadership and Teams",46,2%,1
"2011 - Academic Year",PSY450,"Prin of Behavorial Management",86,1%,1
"2011 - Academic Year",PSY430,"Program Evaluation",97,1%,1
"2011 - Academic Year",SW402,"Field Work",111,1%,1
"2011 - Academic Year",SOC205,"Rsrch Methods In Sociology II",137,1%,1
"2011 - Academic Year",SW322,"Family Violence",144,1%,1

