"Data Download for In Which Courses Do They Struggle?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/where-do-they-struggle
"CSV created on:  ","Sun, Dec 12, 2021 5:00 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","By Department","Psychology and Sociology","2020 - Academic Year"

"Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students"
"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2020 - Academic Year",PSY2201,"Introduction To Psychology",887,9%,81
"2020 - Academic Year",SOC3309,"Social Strat and Inequality",354,21%,74
"2020 - Academic Year",PSY3325,"Multicultural Psychology",794,9%,69
"2020 - Academic Year",PSY2210,"Mind Brain Behvr Intgrtd View",681,7%,48
"2020 - Academic Year",SOC3345,"Crime Criminalization Society",236,19%,46
"2020 - Academic Year",SOC2201,"Introduction To Sociology",489,9%,42
"2020 - Academic Year",SOC3307L,"Statistics For Sociology Lab",327,11%,37
"2020 - Academic Year",SOC3307,"Statistics For Sociology",328,11%,36
"2020 - Academic Year",PSY4150,"Abnormal Psychology",536,6%,33
"2020 - Academic Year",PSY3307,"Statistics For Psychology",327,9%,31
"2020 - Academic Year",PSY4433,"Experimental Psychology",385,8%,31
"2020 - Academic Year",PSY4433A,"Experimental Psychology Act",385,8%,31
"2020 - Academic Year",PSY3307A,"Statistics For Psychology Act",327,9%,30
"2020 - Academic Year",PSY4170,"Basic Counseling Skills",422,7%,28
"2020 - Academic Year",PSY3305,"Basic Developmental Psychology",459,6%,28
"2020 - Academic Year",SOC2205,"Research Methods In Sociology",461,6%,28
"2020 - Academic Year",SOC3306,"Contemp Sociology Theory",367,7%,25
"2020 - Academic Year",PSY4455,"Human Sexuality,  Relationship",697,4%,25
"2020 - Academic Year",SW3310,"Soc Welfare Policy Issues",201,12%,24
"2020 - Academic Year",SW2201,"Intro Soc Work and Soc Welfare",198,12%,23
"2020 - Academic Year",PSY2222,"Careers In Psychology",406,6%,23
"2020 - Academic Year",SOC3305,"Classic Sociological Theory",480,5%,23
"2020 - Academic Year",PSY2204,"Research Methods In Psychology",227,10%,22
"2020 - Academic Year",CRM3390,"Media and Crime",233,9%,21
