"Data Download for In Which Courses Do They Struggle?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/where-do-they-struggle
"CSV created on:  ","Sun, Dec 12, 2021 5:03 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","By Department","Psychology and Sociology","2016 - Academic Year"

"Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students"
"Year Term","Course Code","Course Title",Enrollment,"Non-passing Rate",Impact
"2016 - Academic Year",PSY201,"General Psychology","1,629",20%,325
"2016 - Academic Year",SOC201,"Principles of Sociology",535,22%,115
"2016 - Academic Year",PSY455,"Human Sexual Behav,  Relatnshi",781,13%,99
"2016 - Academic Year",PSY210,"Mind, Brain, and Behavior",421,21%,90
"2016 - Academic Year",PSY326,"Health Psychology",570,13%,72
"2016 - Academic Year",PSY202,"Principles of Psychology I",271,13%,35
"2016 - Academic Year",PSY325,"Multicultural Psychology",359,5%,19
"2016 - Academic Year",SOC305,"Classical Sociological Theory",134,13%,18
"2016 - Academic Year",PSY334,"Cognitive Processes",138,12%,17
"2016 - Academic Year",PSY415,"Abnormal Psychology",185,8%,14
"2016 - Academic Year",SW318,"Treatment of Law Violators",90,14%,13
"2016 - Academic Year",SOC360,"Juvenile Delinquency",118,11%,13
"2016 - Academic Year",SOC202,"Principles of Sociology",68,15%,10
"2016 - Academic Year",SOC301,"Contemporary Social Problems",214,5%,10
"2016 - Academic Year",PSY305,"Basic Developmental Psychology",96,9%,9
"2016 - Academic Year",PSY307A,"Statistics For Social Sci Act",142,6%,9
"2016 - Academic Year",PSY307,"Statistics For The Social Scie",142,6%,9
"2016 - Academic Year",SW320,"Probation and Parole",88,9%,8
"2016 - Academic Year",PSY322,"Psychology of Women",95,8%,8
"2016 - Academic Year",SOC328,"Gender and Sexuality",106,8%,8
"2016 - Academic Year",SOC309,"Social Stratificationand Inequ",109,7%,8
"2016 - Academic Year",PSY204,"Research Methods In Psychology",104,7%,7
"2016 - Academic Year",SOC302,Criminology,144,5%,7
"2016 - Academic Year",SOC204,"Research Methods In Sociolgy I",147,5%,7
"2016 - Academic Year",PSY433,"Exper Psy and Res Meth and Des",163,4%,7
"2016 - Academic Year",PSY433L,"Exper Psy and Res Meth and Des",163,4%,7
"2016 - Academic Year",PSY402,"Theories of Learning",41,15%,6
"2016 - Academic Year",SOC402,"Socialization,  Self and Socie",112,5%,6
"2016 - Academic Year",PSY403,"Psychology of Personality",131,4%,5
"2016 - Academic Year",SOC451,"Social Inequality and Sport",44,9%,4
"2016 - Academic Year",SOC322,"Politics As A Soc Institution",46,9%,4
"2016 - Academic Year",PSY310,"Child Psych,  Early Childhood",87,5%,4
"2016 - Academic Year",PSY452,"Organizational Change and Inte",48,6%,3
"2016 - Academic Year",SW322,"Family Violence",87,3%,3
"2016 - Academic Year",PSY444,"Survey Research",16,13%,2
"2016 - Academic Year",PSY412,"Theories of Counseling",26,8%,2
"2016 - Academic Year",SOC324,"Religion In American Life",34,6%,2
"2016 - Academic Year",SOC321,"Family As A Social Institution",41,5%,2
"2016 - Academic Year",PSY335,"Memory and Amnesia",47,4%,2
"2016 - Academic Year",SOC306,"Contemporary Sociological Thry",112,2%,2
"2016 - Academic Year",SOC205,"Rsrch Methods In Sociology II",134,1%,2
"2016 - Academic Year",SOC434,"Field Research Methods",11,9%,1
"2016 - Academic Year",PSY444A,"Survey Research Activity",16,6%,1
"2016 - Academic Year",PSY420,"Environmental Psychology",17,6%,1
"2016 - Academic Year",SOC440,"Technology and Society",20,5%,1
"2016 - Academic Year",PSY490,"Leadership and Teams",25,4%,1
"2016 - Academic Year",SOC340,"Social Change",27,4%,1
"2016 - Academic Year",SOC401,"Urban Sociology",45,2%,1
"2016 - Academic Year",PSY311,"Child Psych,  The Middle Years",45,2%,1
"2016 - Academic Year",SOC320,"Ethnic Relations In America",48,2%,1
"2016 - Academic Year",SOC307A,"Statistics For Social Sci Act",63,2%,1
"2016 - Academic Year",SOC307,"Statistics For The Social Sci",63,2%,1
"2016 - Academic Year",PSY401,"Social Psychology",95,1%,1
"2016 - Academic Year",PSY417,"Basic Counseling Skills",96,1%,1
"2016 - Academic Year",SOC498,"Senior Seminar",121,1%,1

