"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","333","47",551,"462",2012
"2","Principles of Psychology I","PSY202","53","18",163,"55",2012
"3","Principles of Sociology","SOC201","132","26",280,"142",2012
"4","Human Sexual Behav,  Relatnshi","PSY455","88","17",194,"88",2012
"5","Exper Psy and Res Meth and Des","PSY433","39","N<10",97,"29",2012
"6","Exper Psy and Res Meth and Des","PSY433L","39","N<10",97,"29",2012
"7","Abnormal Psychology","PSY415","50","N<10",99,"48",2012
"8","Health Psychology","PSY326","78","16",196,"91",2012
"9","Cognitive Processes","PSY334","26","N<10",74,"22",2012
"10","Mind, Brain, and Behavior","PSY210","110","32",245,"96",2012
"11","Program Evaluation","PSY430","28","N<10",49,"N<10",2012
"12","Politics As A Soc Institution","SOC322","14","N<10",32,"N<10",2012
"13","Psychology of Personality","PSY403","32","N<10",70,"16",2012
"14","Principles of Sociology","SOC202","26","N<10",107,"26",2012
"15","Child Psych,  The Middle Years","PSY311","20","N<10",55,"16",2012
"16","Adolescent Psychology","PSY312","14","N<10",49,"10",2012
"17","Theories of Learning","PSY402","15","N<10",36,"N<10",2012
"18","Senior Seminar","PSY498","37","N<10",86,"24",2012
"19","Survey Research","SOC444","16","N<10",40,"10",2012
"20","Statistics For The Social Scie","PSY307","25","N<10",72,"22",2012
"21","Multicultural Psychology","PSY325","35","12",93,"47",2012
"22","Juvenile Delinquency","SOC360","17","N<10",88,"14",2012
"23","Gender and Sexuality","SOC328","N<10","N<10",60,"14",2012
"24","Research Methods In Sociolgy I","SOC204","18","N<10",72,"14",2012
"25","Research Methods In Psychology","PSY204","25","N<10",79,"26",2012
"26","Child Psych For Educators","PSY206","11","N<10",32,"16",2012
"27","Child Psych,  Early Childhood","PSY310","22","N<10",47,"12",2012
"28","Social Change","SOC340","N<10","N<10",28,"N<10",2012
"29","Rsrch Methods In Sociology II","SOC205","24","N<10",61,"13",2012
"30","Sociology of Minority Commun","SOC323","N<10","N<10",70,"N<10",2012
"31","Theories of Counseling","PSY412","18","N<10",38,"10",2012
"32","Socialization,  Self and Socie","SOC402","26","N<10",77,"20",2012
"33","Survey Research Activity","SOC444A","16","N<10",40,"10",2012
"34","Senior Seminar","SOC498","16","N<10",55,"19",2012
"35","Statistics For Social Sci Act","SOC307A","24","N<10",89,"13",2012
"36","Statistics For The Social Sci","SOC307","24","N<10",89,"13",2012
"37","Probation and Parole","SW320","N<10","N<10",32,"N<10",2012
"38","Contemporary Social Problems","SOC301","25","N<10",77,"18",2012
"39","Social Psychology","PSY401","37","N<10",132,"26",2012
"40","Collective Behavior and Soc Mo","SOC350","N<10","N<10",28,"N<10",2012
"41","History and Systems","PSY410","20","N<10",54,"10",2012
"42","Psychology of Women","PSY322","17","N<10",79,"16",2012
"43","Ethnic Relations In America","SOC320","12","N<10",58,"N<10",2012
"44","Classical Sociological Theory","SOC305","24","N<10",80,"15",2012
"45","Family Violence","SW322","14","N<10",54,"12",2012
"46","Survey of Social Welfare","SW300","N<10","N<10",48,"N<10",2012
"47","Soc Welfare Policies and Issue","SW431","N<10","N<10",37,"N<10",2012
"48","Industrial and Organizatio Psy","PSY332","10","N<10",24,"N<10",2012
"49","The Psychology of Identity","PSY321","15","N<10",16,"N<10",2012
"50","Field Work","SW402","N<10","N<10",52,"12",2012
"51","Community Psychology","PSY425","N<10","N<10",29,"N<10",2012
"52","Social Work Practice","SW301","N<10","N<10",49,"N<10",2012
"53","Statistics For Social Sci Act","PSY307A","25","N<10",72,"22",2012
"54","Criminology","SOC302","30","N<10",72,"13",2012
"55","Death and Dying","SW470","N<10","N<10",30,"N<10",2012
"56","Treatment of Law Violators","SW318","11","N<10",57,"12",2012
"57","Social Stratificationand Inequ","SOC309","21","N<10",87,"15",2012
"58","Urban Sociology","SOC401","12","N<10",58,"16",2012
"59","Prin of Behavorial Management","PSY450","N<10","N<10",15,"N<10",2012
"60","Basic Developmental Psychology","PSY305","20","N<10",51,"15",2012
"61","Contemporary Sociological Thry","SOC306","24","N<10",67,"19",2012
"62","Technology and Society","SOC440","N<10","N<10",19,"N<10",2012
"63","Spec Study Ud Students","PSY400","N<10","N<10",10,"N<10",2012
