"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2017 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Average GPA by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"General Psychology",PSY201,3.21,2.2,2.62,3
"Principles of Sociology",SOC201,2.77,1.79,2.25,2.48
"Mind, Brain, and Behavior",PSY210,2.37,2.3,2.14,2.49
"Human Sexual Behav,  Relatnshi",PSY455,3.34,2.99,2.88,2.88
"Multicultural Psychology",PSY325,2.97,2.38,2.71,2.59
"Principles of Psychology I",PSY202,2.96,N<10,2.47,2.57
"Contemporary Social Problems",SOC301,3.24,N<10,2.57,2.85
"Gender and Sexuality",SOC328,2.89,N<10,2.88,N<10
"Survey Research",SOC444,N<10,N<10,2.87,2.5
"Survey Research Activity",SOC444A,N<10,N<10,2.87,2.5
"Statistics For Social Sci Act",PSY307A,3.41,N<10,3.05,3.08
"Research Methods In Psychology",PSY204,3.1,N<10,2.83,2.86
"Juvenile Delinquency",SOC360,3.2,N<10,2.79,3.17
"Health Psychology",PSY326,3.27,2.88,2.94,2.87
"Urban Sociology",SOC401,N<10,N<10,2.79,N<10
"Social Work Practice",SW301,N<10,N<10,3.33,N<10
"Senior Seminar",PSY498,3.81,N<10,3.64,3.46
"Research Methods In Sociolgy I",SOC204,3.23,N<10,2.85,2.97
"Statistics For The Social Scie",PSY307,3.28,N<10,2.95,3.08
"Socialization,  Self and Socie",SOC402,2.97,N<10,2.76,N<10
"Principles of Sociology",SOC202,2.93,N<10,2.51,2.36
"Statistics For The Social Sci",SOC307,3.63,N<10,3.29,3.4
"Statistics For Social Sci Act",SOC307A,3.63,N<10,3.29,3.4
"Abnormal Psychology",PSY415,3.14,N<10,2.75,2.97
"Social Stratificationand Inequ",SOC309,N<10,N<10,2.65,N<10
"Theories of Counseling",PSY412,3.25,N<10,2.82,N<10
"Industrial and Organizatio Psy",PSY332,3.68,N<10,3.5,3.36
"Treatment of Law Violators",SW318,N<10,N<10,3.07,N<10
"Basic Developmental Psychology",PSY305,N<10,N<10,2.4,2.78
"Classical Sociological Theory",SOC305,N<10,N<10,2.81,2.85
"Senior Seminar Service Lrng",SOC498S,N<10,N<10,3.13,N<10
Criminology,SOC302,2.87,N<10,2.79,2.21
"Psychology of Women",PSY322,3.44,N<10,3.39,N<10
"Probation and Parole",SW320,3.9,N<10,3.28,N<10
"Ethnic Relations In America",SOC320,N<10,N<10,2.73,N<10
"Senior Seminar",SOC498,3.37,N<10,3.19,N<10
"Environmental Psychology",PSY420,N<10,N<10,2.99,N<10
"Politics As A Soc Institution",SOC322,N<10,N<10,3.17,N<10
"Family As A Social Institution",SOC321,3.37,N<10,3.04,N<10
"Sensation and Perception",PSY460,N<10,N<10,2.65,N<10
"Program Evaluation",PSY430,N<10,N<10,3.2,3.31
"Cognitive Processes",PSY334,2.87,N<10,2.01,1.95
"Basic Counseling Skills",PSY417,3.29,N<10,3.06,3.1
"Contemporary Sociological Thry",SOC306,N<10,N<10,3.2,N<10
"Field Work",SW402,N<10,N<10,3.89,N<10
"Organizational Change and Inte",PSY452,3.7,N<10,3.69,3.64
"Soc Welfare Policies and Issue",SW431,N<10,N<10,3.51,N<10
"Survey of Social Welfare",SW300,N<10,N<10,3.44,N<10
"Child Psych,  Early Childhood",PSY310,3.58,N<10,3.15,3.33
"Adolescent Psychology",PSY312,3.43,N<10,3.05,3.36
"Sociology of Minority Commun",SOC323,N<10,N<10,3.29,3.2
"Theories of Learning",PSY402,N<10,N<10,2.64,N<10
"Memory and Amnesia",PSY335,3.53,N<10,3.15,3.26
"Rsrch Methods In Sociology II",SOC205,3.62,N<10,3.33,3.43
"Exper Psy and Res Meth and Des",PSY433,3.6,N<10,3.22,3.1
"Exper Psy and Res Meth and Des",PSY433L,3.6,N<10,3.22,3.1
"Spec Study Ud Students",PSY400,3.98,N<10,3.99,N<10
"Qualitative Methds In Psychlgy",PSY404,3.92,N<10,3.65,3.58
"Family Violence",SW322,N<10,N<10,3.5,3.67
"Social Psychology",PSY401,2.97,N<10,2.78,2.61
"Spec Topics Ud Students",PSY499,N<10,N<10,4,N<10

