"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","Introduction To Psychology","PSY2201","125","49",440,"148",2018
"2","Introduction To Sociology","SOC2201","40","23",290,"51",2018
"3","Human Sexuality,  Relationship","PSY4455","118","24",327,"115",2018
"4","Theories of Learning","PSY4402","36","N<10",142,"24",2018
"5","Abnormal Psychology","PSY4150","47","20",289,"66",2018
"6","Multicultural Psychology","PSY3325","61","16",294,"74",2018
"7","Basic Developmental Psychology","PSY3305","61","23",265,"53",2018
"8","Race and Ethnic Relations","SOC3320","N<10","12",125,"15",2018
"9","Mind Brain Behvr Intgrtd View","PSY2210","29","N<10",82,"19",2018
"10","Juvenile Delinquency","CRM3360","19","N<10",147,"10",2018
"11","Crime Criminalization Society","SOC3345","23","11",147,"24",2018
"12","Socialization,  Self and Socie","SOC4402","20","19",214,"31",2018
"13","Adolescent Psychology","PSY3312","20","10",106,"26",2018
"14","Social Strat and Inequality","SOC3309","21","17",229,"24",2018
"15","Intro Soc Work and Soc Welfare","SW2201","N<10","N<10",33,"N<10",2018
"16","Program Evaluation Lab","PSY4430A","20","N<10",48,"14",2018
"17","Statistics For Psychology Act","PSY3307A","36","11",158,"26",2018
"18","Gender and Sexuality","SOC3328","22","N<10",188,"22",2018
"19","Contemp Treat of Law Violators","CRM3318","N<10","N<10",37,"N<10",2018
"20","Experimental Psychology","PSY4433","31","N<10",86,"19",2018
"21","Qual Mthds For Soclgy Lab","SOC4110L","N<10","N<10",40,"N<10",2018
"22","Classic Sociological Theory","SOC3305","26","15",245,"21",2018
"23","Statistics For Psychology","PSY3307","36","11",158,"26",2018
"24","Statistics For Sociology","SOC3307","16","N<10",138,"15",2018
"25","Experimental Psychology Act","PSY4433A","31","N<10",86,"19",2018
"26","Cognitive Processes","PSY3334","47","16",196,"45",2018
"27","Social Psychology","PSY4401","63","25",261,"69",2018
"28","Qualitative Methods For Soc","SOC4110","N<10","N<10",40,"N<10",2018
"29","Spec Topic For Ud Students","PSY4990","N<10","N<10",31,"N<10",2018
"30","Social Work Practice","SW3301","N<10","N<10",41,"N<10",2018
"31","Social Work Pract Lab","SW3301L","N<10","N<10",41,"N<10",2018
"32","Organizational Psychology","PSY3332","24","10",103,"26",2018
"33","Program Evaluation","PSY4430","20","N<10",48,"14",2018
"34","Psychology of Identity","PSY3321","N<10","N<10",28,"N<10",2018
"35","Statistics For Sociology Lab","SOC3307L","16","N<10",138,"15",2018
"36","Senior Seminar","PSY4611","34","N<10",86,"25",2018
"37","Family Violence","SW3322","11","N<10",83,"N<10",2018
"38","Basic Counseling Skills","PSY4170","11","N<10",28,"N<10",2018
"39","Health Psychology","PSY3326","44","22",199,"60",2018
"40","Contemp Sociology Theory","SOC3306","10","N<10",128,"14",2018
"41","Child Psychology For Educators","PSY2206","15","N<10",48,"N<10",2018
"42","Research Methods In Sociology","SOC2205","15","12",208,"21",2018
"43","Soc Welfare Policy Issues","SW3310","N<10","N<10",70,"N<10",2018
"44","Soc Inequality Sport and Body","SOC4451","N<10","N<10",78,"N<10",2018
"45","Probation and Parole","CRM3320","14","N<10",104,"10",2018
"46","Senior Symposium","SOC4611","11","N<10",106,"12",2018
"47","Qualitative Methods In Psych","PSY4404","N<10","N<10",27,"N<10",2018
"48","Qualitative Mthds In Psych Act","PSY4404A","N<10","N<10",27,"N<10",2018
"49","Child Psych,  Early Childhood","PSY3310","15","N<10",72,"12",2018
"50","Technology and Society","SOC4440","N<10","N<10",19,"N<10",2018
"51","Research Methods In Psychology","PSY2204","26","N<10",104,"24",2018
"52","Quantitative Mthds Sociology","SOC4100","N<10","N<10",25,"N<10",2018
"53","Quantitative Mthds Soclgy Lab","SOC4100L","N<10","N<10",25,"N<10",2018
"54","Community and Urban Sociology","SOC3325","N<10","N<10",86,"N<10",2018
"55","Spec Study For Ud Students","PSY4000","14","N<10",24,"13",2018
"56","Psychology of Personality","PSY4403","N<10","N<10",28,"N<10",2018
"57","Theories of Counseling","PSY4121","N<10","N<10",26,"N<10",2018
"58","Latina and O Sociology","SOC3313","N<10","N<10",46,"N<10",2018
"59","Careers In Psychology","PSY2222","11","N<10",24,"N<10",2018
"60","Internship","SW4411","N<10","N<10",42,"N<10",2018
