"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:31 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2020 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Gender GPA Summary"
Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"Introduction To Psychology",PSY2201,526,361,3.4,3.24,0.16
"Research Methods In Psychology",PSY2204,173,54,3.1,3.25,-0.15
"Statistics For Sociology",SOC3307,253,75,3.34,3.19,0.15
"Mind Brain Behvr Intgrtd View",PSY2210,537,144,3.39,3.37,0.02
"Contemp Sociology Theory",SOC3306,283,84,3.41,3.47,-0.06
"Statistics For Psychology",PSY3307,239,88,3.43,3.25,0.19
"Soc Inequality Sport and Body",SOC4451,85,26,3.44,3.01,0.42
"Statistics For Sociology Lab",SOC3307L,252,75,3.48,3.39,0.09
"Soc Welfare Policy Issues",SW3310,169,32,3.39,3.42,-0.04
"Multicultural Psychology",PSY3325,611,183,3.22,3.08,0.14
"Organizational Psychology",PSY3332,172,68,3.56,3.54,0.02
"Socialization,  Self and Socie",SOC4402,164,39,3.56,3.41,0.15
"Crime Criminalization Society",SOC3345,163,73,3.46,3.2,0.26
"Statistics For Psychology Act",PSY3307A,239,88,3.45,3.29,0.16
"Survey Research",PSY4444,84,33,3.53,3.35,0.18
"Social Work Practice",SW3301,83,11,3.34,3,0.34
"Social Strat and Inequality",SOC3309,263,91,3.63,3.67,-0.04
"Social Work Pract Lab",SW3301L,82,11,3.37,3.1,0.27
"Research Methods In Sociology",SOC2205,342,119,3.42,3.46,-0.03
"Basic Developmental Psychology",PSY3305,337,122,3.71,3.53,0.18
"Hr In Organizations",PSY3314,41,N<10,3.73,N<10,N/A
"Cognitive Processes",PSY3334,173,56,3.39,3.31,0.07
"Community and Urban Sociology",SOC3325,99,45,3.44,3.47,-0.03
"Crm Theory",CRM3350,60,34,2.87,3.19,-0.32
"Introduction To Criminology",CRM2201,198,131,3.5,3.6,-0.09
"Impact Colonization On Hawaii",SOC4465,28,N<10,3.24,N<10,N/A
"Memory and Amnesia",PSY3335,82,32,3.21,3.1,0.11
"Careers In Psychology",PSY2222,310,96,3.86,3.72,0.14
"Intro Soc Work and Soc Welfare",SW2201,173,25,3.43,3.2,0.24
"Senior Seminar",PSY4611,297,93,3.65,3.64,0
"Classic Sociological Theory",SOC3305,364,116,3.72,3.69,0.03
"Senior Symposium",SOC4611,186,60,3.53,3.53,-0.01
"Abnormal Psychology",PSY4150,392,144,3.19,3.25,-0.06
"Latina and O Sociology",SOC3313,138,45,3.41,3.29,0.11
