"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","Introduction To Psychology","PSY2201","3.15","2.73",2.79,"3.33",2019
"2","Introduction To Sociology","SOC2201","2.97","2.12",2.64,"2.91",2019
"3","Multicultural Psychology","PSY3325","3.12","2.64",3.07,"3.31",2019
"4","Abnormal Psychology","PSY4150","3.15","N<10",2.86,"3.11",2019
"5","Research Methods In Sociology","SOC2205","3.56","2.82",3.12,"3.21",2019
"6","Gender and Sexuality","SOC3328","3.87","3.38",3.59,"3.55",2019
"7","Cognitive Processes","PSY3334","3.33","N<10",3.18,"3.25",2019
"8","Senior Seminar","PSY4611","3.59","3.39",3.51,"3.71",2019
"9","Basic Counseling Skills","PSY4170","3.53","3.13",3.3,"3.26",2019
"10","Soc Inequality Sport and Body","SOC4451","3.06","N<10",2.8,"2.9",2019
"11","Basic Developmental Psychology","PSY3305","3.51","3.6",3.43,"3.45",2019
"12","Senior Symposium","SOC4611","3.67","3.28",3.19,"3.38",2019
"13","Theories of Counseling","PSY4121","3.48","N<10",3.28,"3.17",2019
"14","Statistics For Sociology","SOC3307","3.47","3.26",3.09,"3.3",2019
"15","Careers In Psychology","PSY2222","3.76","N<10",3.75,"3.88",2019
"16","Statistics For Psychology","PSY3307","3.04","2.48",3,"3.25",2019
"17","Juvenile Delinquency","CRM3360","N<10","N<10",2.49,"N<10",2019
"18","Human Sexuality,  Relationship","PSY4455","3.18","3.08",2.94,"3.27",2019
"19","Social Psychology","PSY4401","3.25","N<10",3.14,"3.13",2019
"20","Probation and Parole","CRM3320","N<10","N<10",3.12,"2.92",2019
"21","Psychology of Personality","PSY4403","3.39","2.85",3.08,"3.31",2019
"22","Social Strat and Inequality","SOC3309","3.4","2.88",3.07,"3.11",2019
"23","Latina and O Sociology","SOC3313","N<10","N<10",3.52,"N<10",2019
"24","Race and Ethnic Relations","SOC3320","3.41","N<10",3.13,"3.3",2019
"25","Contemp Sociology Theory","SOC3306","3.32","3.39",3.17,"3.33",2019
"26","Program Evaluation Lab","PSY4430A","3.31","N<10",3.78,"3.94",2019
"27","Statistics For Psychology Act","PSY3307A","2.84","2.48",2.99,"3.25",2019
"28","Crime Criminalization Society","SOC3345","3.54","2.93",3.1,"2.94",2019
"29","Statistics For Sociology Lab","SOC3307L","3.63","3.42",3.32,"3.35",2019
"30","Qualitative Methods In Psych","PSY4404","N<10","N<10",2.33,"N<10",2019
"31","Black Sociology","SOC3314","N<10","2.95",3.29,"N<10",2019
"32","Classic Sociological Theory","SOC3305","3.58","2.76",3.16,"2.93",2019
"33","Program Evaluation","PSY4430","3.53","N<10",3.78,"3.94",2019
"34","Introduction To Criminology","CRM2201","2.86","2.39",2.53,"2.81",2019
"35","Crime Analysis Activity","CRM3306A","N<10","N<10",3.32,"N<10",2019
"36","Quantitative Mthds Soclgy Lab","SOC4100L","N<10","N<10",3.7,"N<10",2019
"37","Adolescent Psychology","PSY3312","3.06","2.64",2.9,"3.01",2019
"38","Qualitative Methods For Soc","SOC4110","3.88","N<10",3.7,"3.9",2019
"39","Research Methods In Psychology","PSY2204","3.22","2.67",2.98,"3.22",2019
"40","Social Work Practice","SW3301","N<10","N<10",3.65,"N<10",2019
"41","Quantitative Mthds Sociology","SOC4100","N<10","N<10",3.59,"N<10",2019
"42","Health Psychology","PSY3326","3.33","N<10",3.14,"3.05",2019
"43","Qualitative Mthds In Psych Act","PSY4404A","N<10","N<10",3.22,"N<10",2019
"44","Community and Urban Sociology","SOC3325","3.57","3.36",3.43,"3.39",2019
"45","Survey Research Act","PSY4444A","3.67","N<10",3.52,"N<10",2019
"46","Mind Brain Behvr Intgrtd View","PSY2210","2.99","3.13",2.9,"3.13",2019
"47","Crime Analysis","CRM3306","N<10","N<10",3.24,"N<10",2019
"48","Soc Welfare Policy Issues","SW3310","3.45","N<10",3.39,"N<10",2019
"49","Contemp Treat of Law Violators","CRM3318","3.18","N<10",3.08,"N<10",2019
"50","Impact Colonization On Hawaii","SOC4465","N<10","N<10",3.73,"N<10",2019
"51","Sociology of Education Svc Lrn","SOC3360S","N<10","N<10",2.99,"N<10",2019
"52","Intro Soc Work and Soc Welfare","SW2201","3.19","3.4",3.23,"3.32",2019
"53","Policing","CRM3319","N<10","N<10",3.37,"3.17",2019
"54","Experimental Psychology","PSY4433","3.28","2.4",2.95,"3.14",2019
"55","Experimental Psychology Act","PSY4433A","3.28","2.4",2.95,"3.14",2019
"56","Organizational Psychology","PSY3332","3.44","N<10",3.33,"3.36",2019
"57","Child Psychology For Educators","PSY2206","N<10","N<10",2.84,"N<10",2019
"58","Internship","SW4411","N<10","N<10",3.99,"N<10",2019
"59","Psychology of Women","PSY3322","N<10","N<10",3.09,"N<10",2019
"60","Industrial Psychology","PSY3333","2.2","N<10",2.13,"2.7",2019
"61","Survey Research","PSY4444","3.69","N<10",3.63,"N<10",2019
"62","Family Violence","SW3322","3.45","N<10",3.34,"3.45",2019
"63","Spec Study For Ud Students","SOC4000","N<10","N<10",3.98,"N<10",2019
"64","Socialization,  Self and Socie","SOC4402","3.2","2.67",3.04,"3.23",2019
"65","Child Psych,  Early Childhood","PSY3310","3.68","N<10",3.6,"3.64",2019
"66","Social Work Pract Lab","SW3301L","N<10","N<10",3.74,"N<10",2019
"67","Memory and Amnesia","PSY3335","3.11","N<10",3.26,"3.07",2019
"68","Community Psychology","PSY4250","N<10","N<10",2.85,"N<10",2019
"69","Spec Study For Ud Students","PSY4000","3.93","N<10",4,"N<10",2019
"70","Child Psych,  Mid Childhood","PSY3311","N<10","N<10",3.69,"N<10",2019
"71","Theories of Learning","PSY4402","3.3","N<10",2.96,"3.72",2019
"72","Qual Mthds For Soclgy Lab","SOC4110L","3.76","N<10",3.78,"3.83",2019
"73","Death and Dying","SW4470","N<10","N<10",3.6,"N<10",2019
