"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","278","71",739,"434",2015
"2","Human Sexual Behav,  Relatnshi","PSY455","144","24",399,"158",2015
"3","Health Psychology","PSY326","71","19",249,"109",2015
"4","Mind, Brain, and Behavior","PSY210","58","17",143,"54",2015
"5","Contemporary Social Problems","SOC301","28","N<10",122,"26",2015
"6","Social Stratificationand Inequ","SOC309","14","N<10",65,"N<10",2015
"7","Child Psych,  Early Childhood","PSY310","N<10","N<10",48,"N<10",2015
"8","Child Psych,  The Middle Years","PSY311","12","N<10",73,"16",2015
"9","Psychology of Women","PSY322","N<10","N<10",20,"N<10",2015
"10","Principles of Sociology","SOC202","N<10","N<10",40,"11",2015
"11","Cognitive Processes","PSY334","27","N<10",66,"15",2015
"12","Criminology","SOC302","13","N<10",76,"20",2015
"13","Classical Sociological Theory","SOC305","11","N<10",75,"N<10",2015
"14","Psychology of Personality","PSY403","25","N<10",73,"14",2015
"15","Adolescent Psychology","PSY312","N<10","N<10",40,"N<10",2015
"16","Memory and Amnesia","PSY335","N<10","N<10",24,"N<10",2015
"17","Industrial and Organizatio Psy","PSY332","11","N<10",59,"11",2015
"18","Probation and Parole","SW320","N<10","N<10",54,"N<10",2015
"19","Rsrch Methods In Sociology II","SOC205","N<10","N<10",63,"N<10",2015
"20","Socialization,  Self and Socie","SOC402","16","N<10",66,"N<10",2015
"21","Organizational Change and Inte","PSY452","N<10","N<10",25,"11",2015
"22","Principles of Psychology I","PSY202","39","11",121,"34",2015
"23","The Psychology of Identity","PSY321","N<10","N<10",21,"N<10",2015
"24","Basic Counseling Skills","PSY417","12","N<10",51,"16",2015
"25","Principles of Sociology","SOC201","73","26",215,"110",2015
"26","Sociology of Minority Commun","SOC323","N<10","N<10",28,"N<10",2015
"27","Abnormal Psychology","PSY415","42","14",125,"56",2015
"28","Ethnic Relations In America","SOC320","N<10","N<10",20,"N<10",2015
"29","Survey Research","SOC444","N<10","N<10",21,"N<10",2015
"30","Survey Research Activity","SOC444A","N<10","N<10",21,"N<10",2015
"31","Survey of Social Welfare","SW300","N<10","N<10",51,"N<10",2015
"32","Family Violence","SW322","12","N<10",63,"N<10",2015
"33","Senior Seminar","SOC498","N<10","N<10",67,"N<10",2015
"34","Treatment of Law Violators","SW318","N<10","N<10",20,"N<10",2015
"35","Social Work Practice","SW301","N<10","N<10",47,"N<10",2015
"36","Statistics For The Social Scie","PSY307","33","N<10",124,"23",2015
"37","Statistics For Social Sci Act","PSY307A","33","N<10",124,"23",2015
"38","Theories of Counseling","PSY412","13","N<10",44,"11",2015
"39","Spec Study Ud Students","PSY400","12","N<10",20,"N<10",2015
"40","Research Methods In Sociolgy I","SOC204","11","N<10",83,"N<10",2015
"41","Politics As A Soc Institution","SOC322","N<10","N<10",19,"N<10",2015
"42","Exper Psy and Res Meth and Des","PSY433","19","12",72,"30",2015
"43","Exper Psy and Res Meth and Des","PSY433L","19","12",72,"30",2015
"44","Spec Topics Ud Students","SOC499","11","N<10",27,"N<10",2015
"45","Juvenile Delinquency","SOC360","10","N<10",43,"N<10",2015
"46","Community Psychology","PSY425","N<10","N<10",27,"N<10",2015
"47","Theories of Learning","PSY402","N<10","N<10",21,"N<10",2015
"48","Research Methods In Psychology","PSY204","17","10",54,"14",2015
"49","Basic Developmental Psychology","PSY305","22","N<10",77,"24",2015
"50","Soc Welfare Policies and Issue","SW431","N<10","N<10",32,"N<10",2015
"51","Program Evaluation","PSY430","23","N<10",72,"30",2015
"52","Field Work","SW402","N<10","N<10",59,"N<10",2015
"53","Social Psychology","PSY401","11","N<10",43,"19",2015
"54","Child Psych For Educators","PSY206","N<10","N<10",24,"N<10",2015
"55","Qualitative Methds In Psychlgy","PSY404","N<10","N<10",16,"N<10",2015
"56","Spec Topics Ud Students","PSY499","N<10","N<10",22,"N<10",2015
"57","Environmental Psychology","PSY420","N<10","N<10",30,"N<10",2015
"58","Multicultural Psychology","PSY325","41","10",129,"56",2015
"59","Senior Seminar","PSY498","21","N<10",73,"22",2015
"60","Family As A Social Institution","SOC321","14","N<10",56,"N<10",2015
"61","Contemporary Sociological Thry","SOC306","12","N<10",66,"N<10",2015
"62","Gender and Sexuality","SOC328","N<10","N<10",38,"N<10",2015
"63","Statistics For The Social Sci","SOC307","N<10","N<10",16,"N<10",2015
"64","Statistics For Social Sci Act","SOC307A","N<10","N<10",16,"N<10",2015
