"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","253","59",713,"338",2016
"2","Human Sexual Behav,  Relatnshi","PSY455","132","24",402,"139",2016
"3","Mind, Brain, and Behavior","PSY210","59","24",207,"81",2016
"4","Principles of Sociology","SOC201","83","32",264,"84",2016
"5","Multicultural Psychology","PSY325","54","14",186,"62",2016
"6","Principles of Psychology I","PSY202","34","20",141,"48",2016
"7","Research Methods In Sociolgy I","SOC204","16","N<10",97,"12",2016
"8","Basic Developmental Psychology","PSY305","18","N<10",53,"12",2016
"9","Statistics For The Social Scie","PSY307","20","N<10",88,"12",2016
"10","Statistics For Social Sci Act","PSY307A","20","N<10",88,"12",2016
"11","Child Psych,  Early Childhood","PSY310","15","N<10",46,"N<10",2016
"12","Statistics For The Social Sci","SOC307","10","N<10",41,"N<10",2016
"13","Cognitive Processes","PSY334","27","N<10",65,"24",2016
"14","Juvenile Delinquency","SOC360","13","N<10",72,"10",2016
"15","Exper Psy and Res Meth and Des","PSY433","21","N<10",94,"21",2016
"16","Exper Psy and Res Meth and Des","PSY433L","21","N<10",94,"21",2016
"17","Statistics For Social Sci Act","SOC307A","10","N<10",41,"N<10",2016
"18","Contemporary Sociological Thry","SOC306","13","N<10",77,"N<10",2016
"19","Senior Seminar","PSY498","25","N<10",70,"14",2016
"20","Family Violence","SW322","N<10","N<10",63,"N<10",2016
"21","Theories of Learning","PSY402","N<10","N<10",24,"N<10",2016
"22","Treatment of Law Violators","SW318","11","N<10",60,"N<10",2016
"23","Memory and Amnesia","PSY335","N<10","N<10",25,"N<10",2016
"24","Religion In American Life","SOC324","N<10","N<10",24,"N<10",2016
"25","Abnormal Psychology","PSY415","30","N<10",100,"26",2016
"26","Classical Sociological Theory","SOC305","14","N<10",89,"15",2016
"27","Senior Seminar","SOC498","12","N<10",79,"N<10",2016
"28","Criminology","SOC302","20","N<10",74,"21",2016
"29","Psychology of Women","PSY322","14","N<10",56,"12",2016
"30","Social Inequality and Sport","SOC451","N<10","N<10",15,"11",2016
"31","Ethnic Relations In America","SOC320","10","N<10",27,"N<10",2016
"32","Socialization,  Self and Socie","SOC402","13","N<10",74,"14",2016
"33","Rsrch Methods In Sociology II","SOC205","18","N<10",88,"N<10",2016
"34","Gender and Sexuality","SOC328","11","N<10",66,"13",2016
"35","Child Psych,  The Middle Years","PSY311","N<10","N<10",30,"N<10",2016
"36","Basic Counseling Skills","PSY417","13","N<10",54,"12",2016
"37","Research Methods In Psychology","PSY204","20","N<10",48,"21",2016
"38","Sensation and Perception","PSY460","N<10","N<10",19,"N<10",2016
"39","Probation and Parole","SW320","N<10","N<10",66,"N<10",2016
"40","Social Change","SOC340","N<10","N<10",18,"N<10",2016
"41","Industrial and Organizatio Psy","PSY332","20","N<10",45,"14",2016
"42","Adolescent Psychology","PSY312","18","N<10",48,"16",2016
"43","Program Evaluation","PSY430","18","N<10",57,"12",2016
"44","Survey of Social Welfare","SW300","N<10","N<10",17,"N<10",2016
"45","Survey Research","SOC444","N<10","N<10",20,"N<10",2016
"46","Health Psychology","PSY326","86","17",261,"129",2016
"47","Survey Research Activity","SOC444A","N<10","N<10",20,"N<10",2016
"48","Psychology of Personality","PSY403","22","N<10",68,"22",2016
"49","Soc Welfare Policies and Issue","SW431","N<10","N<10",20,"N<10",2016
"50","Organizational Change and Inte","PSY452","10","N<10",23,"N<10",2016
"51","Theories of Counseling","PSY412","N<10","N<10",18,"N<10",2016
"52","Principles of Sociology","SOC202","N<10","N<10",36,"10",2016
"53","Social Stratificationand Inequ","SOC309","N<10","N<10",71,"14",2016
"54","Physiological Psychology","PSY303","N<10","N<10",13,"N<10",2016
"55","Politics As A Soc Institution","SOC322","N<10","N<10",31,"N<10",2016
"56","Urban Sociology","SOC401","N<10","N<10",29,"N<10",2016
"57","Qualitative Methds In Psychlgy","PSY404","N<10","N<10",12,"N<10",2016
"58","Spec Study Ld Students","PSY200","N<10","N<10",15,"N<10",2016
"59","Physiological Psychology Lab","PSY303L","N<10","N<10",13,"N<10",2016
"60","Spec Study Ud Students","PSY400","N<10","N<10",28,"10",2016
"61","Social Work Practice","SW301","N<10","N<10",41,"N<10",2016
"62","Social Psychology","PSY401","13","N<10",55,"12",2016
"63","Family As A Social Institution","SOC321","N<10","N<10",30,"N<10",2016
"64","Contemporary Social Problems","SOC301","27","N<10",116,"38",2016
"65","Field Work","SW402","N<10","N<10",62,"N<10",2016
