"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2015 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Enrollment by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"General Psychology",PSY201,278,71,739,434
"Human Sexual Behav,  Relatnshi",PSY455,144,24,399,158
"Health Psychology",PSY326,71,19,249,109
"Mind, Brain, and Behavior",PSY210,58,17,143,54
"Contemporary Social Problems",SOC301,28,N<10,122,26
"Social Stratificationand Inequ",SOC309,14,N<10,65,N<10
"Child Psych,  Early Childhood",PSY310,N<10,N<10,48,N<10
"Child Psych,  The Middle Years",PSY311,12,N<10,73,16
"Psychology of Women",PSY322,N<10,N<10,20,N<10
"Principles of Sociology",SOC202,N<10,N<10,40,11
"Cognitive Processes",PSY334,27,N<10,66,15
Criminology,SOC302,13,N<10,76,20
"Classical Sociological Theory",SOC305,11,N<10,75,N<10
"Psychology of Personality",PSY403,25,N<10,73,14
"Adolescent Psychology",PSY312,N<10,N<10,40,N<10
"Memory and Amnesia",PSY335,N<10,N<10,24,N<10
"Industrial and Organizatio Psy",PSY332,11,N<10,59,11
"Probation and Parole",SW320,N<10,N<10,54,N<10
"Rsrch Methods In Sociology II",SOC205,N<10,N<10,63,N<10
"Socialization,  Self and Socie",SOC402,16,N<10,66,N<10
"Organizational Change and Inte",PSY452,N<10,N<10,25,11
"Principles of Psychology I",PSY202,39,11,121,34
"The Psychology of Identity",PSY321,N<10,N<10,21,N<10
"Basic Counseling Skills",PSY417,12,N<10,51,16
"Principles of Sociology",SOC201,73,26,215,110
"Sociology of Minority Commun",SOC323,N<10,N<10,28,N<10
"Abnormal Psychology",PSY415,42,14,125,56
"Ethnic Relations In America",SOC320,N<10,N<10,20,N<10
"Survey Research",SOC444,N<10,N<10,21,N<10
"Survey Research Activity",SOC444A,N<10,N<10,21,N<10
"Survey of Social Welfare",SW300,N<10,N<10,51,N<10
"Family Violence",SW322,12,N<10,63,N<10
"Senior Seminar",SOC498,N<10,N<10,67,N<10
"Treatment of Law Violators",SW318,N<10,N<10,20,N<10
"Social Work Practice",SW301,N<10,N<10,47,N<10
"Statistics For The Social Scie",PSY307,33,N<10,124,23
"Statistics For Social Sci Act",PSY307A,33,N<10,124,23
"Theories of Counseling",PSY412,13,N<10,44,11
"Spec Study Ud Students",PSY400,12,N<10,20,N<10
"Research Methods In Sociolgy I",SOC204,11,N<10,83,N<10
"Politics As A Soc Institution",SOC322,N<10,N<10,19,N<10
"Exper Psy and Res Meth and Des",PSY433,19,12,72,30
"Exper Psy and Res Meth and Des",PSY433L,19,12,72,30
"Spec Topics Ud Students",SOC499,11,N<10,27,N<10
"Juvenile Delinquency",SOC360,10,N<10,43,N<10
"Community Psychology",PSY425,N<10,N<10,27,N<10
"Theories of Learning",PSY402,N<10,N<10,21,N<10
"Research Methods In Psychology",PSY204,17,10,54,14
"Basic Developmental Psychology",PSY305,22,N<10,77,24
"Soc Welfare Policies and Issue",SW431,N<10,N<10,32,N<10
"Program Evaluation",PSY430,23,N<10,72,30
"Field Work",SW402,N<10,N<10,59,N<10
"Social Psychology",PSY401,11,N<10,43,19
"Child Psych For Educators",PSY206,N<10,N<10,24,N<10
"Qualitative Methds In Psychlgy",PSY404,N<10,N<10,16,N<10
"Spec Topics Ud Students",PSY499,N<10,N<10,22,N<10
"Environmental Psychology",PSY420,N<10,N<10,30,N<10
"Multicultural Psychology",PSY325,41,10,129,56
"Senior Seminar",PSY498,21,N<10,73,22
"Family As A Social Institution",SOC321,14,N<10,56,N<10
"Contemporary Sociological Thry",SOC306,12,N<10,66,N<10
"Gender and Sexuality",SOC328,N<10,N<10,38,N<10
"Statistics For The Social Sci",SOC307,N<10,N<10,16,N<10
"Statistics For Social Sci Act",SOC307A,N<10,N<10,16,N<10

