"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2011 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Enrollment by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"General Psychology",PSY201,262,40,412,345
"Principles of Sociology",SOC201,106,23,232,106
"Mind, Brain, and Behavior",PSY210,61,10,122,42
"Human Sexual Behav,  Relatnshi",PSY455,67,14,132,61
"Principles of Sociology",SOC202,54,N<10,137,44
"Statistics For Social Sci Act",PSY307A,37,N<10,93,24
"Statistics For The Social Scie",PSY307,37,N<10,93,24
"Principles of Psychology I",PSY202,65,12,185,71
"Theories of Learning",PSY402,13,N<10,38,11
"Socialization,  Self and Socie",SOC402,23,N<10,81,21
"Exper Psy and Res Meth and Des",PSY433,46,N<10,89,28
"Basic Developmental Psychology",PSY305,25,N<10,70,24
"Politics As A Soc Institution",SOC322,18,N<10,68,22
"Ethnic Relations In America",SOC320,N<10,N<10,24,12
"Urban Sociology",SOC401,22,N<10,60,22
"Social Psychology",PSY401,41,N<10,100,28
"History and Systems",PSY410,28,N<10,43,12
"Multicultural Psychology",PSY325,48,10,130,42
"Research Methods In Psychology",PSY204,44,N<10,126,29
"Juvenile Delinquency",SOC360,31,N<10,83,15
"Health Psychology",PSY326,57,N<10,102,46
"Contemporary Sociological Thry",SOC306,13,N<10,69,22
"Statistics For Social Sci Act",SOC307A,13,N<10,48,19
"Statistics For The Social Sci",SOC307,13,N<10,48,19
"Psychology of Personality",PSY403,32,N<10,67,27
"Prin of Behavorial Management",PSY450,12,N<10,41,12
"Abnormal Psychology",PSY415,36,N<10,87,41
"Treatment of Law Violators",SW318,10,N<10,64,10
"Rsrch Methods In Sociology II",SOC205,20,N<10,78,26
"Classical Sociological Theory",SOC305,24,N<10,79,26
"Probation and Parole",SW320,N<10,N<10,31,N<10
"Survey of Social Welfare",SW300,18,N<10,74,10
"Theories of Counseling",PSY412,30,N<10,59,31
"Exper Psy and Res Meth and Des",PSY433L,46,N<10,89,28
"Family Violence",SW322,20,N<10,93,16
Criminology,SOC302,30,N<10,80,18
"Field Work",SW402,12,N<10,69,17
"Leadership and Teams",PSY490,N<10,N<10,22,N<10
"Program Evaluation",PSY430,18,N<10,44,19
"Cognitive Processes",PSY334,32,N<10,66,21
"The Psychology of Identity",PSY321,31,N<10,79,19
"Senior Seminar",PSY498,34,N<10,93,33
"Social Work Practice",SW301,N<10,N<10,30,10
"Social Stratificationand Inequ",SOC309,21,N<10,87,18
"Survey Research Activity",SOC444A,N<10,N<10,27,16
"Child Psych,  Early Childhood",PSY310,20,N<10,78,24
"Industrial and Organizatio Psy",PSY332,12,N<10,20,N<10
"Psychological Testing",PSY416,N<10,N<10,31,N<10
"Memory and Amnesia",PSY335,N<10,N<10,23,N<10
"Spec Topics Ud Students",SOC499,N<10,N<10,14,N<10
"Sensation and Perception",PSY460,12,N<10,15,N<10
"Sensation and Perception Act",PSY460A,12,N<10,15,N<10
"Community Psychology",PSY425,N<10,N<10,21,10
"Social Inequality and Sport",SOC451,10,N<10,19,N<10
"Contemporary Social Problems",SOC301,27,N<10,52,29
"Research Methods In Sociolgy I",SOC204,30,N<10,78,26
"Soc Welfare Policies and Issue",SW431,N<10,N<10,36,11
"Senior Seminar",SOC498,18,N<10,70,22
"Psychology of Women",PSY322,18,N<10,45,12
"Sociology of Minority Commun",SOC323,N<10,N<10,26,10
"Social Change",SOC340,N<10,N<10,27,10
"Survey Research",SOC444,N<10,N<10,27,16

