"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","3.06","3.01",2.76,"2.97",2012
"2","Principles of Psychology I","PSY202","2.71","1.98",2.27,"2.49",2012
"3","Principles of Sociology","SOC201","2.52","2.21",2.35,"2.63",2012
"4","Human Sexual Behav,  Relatnshi","PSY455","3.17","2.79",3.01,"2.79",2012
"5","Exper Psy and Res Meth and Des","PSY433","2.97","N<10",2.62,"2.94",2012
"6","Exper Psy and Res Meth and Des","PSY433L","3.2","N<10",2.84,"3.23",2012
"7","Abnormal Psychology","PSY415","3.09","N<10",2.85,"2.89",2012
"8","Health Psychology","PSY326","2.97","3.02",3.03,"2.87",2012
"9","Cognitive Processes","PSY334","2.99","N<10",2.43,"2.68",2012
"10","Mind, Brain, and Behavior","PSY210","2.72","2.2",2.32,"2.44",2012
"11","Program Evaluation","PSY430","3.54","N<10",3.2,"N<10",2012
"12","Politics As A Soc Institution","SOC322","3.05","N<10",2.97,"N<10",2012
"13","Psychology of Personality","PSY403","2.98","N<10",2.41,"2.6",2012
"14","Principles of Sociology","SOC202","3.26","N<10",2.63,"3.13",2012
"15","Child Psych,  The Middle Years","PSY311","3.37","N<10",3.28,"3.33",2012
"16","Adolescent Psychology","PSY312","3.67","N<10",2.87,"3.13",2012
"17","Theories of Learning","PSY402","1.33","N<10",1.25,"N<10",2012
"18","Senior Seminar","PSY498","3.47","N<10",3.6,"3.63",2012
"19","Survey Research","SOC444","3.44","N<10",3.18,"3.43",2012
"20","Statistics For The Social Scie","PSY307","3.31","N<10",2.82,"3.3",2012
"21","Multicultural Psychology","PSY325","3.33","2.89",3.19,"3.13",2012
"22","Juvenile Delinquency","SOC360","3.39","N<10",3.31,"3.14",2012
"23","Gender and Sexuality","SOC328","N<10","N<10",3.46,"3.29",2012
"24","Research Methods In Sociolgy I","SOC204","3.43","N<10",2.84,"3.12",2012
"25","Research Methods In Psychology","PSY204","2.96","N<10",2.8,"2.76",2012
"26","Child Psych For Educators","PSY206","2.88","N<10",2.79,"2.85",2012
"27","Child Psych,  Early Childhood","PSY310","3.35","N<10",2.83,"3.03",2012
"28","Social Change","SOC340","N<10","N<10",2.95,"N<10",2012
"29","Rsrch Methods In Sociology II","SOC205","3.65","N<10",3.63,"3.62",2012
"30","Sociology of Minority Commun","SOC323","N<10","N<10",3.55,"N<10",2012
"31","Theories of Counseling","PSY412","2.86","N<10",2.73,"2.8",2012
"32","Socialization,  Self and Socie","SOC402","3.46","N<10",3.11,"2.89",2012
"33","Survey Research Activity","SOC444A","3.67","N<10",3.46,"3.47",2012
"34","Senior Seminar","SOC498","3.67","N<10",3.4,"3.32",2012
"35","Statistics For Social Sci Act","SOC307A","3.53","N<10",3.45,"3.69",2012
"36","Statistics For The Social Sci","SOC307","3.53","N<10",3.45,"3.69",2012
"37","Probation and Parole","SW320","N<10","N<10",2.88,"N<10",2012
"38","Contemporary Social Problems","SOC301","3.01","N<10",2.76,"2.7",2012
"39","Social Psychology","PSY401","3.04","N<10",2.85,"3.01",2012
"40","Collective Behavior and Soc Mo","SOC350","N<10","N<10",2.91,"N<10",2012
"41","History and Systems","PSY410","2.85","N<10",2.47,"2.43",2012
"42","Psychology of Women","PSY322","2","N<10",2.5,"1.85",2012
"43","Ethnic Relations In America","SOC320","2.42","N<10",2.86,"N<10",2012
"44","Classical Sociological Theory","SOC305","3.24","N<10",2.84,"3.36",2012
"45","Family Violence","SW322","3.09","N<10",3.22,"3.5",2012
"46","Survey of Social Welfare","SW300","N<10","N<10",3.47,"N<10",2012
"47","Soc Welfare Policies and Issue","SW431","N<10","N<10",3.66,"N<10",2012
"48","Industrial and Organizatio Psy","PSY332","3.13","N<10",3.35,"N<10",2012
"49","The Psychology of Identity","PSY321","3.25","N<10",3,"N<10",2012
"50","Field Work","SW402","N<10","N<10",3.96,"4",2012
"51","Community Psychology","PSY425","N<10","N<10",3.16,"N<10",2012
"52","Social Work Practice","SW301","N<10","N<10",3.17,"N<10",2012
"53","Statistics For Social Sci Act","PSY307A","3.45","N<10",3.16,"3.36",2012
"54","Criminology","SOC302","2.93","N<10",2.68,"2.72",2012
"55","Death and Dying","SW470","N<10","N<10",3.33,"N<10",2012
"56","Treatment of Law Violators","SW318","3.13","N<10",3.04,"2.75",2012
"57","Social Stratificationand Inequ","SOC309","3.18","N<10",3.02,"2.78",2012
"58","Urban Sociology","SOC401","3.19","N<10",2.86,"2.96",2012
"59","Prin of Behavorial Management","PSY450","N<10","N<10",2.98,"N<10",2012
"60","Basic Developmental Psychology","PSY305","3.27","N<10",3.48,"3.45",2012
"61","Contemporary Sociological Thry","SOC306","3.25","N<10",3.14,"3.46",2012
"62","Technology and Society","SOC440","N<10","N<10",3.13,"N<10",2012
"63","Spec Study Ud Students","PSY400","N<10","N<10",4,"N<10",2012
