"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","2.97","2.45",2.55,"2.98",2015
"2","Human Sexual Behav,  Relatnshi","PSY455","3.04","2.78",2.7,"2.73",2015
"3","Health Psychology","PSY326","3.05","2.67",2.81,"2.7",2015
"4","Mind, Brain, and Behavior","PSY210","2.64","1.81",2.19,"2.43",2015
"5","Contemporary Social Problems","SOC301","3.29","N<10",2.86,"3.03",2015
"6","Social Stratificationand Inequ","SOC309","3.43","N<10",3.23,"N<10",2015
"7","Child Psych,  Early Childhood","PSY310","N<10","N<10",2.73,"N<10",2015
"8","Child Psych,  The Middle Years","PSY311","2.86","N<10",2.55,"2.29",2015
"9","Psychology of Women","PSY322","N<10","N<10",2.77,"N<10",2015
"10","Principles of Sociology","SOC202","N<10","N<10",2.7,"2.52",2015
"11","Cognitive Processes","PSY334","3.41","N<10",3.17,"3.22",2015
"12","Criminology","SOC302","3.67","N<10",3.48,"3.45",2015
"13","Classical Sociological Theory","SOC305","2.18","N<10",2.35,"N<10",2015
"14","Psychology of Personality","PSY403","2.93","N<10",2.42,"2.12",2015
"15","Adolescent Psychology","PSY312","N<10","N<10",2.77,"N<10",2015
"16","Memory and Amnesia","PSY335","N<10","N<10",3.01,"N<10",2015
"17","Industrial and Organizatio Psy","PSY332","3.94","N<10",3.66,"3.79",2015
"18","Probation and Parole","SW320","N<10","N<10",3.23,"N<10",2015
"19","Rsrch Methods In Sociology II","SOC205","N<10","N<10",3.45,"N<10",2015
"20","Socialization,  Self and Socie","SOC402","3.23","N<10",3.12,"N<10",2015
"21","Organizational Change and Inte","PSY452","N<10","N<10",3.32,"3.03",2015
"22","Principles of Psychology I","PSY202","2.41","1.52",2.18,"2.08",2015
"23","The Psychology of Identity","PSY321","N<10","N<10",2.78,"N<10",2015
"24","Basic Counseling Skills","PSY417","3.08","N<10",3.1,"3.17",2015
"25","Principles of Sociology","SOC201","2.64","2.07",2.34,"2.32",2015
"26","Sociology of Minority Commun","SOC323","N<10","N<10",2.61,"N<10",2015
"27","Abnormal Psychology","PSY415","3.4","2.76",3.03,"2.96",2015
"28","Ethnic Relations In America","SOC320","N<10","N<10",2.63,"N<10",2015
"29","Survey Research","SOC444","N<10","N<10",3.3,"N<10",2015
"30","Survey Research Activity","SOC444A","N<10","N<10",3.3,"N<10",2015
"31","Survey of Social Welfare","SW300","N<10","N<10",3.02,"N<10",2015
"32","Family Violence","SW322","3.86","N<10",3.7,"N<10",2015
"33","Senior Seminar","SOC498","N<10","N<10",3.11,"N<10",2015
"34","Treatment of Law Violators","SW318","N<10","N<10",3.15,"N<10",2015
"35","Social Work Practice","SW301","N<10","N<10",3.28,"N<10",2015
"36","Statistics For The Social Scie","PSY307","3.39","N<10",2.88,"3.19",2015
"37","Statistics For Social Sci Act","PSY307A","3.39","N<10",2.88,"3.19",2015
"38","Theories of Counseling","PSY412","3.24","N<10",2.49,"2.82",2015
"39","Spec Study Ud Students","PSY400","4","N<10",3.93,"N<10",2015
"40","Research Methods In Sociolgy I","SOC204","3.24","N<10",3.16,"N<10",2015
"41","Politics As A Soc Institution","SOC322","N<10","N<10",3.19,"N<10",2015
"42","Exper Psy and Res Meth and Des","PSY433","3.37","2.81",3.23,"3.09",2015
"43","Exper Psy and Res Meth and Des","PSY433L","3.37","2.81",3.23,"3.09",2015
"44","Spec Topics Ud Students","SOC499","3.45","N<10",3.37,"N<10",2015
"45","Juvenile Delinquency","SOC360","3.2","N<10",3.31,"N<10",2015
"46","Community Psychology","PSY425","N<10","N<10",2.84,"N<10",2015
"47","Theories of Learning","PSY402","N<10","N<10",1.89,"N<10",2015
"48","Research Methods In Psychology","PSY204","3.08","2.27",2.5,"2.31",2015
"49","Basic Developmental Psychology","PSY305","3.12","N<10",2.7,"2.51",2015
"50","Soc Welfare Policies and Issue","SW431","N<10","N<10",3.84,"N<10",2015
"51","Program Evaluation","PSY430","3.58","N<10",3.37,"3.16",2015
"52","Field Work","SW402","N<10","N<10",3.98,"N<10",2015
"53","Social Psychology","PSY401","3","N<10",2.78,"3.02",2015
"54","Child Psych For Educators","PSY206","N<10","N<10",1.89,"N<10",2015
"55","Qualitative Methds In Psychlgy","PSY404","N<10","N<10",3.94,"N<10",2015
"56","Spec Topics Ud Students","PSY499","N<10","N<10",3.52,"N<10",2015
"57","Environmental Psychology","PSY420","N<10","N<10",3,"N<10",2015
"58","Multicultural Psychology","PSY325","3.06","2.67",2.8,"2.98",2015
"59","Senior Seminar","PSY498","3.65","N<10",3.49,"3.65",2015
"60","Family As A Social Institution","SOC321","3.14","N<10",2.78,"N<10",2015
"61","Contemporary Sociological Thry","SOC306","3.03","N<10",2.86,"N<10",2015
"62","Gender and Sexuality","SOC328","N<10","N<10",2.67,"N<10",2015
"63","Statistics For The Social Sci","SOC307","N<10","N<10",3.33,"N<10",2015
"64","Statistics For Social Sci Act","SOC307A","N<10","N<10",3.33,"N<10",2015
