"","Course","Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap","year"
"1","General Psychology","PSY201",856,"828",2.88,"2.73","0.15",2017
"2","Principles of Sociology","SOC201",417,"256",2.28,"2.37","-0.09",2017
"3","Mind, Brain, and Behavior","PSY210",277,"168",2.24,"2.44","-0.19",2017
"4","Human Sexual Behav,  Relatnshi","PSY455",570,"320",3.02,"2.89","0.13",2017
"5","Multicultural Psychology","PSY325",172,"81",2.74,"2.55","0.19",2017
"6","Principles of Psychology I","PSY202",177,"91",2.66,"2.44","0.22",2017
"7","Contemporary Social Problems","SOC301",144,"98",2.53,"2.9","-0.37",2017
"8","Gender and Sexuality","SOC328",79,"20",2.89,"3.09","-0.19",2017
"9","Survey Research","SOC444",45,"23",2.78,"3.2","-0.43",2017
"10","Survey Research Activity","SOC444A",45,"23",2.78,"3.2","-0.43",2017
"11","Statistics For Social Sci Act","PSY307A",108,"37",3.07,"3.05","0.03",2017
"12","Research Methods In Psychology","PSY204",110,"41",2.85,"2.71","0.14",2017
"13","Juvenile Delinquency","SOC360",98,"46",2.94,"2.82","0.12",2017
"14","Health Psychology","PSY326",371,"195",2.99,"2.94","0.04",2017
"15","Urban Sociology","SOC401",29,"18",2.98,"2.52","0.46",2017
"16","Social Work Practice","SW301",63,"15",3.33,"3.31","0.02",2017
"17","Senior Seminar","PSY498",161,"33",3.64,"3.5","0.14",2017
"18","Research Methods In Sociolgy I","SOC204",126,"60",2.99,"2.76","0.22",2017
"19","Statistics For The Social Scie","PSY307",108,"37",3,"2.96","0.04",2017
"20","Socialization,  Self and Socie","SOC402",99,"44",2.89,"2.61","0.27",2017
"21","Principles of Sociology","SOC202",89,"46",2.6,"2.39","0.21",2017
"22","Statistics For The Social Sci","SOC307",104,"40",3.33,"3.37","-0.03",2017
"23","Statistics For Social Sci Act","SOC307A",104,"40",3.33,"3.37","-0.03",2017
"24","Abnormal Psychology","PSY415",134,"55",2.88,"3","-0.12",2017
"25","Social Stratificationand Inequ","SOC309",104,"40",2.71,"2.58","0.13",2017
"26","Theories of Counseling","PSY412",40,"N<10",2.91,"N<10","N/A",2017
"27","Industrial and Organizatio Psy","PSY332",72,"22",3.59,"3.3","0.29",2017
"28","Treatment of Law Violators","SW318",37,"11",3.01,"3.12","-0.11",2017
"29","Basic Developmental Psychology","PSY305",75,"20",2.63,"2.3","0.33",2017
"30","Classical Sociological Theory","SOC305",106,"37",2.91,"2.56","0.35",2017
"31","Senior Seminar Service Lrng","SOC498S",32,"N<10",3.07,"N<10","N/A",2017
"32","Criminology","SOC302",66,"29",2.88,"2.41","0.47",2017
"33","Psychology of Women","PSY322",84,"15",3.43,"3.24","0.19",2017
"34","Probation and Parole","SW320",77,"21",3.32,"3.21","0.11",2017
"35","Ethnic Relations In America","SOC320",32,"16",2.98,"2.31","0.67",2017
"36","Senior Seminar","SOC498",71,"29",3.2,"3.22","-0.02",2017
"37","Environmental Psychology","PSY420",29,"14",3.1,"2.74","0.36",2017
"38","Politics As A Soc Institution","SOC322",30,"18",3.15,"3.34","-0.19",2017
"39","Family As A Social Institution","SOC321",70,"26",3.09,"3","0.09",2017
"40","Sensation and Perception","PSY460",25,"16",2.73,"2.92","-0.18",2017
"41","Program Evaluation","PSY430",62,"N<10",3.17,"N<10","N/A",2017
"42","Cognitive Processes","PSY334",108,"33",2.2,"2.31","-0.11",2017
"43","Basic Counseling Skills","PSY417",112,"30",3.18,"2.93","0.24",2017
"44","Contemporary Sociological Thry","SOC306",65,"30",3.2,"3.07","0.13",2017
"45","Field Work","SW402",69,"12",3.93,"3.85","0.08",2017
"46","Organizational Change and Inte","PSY452",69,"23",3.63,"3.67","-0.03",2017
"47","Soc Welfare Policies and Issue","SW431",25,"N<10",3.47,"N<10","N/A",2017
"48","Survey of Social Welfare","SW300",38,"10",3.49,"3.3","0.19",2017
"49","Child Psych,  Early Childhood","PSY310",74,"20",3.3,"3.14","0.16",2017
"50","Adolescent Psychology","PSY312",119,"23",3.15,"3.3","-0.15",2017
"51","Sociology of Minority Commun","SOC323",93,"49",3.28,"3.31","-0.03",2017
"52","Theories of Learning","PSY402",35,"12",2.75,"3.42","-0.66",2017
"53","Memory and Amnesia","PSY335",106,"35",3.27,"3.04","0.23",2017
"54","Rsrch Methods In Sociology II","SOC205",128,"51",3.36,"3.25","0.12",2017
"55","Exper Psy and Res Meth and Des","PSY433",132,"33",3.32,"3.07","0.25",2017
"56","Exper Psy and Res Meth and Des","PSY433L",132,"33",3.32,"3.07","0.25",2017
"57","Spec Study Ud Students","PSY400",45,"11",3.97,"4","-0.03",2017
"58","Qualitative Methds In Psychlgy","PSY404",54,"20",3.67,"3.73","-0.07",2017
"59","Family Violence","SW322",75,"20",3.55,"3.58","-0.03",2017
"60","Social Psychology","PSY401",62,"34",2.73,"2.86","-0.14",2017
"61","Spec Topics Ud Students","PSY499",24,"N<10",4,"N<10","N/A",2017
