"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"1","Introduction To Psychology","PSY2201",284,603,3.27,3.36,0.09,2020
"2","Research Methods In Psychology","PSY2204",72,155,2.94,3.22,0.27,2020
"3","Statistics For Sociology","SOC3307",139,189,3.42,3.23,-0.19,2020
"4","Mind Brain Behvr Intgrtd View","PSY2210",249,432,3.33,3.41,0.09,2020
"5","Contemp Sociology Theory","SOC3306",162,205,3.5,3.36,-0.14,2020
"6","Statistics For Psychology","PSY3307",117,210,3.48,3.33,-0.16,2020
"7","Soc Inequality Sport and Body","SOC4451",52,59,3.11,3.54,0.43,2020
"8","Statistics For Sociology Lab","SOC3307L",138,189,3.54,3.4,-0.14,2020
"9","Soc Welfare Policy Issues","SW3310",102,99,3.5,3.29,-0.21,2020
"10","Multicultural Psychology","PSY3325",264,530,3.15,3.2,0.05,2020
"11","Organizational Psychology","PSY3332",97,143,3.64,3.5,-0.14,2020
"12","Socialization,  Self and Socie","SOC4402",91,112,3.62,3.46,-0.16,2020
"13","Crime Criminalization Society","SOC3345",110,126,3.45,3.31,-0.13,2020
"14","Statistics For Psychology Act","PSY3307A",117,210,3.47,3.38,-0.09,2020
"15","Survey Research","PSY4444",46,71,3.33,3.58,0.25,2020
"16","Social Work Practice","SW3301",46,48,3.46,3.15,-0.31,2020
"17","Social Strat and Inequality","SOC3309",146,208,3.68,3.6,-0.08,2020
"18","Social Work Pract Lab","SW3301L",46,47,3.49,3.19,-0.3,2020
"19","Research Methods In Sociology","SOC2205",204,257,3.47,3.41,-0.06,2020
"20","Basic Developmental Psychology","PSY3305",164,295,3.7,3.64,-0.06,2020
"21","Hr In Organizations","PSY3314",16,34,3.38,3.89,0.51,2020
"22","Cognitive Processes","PSY3334",89,140,3.3,3.41,0.11,2020
"23","Community and Urban Sociology","SOC3325",58,86,3.34,3.51,0.17,2020
"24","Crm Theory","CRM3350",44,50,2.86,3.09,0.23,2020
"25","Introduction To Criminology","CRM2201",138,191,3.5,3.57,0.07,2020
"26","Impact Colonization On Hawaii","SOC4465",17,19,3.02,3.55,0.53,2020
"27","Memory and Amnesia","PSY3335",48,66,3.27,3.11,-0.17,2020
"28","Careers In Psychology","PSY2222",147,259,3.8,3.85,0.05,2020
"29","Intro Soc Work and Soc Welfare","SW2201",93,105,3.45,3.36,-0.09,2020
"30","Senior Seminar","PSY4611",137,253,3.62,3.66,0.05,2020
"31","Classic Sociological Theory","SOC3305",230,250,3.7,3.73,0.04,2020
"32","Senior Symposium","SOC4611",115,131,3.49,3.56,0.07,2020
"33","Abnormal Psychology","PSY4150",193,343,3.22,3.19,-0.03,2020
"34","Latina and O Sociology","SOC3313",90,93,3.42,3.34,-0.08,2020
"35","Basic Counseling Skills","PSY4170",143,279,3.51,3.47,-0.03,2020
"36","Leadership and Teams","PSY4490",17,31,3.88,3.6,-0.28,2020
"37","Political Violence","CRM3380",21,26,3.06,3.35,0.28,2020
"38","Sociology of The Family","SOC3321",48,51,3.19,3.31,0.11,2020
