"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2012 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"URM/Non-URM Summary"
Course,"Course Code","Non-URM Enrollment","URM Enrollment","Non-URM AVG. GPA","URM AVG. GPA","GPA Gap"
"General Psychology",PSY201,951,601,3.01,2.78,0.22
"Principles of Psychology I",PSY202,153,185,2.59,2.23,0.37
"Principles of Sociology",SOC201,336,308,2.55,2.34,0.21
"Human Sexual Behav,  Relatnshi",PSY455,239,216,2.95,3,-0.05
"Exper Psy and Res Meth and Des",PSY433,87,105,3.01,2.61,0.4
"Exper Psy and Res Meth and Des",PSY433L,87,105,3.24,2.82,0.42
"Abnormal Psychology",PSY415,128,106,3,2.83,0.17
"Health Psychology",PSY326,212,218,2.93,3.04,-0.1
"Cognitive Processes",PSY334,62,81,2.71,2.42,0.29
"Mind, Brain, and Behavior",PSY210,261,278,2.53,2.3,0.23
"Program Evaluation",PSY430,49,51,3.49,3.22,0.27
"Politics As A Soc Institution",SOC322,26,35,3.1,3,0.1
"Psychology of Personality",PSY403,65,76,2.88,2.42,0.46
"Principles of Sociology",SOC202,69,115,3.19,2.59,0.6
"Child Psych,  The Middle Years",PSY311,39,57,3.43,3.25,0.18
"Adolescent Psychology",PSY312,37,58,3.46,2.92,0.54
"Theories of Learning",PSY402,35,36,1.54,1.21,0.33
"Senior Seminar",PSY498,77,92,3.52,3.58,-0.05
"Survey Research",SOC444,37,46,3.33,3.17,0.16
"Statistics For The Social Scie",PSY307,56,83,3.3,2.81,0.49
"Multicultural Psychology",PSY325,121,106,3.16,3.14,0.03
"Juvenile Delinquency",SOC360,40,95,3.27,3.26,0.02
"Gender and Sexuality",SOC328,31,65,3.42,3.39,0.03
"Research Methods In Sociolgy I",SOC204,45,81,3.18,2.84,0.34
"Research Methods In Psychology",PSY204,67,86,2.75,2.76,-0.01
"Child Psych For Educators",PSY206,34,31,2.75,2.81,-0.05
"Child Psych,  Early Childhood",PSY310,43,53,3.23,2.83,0.4
"Social Change",SOC340,14,29,3.14,2.91,0.24
"Rsrch Methods In Sociology II",SOC205,50,65,3.59,3.65,-0.06
"Sociology of Minority Commun",SOC323,20,74,3.38,3.51,-0.13
"Theories of Counseling",PSY412,30,44,2.94,2.7,0.24
"Socialization,  Self and Socie",SOC402,56,82,3.16,3.16,0
"Survey Research Activity",SOC444A,37,46,3.43,3.46,-0.03
"Senior Seminar",SOC498,45,61,3.54,3.33,0.2
"Statistics For Social Sci Act",SOC307A,55,89,3.5,3.45,0.05
"Statistics For The Social Sci",SOC307,55,89,3.5,3.45,0.06
"Probation and Parole",SW320,15,33,3.27,2.91,0.36
"Contemporary Social Problems",SOC301,70,80,2.91,2.78,0.13
"Social Psychology",PSY401,84,140,3.03,2.83,0.19
"Collective Behavior and Soc Mo",SOC350,17,30,3.1,2.89,0.21
"History and Systems",PSY410,36,58,2.8,2.49,0.31
"Psychology of Women",PSY322,47,85,2.04,2.44,-0.4
"Ethnic Relations In America",SOC320,31,62,2.9,2.82,0.09
"Classical Sociological Theory",SOC305,58,86,3.18,2.83,0.35
"Family Violence",SW322,38,58,3.29,3.21,0.08
"Survey of Social Welfare",SW300,20,51,3.2,3.47,-0.27
"Soc Welfare Policies and Issue",SW431,N<10,38,N<10,3.62,N/A
"Industrial and Organizatio Psy",PSY332,20,28,3.28,3.3,-0.01
"The Psychology of Identity",PSY321,29,19,2.91,2.91,-0.01
"Field Work",SW402,30,53,4,3.88,0.12
"Community Psychology",PSY425,18,30,3,3.13,-0.13
"Social Work Practice",SW301,23,50,3.48,3.18,0.3
"Statistics For Social Sci Act",PSY307A,56,83,3.4,3.14,0.26
Criminology,SOC302,58,76,2.89,2.67,0.22
"Death and Dying",SW470,16,32,3.56,3.38,0.19
"Treatment of Law Violators",SW318,30,59,2.93,3.05,-0.12
"Social Stratificationand Inequ",SOC309,46,93,3.01,3,0.01
"Urban Sociology",SOC401,40,61,3.03,2.88,0.15
"Prin of Behavorial Management",PSY450,13,15,3.03,2.98,0.05
"Basic Developmental Psychology",PSY305,43,53,3.36,3.45,-0.1
"Contemporary Sociological Thry",SOC306,57,72,3.3,3.13,0.17
"Technology and Society",SOC440,14,20,2.98,3.09,-0.11
"Spec Study Ud Students",PSY400,20,11,4,4,-0

