"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"1","General Psychology","PSY201",506,1178,2.69,2.86,0.17,2017
"2","Principles of Sociology","SOC201",234,439,2.18,2.38,0.2,2017
"3","Mind, Brain, and Behavior","PSY210",132,313,2.12,2.39,0.27,2017
"4","Human Sexual Behav,  Relatnshi","PSY455",307,583,2.91,3,0.09,2017
"5","Multicultural Psychology","PSY325",84,169,2.85,2.6,-0.25,2017
"6","Principles of Psychology I","PSY202",87,181,2.42,2.66,0.24,2017
"7","Contemporary Social Problems","SOC301",102,140,2.54,2.78,0.24,2017
"8","Gender and Sexuality","SOC328",49,50,2.65,3.19,0.54,2017
"9","Survey Research","SOC444",28,40,2.5,3.22,0.72,2017
"10","Survey Research Activity","SOC444A",28,40,2.5,3.22,0.72,2017
"11","Statistics For Social Sci Act","PSY307A",48,97,3.24,2.98,-0.27,2017
"12","Research Methods In Psychology","PSY204",49,102,2.67,2.88,0.22,2017
"13","Juvenile Delinquency","SOC360",58,86,2.77,2.99,0.22,2017
"14","Health Psychology","PSY326",209,357,2.94,2.99,0.05,2017
"15","Urban Sociology","SOC401",23,24,2.49,3.1,0.6,2017
"16","Social Work Practice","SW301",33,45,3.53,3.18,-0.35,2017
"17","Senior Seminar","PSY498",68,126,3.71,3.57,-0.14,2017
"18","Research Methods In Sociolgy I","SOC204",76,110,2.83,2.97,0.15,2017
"19","Statistics For The Social Scie","PSY307",48,97,3.11,2.92,-0.19,2017
"20","Socialization,  Self and Socie","SOC402",69,74,2.73,2.88,0.15,2017
"21","Principles of Sociology","SOC202",50,85,2.43,2.59,0.16,2017
"22","Statistics For The Social Sci","SOC307",60,84,3.26,3.4,0.14,2017
"23","Statistics For Social Sci Act","SOC307A",60,84,3.26,3.4,0.14,2017
"24","Abnormal Psychology","PSY415",58,131,2.99,2.88,-0.11,2017
"25","Social Stratificationand Inequ","SOC309",64,80,2.59,2.73,0.14,2017
"26","Theories of Counseling","PSY412",11,38,2.61,2.96,0.35,2017
"27","Industrial and Organizatio Psy","PSY332",27,67,3.65,3.47,-0.18,2017
"28","Treatment of Law Violators","SW318",29,19,2.91,3.23,0.32,2017
"29","Basic Developmental Psychology","PSY305",42,53,2.48,2.62,0.14,2017
"30","Classical Sociological Theory","SOC305",72,71,2.87,2.78,-0.09,2017
"31","Senior Seminar Service Lrng","SOC498S",18,22,3.26,2.94,-0.32,2017
"32","Criminology","SOC302",43,52,2.67,2.8,0.13,2017
"33","Psychology of Women","PSY322",35,64,3.48,3.36,-0.12,2017
"34","Probation and Parole","SW320",41,57,3.23,3.35,0.12,2017
"35","Ethnic Relations In America","SOC320",25,23,2.64,2.88,0.24,2017
"36","Senior Seminar","SOC498",47,53,3.14,3.25,0.11,2017
"37","Environmental Psychology","PSY420",15,28,3.13,2.89,-0.24,2017
"38","Politics As A Soc Institution","SOC322",24,24,3.13,3.31,0.18,2017
"39","Family As A Social Institution","SOC321",47,49,3.02,3.11,0.09,2017
"40","Sensation and Perception","PSY460",13,28,2.67,2.87,0.2,2017
"41","Program Evaluation","PSY430",24,47,3.22,3.11,-0.12,2017
"42","Cognitive Processes","PSY334",48,93,2.19,2.24,0.06,2017
"43","Basic Counseling Skills","PSY417",49,93,3.16,3.11,-0.05,2017
"44","Contemporary Sociological Thry","SOC306",41,54,3.2,3.13,-0.08,2017
"45","Field Work","SW402",50,31,3.89,3.97,0.08,2017
"46","Organizational Change and Inte","PSY452",29,63,3.69,3.62,-0.07,2017
"47","Soc Welfare Policies and Issue","SW431",19,13,3.46,3.26,-0.2,2017
"48","Survey of Social Welfare","SW300",22,26,3.38,3.51,0.13,2017
"49","Child Psych,  Early Childhood","PSY310",30,64,3.22,3.29,0.06,2017
"50","Adolescent Psychology","PSY312",52,90,3.16,3.19,0.04,2017
"51","Sociology of Minority Commun","SOC323",61,81,3.31,3.28,-0.04,2017
"52","Theories of Learning","PSY402",14,33,2.86,2.95,0.09,2017
"53","Memory and Amnesia","PSY335",41,100,3.2,3.22,0.03,2017
"54","Rsrch Methods In Sociology II","SOC205",81,98,3.34,3.32,-0.02,2017
"55","Exper Psy and Res Meth and Des","PSY433",51,114,3.28,3.26,-0.02,2017
"56","Exper Psy and Res Meth and Des","PSY433L",51,114,3.28,3.26,-0.02,2017
"57","Spec Study Ud Students","PSY400",22,34,4,3.96,-0.04,2017
"58","Qualitative Methds In Psychlgy","PSY404",18,56,3.71,3.68,-0.03,2017
"59","Family Violence","SW322",42,53,3.55,3.57,0.02,2017
"60","Social Psychology","PSY401",34,62,2.79,2.77,-0.01,2017
"61","Spec Topics Ud Students","PSY499",12,15,4,4,0,2017
