"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"1","Introduction To Psychology","PSY2201",321,661,2.88,2.96,0.08,2019
"2","Introduction To Sociology","SOC2201",206,336,2.61,2.75,0.13,2019
"3","Multicultural Psychology","PSY3325",171,325,3.21,3.08,-0.12,2019
"4","Abnormal Psychology","PSY4150",124,265,2.83,2.98,0.15,2019
"5","Research Methods In Sociology","SOC2205",187,213,3.08,3.21,0.13,2019
"6","Gender and Sexuality","SOC3328",128,161,3.51,3.68,0.17,2019
"7","Cognitive Processes","PSY3334",104,207,3.34,3.19,-0.15,2019
"8","Senior Seminar","PSY4611",105,156,3.64,3.47,-0.16,2019
"9","Basic Counseling Skills","PSY4170",93,167,3.41,3.24,-0.16,2019
"10","Soc Inequality Sport and Body","SOC4451",36,67,2.65,3.03,0.39,2019
"11","Basic Developmental Psychology","PSY3305",112,271,3.53,3.42,-0.1,2019
"12","Senior Symposium","SOC4611",82,119,3.14,3.34,0.2,2019
"13","Theories of Counseling","PSY4121",51,112,3.14,3.35,0.21,2019
"14","Statistics For Sociology","SOC3307",166,175,3.11,3.21,0.1,2019
"15","Careers In Psychology","PSY2222",96,187,3.71,3.82,0.11,2019
"16","Statistics For Psychology","PSY3307",104,185,3.08,2.99,-0.1,2019
"17","Juvenile Delinquency","CRM3360",48,51,2.31,2.6,0.29,2019
"18","Human Sexuality,  Relationship","PSY4455",260,493,3.08,3.04,-0.04,2019
"19","Social Psychology","PSY4401",133,243,3.12,3.19,0.07,2019
"20","Probation and Parole","CRM3320",58,73,2.95,3.14,0.19,2019
"21","Psychology of Personality","PSY4403",92,136,3.21,3.11,-0.11,2019
"22","Social Strat and Inequality","SOC3309",168,231,3.06,3.12,0.06,2019
"23","Latina and O Sociology","SOC3313",81,60,3.54,3.38,-0.16,2019
"24","Race and Ethnic Relations","SOC3320",71,116,3.18,3.06,-0.12,2019
"25","Contemp Sociology Theory","SOC3306",156,193,3.17,3.23,0.06,2019
"26","Program Evaluation Lab","PSY4430A",42,82,3.86,3.69,-0.17,2019
"27","Statistics For Psychology Act","PSY3307A",104,185,3.04,2.97,-0.07,2019
"28","Crime Criminalization Society","SOC3345",80,144,3.1,3.18,0.09,2019
"29","Statistics For Sociology Lab","SOC3307L",165,175,3.34,3.39,0.05,2019
"30","Qualitative Methods In Psych","PSY4404",17,24,2.44,2.86,0.42,2019
"31","Black Sociology","SOC3314",15,29,2.89,3.25,0.36,2019
"32","Classic Sociological Theory","SOC3305",193,254,3.15,3.19,0.03,2019
"33","Program Evaluation","PSY4430",42,82,3.86,3.74,-0.12,2019
"34","Introduction To Criminology","CRM2201",178,276,2.59,2.56,-0.03,2019
"35","Crime Analysis Activity","CRM3306A",18,27,3.09,3.39,0.3,2019
"36","Quantitative Mthds Soclgy Lab","SOC4100L",42,32,3.73,3.57,-0.16,2019
"37","Adolescent Psychology","PSY3312",81,133,2.89,2.94,0.05,2019
"38","Qualitative Methods For Soc","SOC4110",46,59,3.68,3.79,0.11,2019
