"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2016 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Pell Status Summary"
Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"General Psychology",PSY201,734,895,2.45,2.55,0.09
"Human Sexual Behav,  Relatnshi",PSY455,418,363,2.55,2.74,0.19
"Mind, Brain, and Behavior",PSY210,210,211,2.31,2.38,0.07
"Principles of Sociology",SOC201,267,268,2.28,2.31,0.03
"Multicultural Psychology",PSY325,198,161,2.86,2.98,0.12
"Principles of Psychology I",PSY202,158,113,2.43,2.6,0.17
"Research Methods In Sociolgy I",SOC204,97,50,3.1,3.23,0.12
"Basic Developmental Psychology",PSY305,51,45,2.52,3.18,0.67
"Statistics For The Social Scie",PSY307,79,63,3.03,3.07,0.03
"Statistics For Social Sci Act",PSY307A,79,63,3.03,3.07,0.03
"Child Psych,  Early Childhood",PSY310,46,41,3.02,2.98,-0.05
"Statistics For The Social Sci",SOC307,34,29,3.17,3.43,0.26
"Cognitive Processes",PSY334,75,63,2.85,2.95,0.11
"Juvenile Delinquency",SOC360,67,51,2.78,2.77,-0
"Exper Psy and Res Meth and Des",PSY433,90,73,3,3.23,0.24
"Exper Psy and Res Meth and Des",PSY433L,90,73,3,3.23,0.24
"Statistics For Social Sci Act",SOC307A,34,29,3.25,3.69,0.44
"Contemporary Sociological Thry",SOC306,74,38,3.18,3.37,0.19
"Senior Seminar",PSY498,74,56,3.71,3.85,0.14
"Family Violence",SW322,60,27,3.4,3.15,-0.25
"Theories of Learning",PSY402,19,22,2.46,2.88,0.42
"Treatment of Law Violators",SW318,53,37,2.75,2.98,0.23
"Memory and Amnesia",PSY335,25,22,3.07,3,-0.07
"Religion In American Life",SOC324,21,13,2.85,3.33,0.48
"Abnormal Psychology",PSY415,97,88,2.69,2.81,0.12
"Classical Sociological Theory",SOC305,86,48,2.81,2.84,0.03
"Senior Seminar",SOC498,80,41,3.37,3.62,0.25
Criminology,SOC302,85,59,2.83,2.77,-0.06
"Psychology of Women",PSY322,57,38,2.78,2.88,0.1
"Social Inequality and Sport",SOC451,27,17,2.79,2.77,-0.02
"Ethnic Relations In America",SOC320,23,25,3.51,3.49,-0.01
"Socialization,  Self and Socie",SOC402,80,32,2.73,2.77,0.04
"Rsrch Methods In Sociology II",SOC205,83,51,3.59,3.31,-0.28
"Gender and Sexuality",SOC328,66,40,2.77,2.89,0.12
"Child Psych,  The Middle Years",PSY311,25,20,2.71,3.13,0.43
"Basic Counseling Skills",PSY417,50,46,3.3,3.39,0.09
"Research Methods In Psychology",PSY204,51,53,2.78,2.97,0.19
"Sensation and Perception",PSY460,25,20,3.5,3.32,-0.19
"Probation and Parole",SW320,58,30,3.02,3.04,0.02
"Social Change",SOC340,17,10,3.4,2.93,-0.46
"Industrial and Organizatio Psy",PSY332,50,46,3.71,3.52,-0.19
"Adolescent Psychology",PSY312,43,52,3.09,3.29,0.2
"Program Evaluation",PSY430,56,50,3.68,3.61,-0.07
"Survey of Social Welfare",SW300,19,N<10,3.54,N<10,N/A
"Survey Research",SOC444,21,11,3.3,3.55,0.24
"Health Psychology",PSY326,311,259,2.52,2.62,0.1
"Survey Research Activity",SOC444A,21,11,3.6,3.48,-0.12
"Psychology of Personality",PSY403,72,59,2.89,2.88,-0
"Soc Welfare Policies and Issue",SW431,19,N<10,3.72,N<10,N/A
"Organizational Change and Inte",PSY452,24,24,3.36,3.5,0.14
"Theories of Counseling",PSY412,14,12,3.05,2.58,-0.46
"Principles of Sociology",SOC202,41,27,2.09,2.5,0.41
"Social Stratificationand Inequ",SOC309,75,34,2.67,2.89,0.22
"Physiological Psychology",PSY303,12,12,3.24,3.28,0.03
"Politics As A Soc Institution",SOC322,29,17,2.47,3.1,0.63
"Urban Sociology",SOC401,31,14,3.4,3.31,-0.09
"Qualitative Methds In Psychlgy",PSY404,12,12,3.88,3.78,-0.1
"Spec Study Ld Students",PSY200,19,12,4,3.92,-0.08
"Physiological Psychology Lab",PSY303L,12,12,4,3.94,-0.06
"Spec Study Ud Students",PSY400,23,24,4,3.97,-0.03
"Social Work Practice",SW301,36,24,3.39,3.57,0.18
"Social Psychology",PSY401,49,46,3.18,3.22,0.05
"Family As A Social Institution",SOC321,30,11,2.8,2.76,-0.04
"Contemporary Social Problems",SOC301,114,100,2.94,3.07,0.13
"Field Work",SW402,61,28,4,4,-0

