"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2016 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"URM/Non-URM Summary"
Course,"Course Code","Non-URM Enrollment","URM Enrollment","Non-URM AVG. GPA","URM AVG. GPA","GPA Gap"
"General Psychology",PSY201,855,774,2.67,2.32,0.35
"Human Sexual Behav,  Relatnshi",PSY455,353,428,2.77,2.53,0.24
"Mind, Brain, and Behavior",PSY210,190,231,2.54,2.17,0.37
"Principles of Sociology",SOC201,239,296,2.43,2.19,0.24
"Multicultural Psychology",PSY325,157,202,2.97,2.87,0.1
"Principles of Psychology I",PSY202,109,162,2.64,2.4,0.23
"Research Methods In Sociolgy I",SOC204,43,104,3.32,3.07,0.25
"Basic Developmental Psychology",PSY305,39,57,3.06,2.68,0.38
"Statistics For The Social Scie",PSY307,47,95,3.27,2.95,0.32
"Statistics For Social Sci Act",PSY307A,47,95,3.27,2.95,0.32
"Child Psych,  Early Childhood",PSY310,37,50,2.87,3.09,-0.22
"Statistics For The Social Sci",SOC307,20,43,3.45,3.21,0.24
"Cognitive Processes",PSY334,67,71,2.89,2.91,-0.02
"Juvenile Delinquency",SOC360,38,80,2.74,2.79,-0.05
"Exper Psy and Res Meth and Des",PSY433,62,101,3.24,3.02,0.22
"Exper Psy and Res Meth and Des",PSY433L,62,101,3.24,3.02,0.22
"Statistics For Social Sci Act",SOC307A,20,43,3.57,3.4,0.17
"Contemporary Sociological Thry",SOC306,32,80,3.25,3.24,0.01
"Senior Seminar",PSY498,54,76,3.85,3.72,0.14
"Family Violence",SW322,18,69,3.24,3.35,-0.11
"Theories of Learning",PSY402,14,27,2.62,2.72,-0.1
"Treatment of Law Violators",SW318,28,62,2.86,2.84,0.03
"Memory and Amnesia",PSY335,20,27,3.15,2.95,0.2
"Religion In American Life",SOC324,N<10,26,N<10,3,N/A
"Abnormal Psychology",PSY415,75,110,2.95,2.61,0.34
"Classical Sociological Theory",SOC305,40,94,3.14,2.69,0.45
"Senior Seminar",SOC498,36,85,3.58,3.4,0.18
Criminology,SOC302,61,83,2.83,2.79,0.03
"Psychology of Women",PSY322,36,59,2.65,2.93,-0.28
"Social Inequality and Sport",SOC451,26,18,3.04,2.43,0.61
"Ethnic Relations In America",SOC320,20,28,3.57,3.45,0.11
"Socialization,  Self and Socie",SOC402,35,77,2.66,2.78,-0.12
"Rsrch Methods In Sociology II",SOC205,40,94,3.6,3.43,0.17
"Gender and Sexuality",SOC328,37,69,2.72,2.86,-0.14
"Child Psych,  The Middle Years",PSY311,14,31,3.1,2.81,0.29
"Basic Counseling Skills",PSY417,33,63,3.53,3.25,0.28
"Research Methods In Psychology",PSY204,54,50,3.06,2.69,0.38
"Sensation and Perception",PSY460,20,25,3.53,3.33,0.19
"Probation and Parole",SW320,18,70,2.87,3.07,-0.2
"Social Change",SOC340,N<10,19,N<10,3.17,N/A
"Industrial and Organizatio Psy",PSY332,46,50,3.62,3.62,0
"Adolescent Psychology",PSY312,44,51,3.24,3.15,0.09
"Program Evaluation",PSY430,42,64,3.66,3.64,0.02
"Survey of Social Welfare",SW300,10,17,3.67,3.54,0.13
"Survey Research",SOC444,10,22,3.23,3.45,-0.22
"Health Psychology",PSY326,291,279,2.63,2.5,0.13
"Survey Research Activity",SOC444A,10,22,3.3,3.68,-0.38
"Psychology of Personality",PSY403,57,74,2.95,2.83,0.12
"Soc Welfare Policies and Issue",SW431,N<10,20,N<10,3.72,N/A
"Organizational Change and Inte",PSY452,21,27,3.56,3.33,0.22
"Theories of Counseling",PSY412,N<10,19,N<10,2.93,N/A
"Principles of Sociology",SOC202,24,44,2.42,2.17,0.25
"Social Stratificationand Inequ",SOC309,33,76,2.78,2.72,0.06
"Physiological Psychology",PSY303,11,13,3.13,3.36,-0.22
"Politics As A Soc Institution",SOC322,13,33,3.23,2.49,0.74
"Urban Sociology",SOC401,14,31,3.41,3.35,0.05
"Qualitative Methds In Psychlgy",PSY404,11,13,3.85,3.81,0.04
"Spec Study Ld Students",PSY200,16,15,3.94,4,-0.06
"Physiological Psychology Lab",PSY303L,11,13,3.93,4,-0.07
"Spec Study Ud Students",PSY400,19,28,3.96,4,-0.04
"Social Work Practice",SW301,15,45,3.8,3.34,0.46
"Social Psychology",PSY401,34,61,3.34,3.12,0.22
"Family As A Social Institution",SOC321,11,30,2.73,2.81,-0.08
"Contemporary Social Problems",SOC301,93,121,3.06,2.96,0.1
"Field Work",SW402,23,66,4,4,-0

