"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2012 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Gender GPA Summary"
Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"General Psychology",PSY201,721,831,2.97,2.87,0.1
"Principles of Psychology I",PSY202,236,102,2.48,2.19,0.3
"Principles of Sociology",SOC201,356,288,2.48,2.4,0.08
"Human Sexual Behav,  Relatnshi",PSY455,276,179,3,2.93,0.07
"Exper Psy and Res Meth and Des",PSY433,149,43,2.77,2.88,-0.11
"Exper Psy and Res Meth and Des",PSY433L,149,43,2.98,3.12,-0.15
"Abnormal Psychology",PSY415,166,68,2.92,2.92,0
"Health Psychology",PSY326,261,169,3.06,2.86,0.2
"Cognitive Processes",PSY334,100,43,2.54,2.57,-0.03
"Mind, Brain, and Behavior",PSY210,328,211,2.42,2.39,0.04
"Program Evaluation",PSY430,74,26,3.33,3.42,-0.09
"Politics As A Soc Institution",SOC322,42,19,3.02,3.11,-0.09
"Psychology of Personality",PSY403,107,34,2.7,2.4,0.3
"Principles of Sociology",SOC202,124,60,2.92,2.59,0.33
"Child Psych,  The Middle Years",PSY311,74,22,3.44,2.94,0.5
"Adolescent Psychology",PSY312,65,30,3.17,3.03,0.14
"Theories of Learning",PSY402,50,21,1.42,1.27,0.15
"Senior Seminar",PSY498,132,37,3.56,3.51,0.05
"Survey Research",SOC444,66,17,3.32,2.96,0.36
"Statistics For The Social Scie",PSY307,105,34,3.04,2.94,0.09
"Multicultural Psychology",PSY325,160,67,3.28,2.85,0.42
"Juvenile Delinquency",SOC360,95,40,3.38,2.98,0.4
"Gender and Sexuality",SOC328,71,25,3.38,3.44,-0.06
"Research Methods In Sociolgy I",SOC204,96,30,3.03,2.75,0.29
"Research Methods In Psychology",PSY204,116,37,2.75,2.77,-0.01
"Child Psych For Educators",PSY206,57,N<10,2.78,N<10,N/A
"Child Psych,  Early Childhood",PSY310,77,19,3.04,2.86,0.19
"Social Change",SOC340,27,16,3.11,2.76,0.36
"Rsrch Methods In Sociology II",SOC205,90,25,3.66,3.48,0.18
"Sociology of Minority Commun",SOC323,65,29,3.65,3.13,0.52
"Theories of Counseling",PSY412,56,18,2.91,2.46,0.44
"Socialization,  Self and Socie",SOC402,103,35,3.28,2.79,0.49
"Survey Research Activity",SOC444A,66,17,3.53,3.12,0.41
"Senior Seminar",SOC498,79,27,3.46,3.3,0.17
"Statistics For Social Sci Act",SOC307A,118,26,3.46,3.54,-0.08
"Statistics For The Social Sci",SOC307,118,26,3.45,3.54,-0.09
"Probation and Parole",SW320,34,14,3.18,2.64,0.53
"Contemporary Social Problems",SOC301,88,62,2.92,2.72,0.2
"Social Psychology",PSY401,178,46,2.92,2.87,0.05
"Collective Behavior and Soc Mo",SOC350,31,16,2.91,3.06,-0.15
"History and Systems",PSY410,68,26,2.65,2.49,0.16
"Psychology of Women",PSY322,100,32,2.39,2.01,0.38
"Ethnic Relations In America",SOC320,60,33,3.01,2.55,0.47
"Classical Sociological Theory",SOC305,115,29,2.94,3.06,-0.12
"Family Violence",SW322,73,23,3.21,3.32,-0.1
"Survey of Social Welfare",SW300,52,19,3.5,3.11,0.39
"Soc Welfare Policies and Issue",SW431,34,11,3.69,3.39,0.29
"Industrial and Organizatio Psy",PSY332,36,12,3.28,3.33,-0.06
"The Psychology of Identity",PSY321,37,11,2.97,2.7,0.27
"Field Work",SW402,69,14,3.94,3.85,0.09
"Community Psychology",PSY425,39,N<10,3.27,N<10,N/A
"Social Work Practice",SW301,59,14,3.26,3.29,-0.02
"Statistics For Social Sci Act",PSY307A,105,34,3.3,3.08,0.22
Criminology,SOC302,96,38,2.79,2.69,0.09
"Death and Dying",SW470,39,N<10,3.54,N<10,N/A
"Treatment of Law Violators",SW318,64,25,3.03,2.97,0.05
"Social Stratificationand Inequ",SOC309,103,36,3.08,2.8,0.28
"Urban Sociology",SOC401,71,30,3,2.79,0.21
"Prin of Behavorial Management",PSY450,20,N<10,2.97,N<10,N/A
"Basic Developmental Psychology",PSY305,78,18,3.41,3.43,-0.02
"Contemporary Sociological Thry",SOC306,90,39,3.26,3.07,0.19
"Technology and Society",SOC440,23,11,3.06,3,0.06
"Spec Study Ud Students",PSY400,27,N<10,4,N<10,N/A

