"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2013 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Gender GPA Summary"
Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"General Psychology",PSY201,883,"1,001",2.81,2.72,0.1
"Human Sexual Behav,  Relatnshi",PSY455,482,340,2.97,2.83,0.14
"Principles of Psychology I",PSY202,176,75,2.21,1.98,0.23
"Mind, Brain, and Behavior",PSY210,151,118,2.47,2.56,-0.09
"Classical Sociological Theory",SOC305,90,36,2.84,2.99,-0.15
"Health Psychology",PSY326,362,254,3.02,2.89,0.13
"Principles of Sociology",SOC201,340,269,2.5,2.64,-0.14
"Gender and Sexuality",SOC328,104,38,3.4,3.33,0.07
"Socialization,  Self and Socie",SOC402,83,42,3.54,3.06,0.48
"Exper Psy and Res Meth and Des",PSY433,125,38,2.77,2.71,0.06
"Exper Psy and Res Meth and Des",PSY433L,125,38,2.77,2.71,0.06
"Multicultural Psychology",PSY325,164,114,3.01,2.87,0.14
"Theories of Counseling",PSY412,80,16,2.94,2.9,0.04
"Psychology of Personality",PSY403,98,45,2.69,2.46,0.23
"Abnormal Psychology",PSY415,180,101,2.92,2.76,0.16
"Psychology of Women",PSY322,37,10,2.74,2.04,0.7
"Research Methods In Psychology",PSY204,87,43,2.94,3,-0.06
"Adolescent Psychology",PSY312,108,35,3.21,3.01,0.2
"Child Psych,  Early Childhood",PSY310,78,18,3.06,2.93,0.13
"Senior Seminar",SOC498,66,25,3.73,3.65,0.08
"Theories of Learning",PSY402,64,22,1.78,1.21,0.56
"Probation and Parole",SW320,65,31,3.03,3,0.03
"The Psychology of Identity",PSY321,40,N<10,2.88,N<10,N/A
"Treatment of Law Violators",SW318,45,13,2.88,2.54,0.34
"Contemporary Sociological Thry",SOC306,88,30,3.08,2.78,0.29
Criminology,SOC302,85,43,2.57,2.83,-0.27
"Principles of Sociology",SOC202,56,27,2.97,2.79,0.18
"Statistics For The Social Scie",PSY307,96,46,3.01,2.91,0.11
"Statistics For Social Sci Act",PSY307A,96,46,3.01,2.91,0.11
"Child Psych,  The Middle Years",PSY311,37,11,2.72,2.55,0.18
"Contemporary Social Problems",SOC301,68,53,2.74,2.91,-0.17
"Religion In American Life",SOC324,29,18,3.45,3.11,0.34
"Ethnic Relations In America",SOC320,28,20,3.48,3.46,0.02
"Spec Topics Ud Students",SOC499,24,N<10,3.59,N<10,N/A
"Social Stratificationand Inequ",SOC309,99,34,2.77,2.81,-0.04
"Memory and Amnesia",PSY335,35,13,2.39,2.28,0.11
"Family As A Social Institution",SOC321,33,12,2.9,2.97,-0.07
"History and Systems",PSY410,31,11,2.46,2.36,0.1
"Death and Dying",SW470,24,N<10,3.38,N<10,N/A
"Survey of Social Welfare",SW300,37,N<10,3.7,N<10,N/A
"Senior Seminar",PSY498,92,24,3.59,3.49,0.1
"Social Psychology",PSY401,36,11,2.84,2.36,0.48
"Program Evaluation",PSY430,153,46,3.58,3.38,0.2
"Social Inequality and Sport",SOC451,22,24,3.24,3.1,0.14
"Basic Counseling Skills",PSY417,68,28,3.21,3.49,-0.28
"Rsrch Methods In Sociology II",SOC205,51,23,3.81,3.74,0.07
"Sociology of Minority Commun",SOC323,46,23,3.57,3.74,-0.17
"Statistics For The Social Sci",SOC307,82,33,3.36,3.43,-0.07
"Family Violence",SW322,31,15,3.7,3.6,0.1
"Survey Research",SOC444,49,19,3.48,3.21,0.27
"Social Work Practice",SW301,62,13,3.16,2.85,0.31
"Technology and Society",SOC440,28,19,3.76,3.54,0.22
"Juvenile Delinquency",SOC360,58,24,3.53,3.22,0.31
"Research Methods In Sociolgy I",SOC204,69,26,2.68,2.9,-0.22
"Industrial and Organizatio Psy",PSY332,64,27,3.46,3.46,0
"Soc Welfare Policies and Issue",SW431,21,N<10,3.84,N<10,N/A
"Survey Research Activity",SOC444A,49,19,3.74,3.65,0.09
"Basic Developmental Psychology",PSY305,96,48,2.83,2.49,0.34
"Statistics For Social Sci Act",SOC307A,82,33,3.45,3.51,-0.05
"Cognitive Processes",PSY334,69,23,2.64,2.27,0.36
"Urban Sociology",SOC401,24,22,3.19,3.33,-0.14
"Field Work",SW402,76,11,3.99,4,-0.01
"Human Relations",PSY314,45,28,3.72,3.71,0

