"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","3","2.37",2.65,"2.8",2013
"2","Human Sexual Behav,  Relatnshi","PSY455","3.13","2.85",2.85,"2.78",2013
"3","Principles of Psychology I","PSY202","2.52","1.72",2.08,"2.14",2013
"4","Mind, Brain, and Behavior","PSY210","2.86","N<10",2.38,"2.47",2013
"5","Classical Sociological Theory","SOC305","3.2","N<10",2.85,"2.94",2013
"6","Health Psychology","PSY326","3.06","2.58",2.93,"2.92",2013
"7","Principles of Sociology","SOC201","2.74","2.22",2.51,"2.49",2013
"8","Gender and Sexuality","SOC328","3.34","N<10",3.34,"3.47",2013
"9","Socialization,  Self and Socie","SOC402","3.47","N<10",3.42,"3.44",2013
"10","Exper Psy and Res Meth and Des","PSY433","2.99","2.67",2.66,"2.73",2013
"11","Exper Psy and Res Meth and Des","PSY433L","2.99","2.67",2.66,"2.73",2013
"12","Multicultural Psychology","PSY325","2.83","2.91",3.02,"2.95",2013
"13","Theories of Counseling","PSY412","3.08","N<10",2.87,"2.89",2013
"14","Psychology of Personality","PSY403","2.87","N<10",2.64,"2.33",2013
"15","Abnormal Psychology","PSY415","3.29","N<10",2.8,"2.64",2013
"16","Psychology of Women","PSY322","N<10","N<10",2.52,"2.39",2013
"17","Research Methods In Psychology","PSY204","3.18","N<10",2.89,"3.06",2013
"18","Adolescent Psychology","PSY312","3.45","N<10",3.14,"3.17",2013
"19","Child Psych,  Early Childhood","PSY310","2.86","N<10",3.04,"3.06",2013
"20","Senior Seminar","SOC498","3.97","N<10",3.65,"3.77",2013
"21","Theories of Learning","PSY402","1.85","N<10",1.67,"1.9",2013
"22","Probation and Parole","SW320","3.28","N<10",3.02,"N<10",2013
"23","The Psychology of Identity","PSY321","N<10","N<10",2.82,"N<10",2013
"24","Treatment of Law Violators","SW318","N<10","N<10",2.84,"N<10",2013
"25","Contemporary Sociological Thry","SOC306","2.85","N<10",3.09,"2.92",2013
"26","Criminology","SOC302","2.81","N<10",2.66,"2.26",2013
"27","Principles of Sociology","SOC202","3.11","N<10",2.92,"N<10",2013
"28","Statistics For The Social Scie","PSY307","3.45","N<10",2.91,"2.76",2013
"29","Statistics For Social Sci Act","PSY307A","3.45","N<10",2.91,"2.76",2013
"30","Child Psych,  The Middle Years","PSY311","N<10","N<10",2.8,"N<10",2013
"31","Contemporary Social Problems","SOC301","3.09","N<10",2.83,"2.58",2013
"32","Religion In American Life","SOC324","N<10","N<10",3.31,"N<10",2013
"33","Ethnic Relations In America","SOC320","N<10","N<10",3.43,"N<10",2013
"34","Spec Topics Ud Students","SOC499","N<10","N<10",3.82,"N<10",2013
"35","Social Stratificationand Inequ","SOC309","2.73","N<10",2.77,"2.8",2013
"36","Memory and Amnesia","PSY335","2.4","N<10",2.27,"N<10",2013
"37","Family As A Social Institution","SOC321","3.27","N<10",2.98,"N<10",2013
"38","History and Systems","PSY410","N<10","N<10",2.32,"N<10",2013
"39","Death and Dying","SW470","N<10","N<10",3.41,"N<10",2013
"40","Survey of Social Welfare","SW300","N<10","N<10",3.72,"N<10",2013
"41","Senior Seminar","PSY498","3.79","N<10",3.52,"3.6",2013
"42","Social Psychology","PSY401","3.03","N<10",2.7,"2.6",2013
"43","Program Evaluation","PSY430","3.58","3.77",3.54,"3.52",2013
"44","Social Inequality and Sport","SOC451","N<10","N<10",2.93,"3.33",2013
"45","Basic Counseling Skills","PSY417","3.08","N<10",3.29,"N<10",2013
"46","Rsrch Methods In Sociology II","SOC205","N<10","N<10",3.82,"3.86",2013
"47","Sociology of Minority Commun","SOC323","N<10","N<10",3.55,"3.77",2013
"48","Statistics For The Social Sci","SOC307","3.33","N<10",3.28,"3.46",2013
"49","Family Violence","SW322","N<10","N<10",3.66,"N<10",2013
"50","Survey Research","SOC444","N<10","N<10",3.41,"3.21",2013
"51","Social Work Practice","SW301","N<10","N<10",3.25,"N<10",2013
"52","Technology and Society","SOC440","3.82","N<10",3.59,"N<10",2013
"53","Juvenile Delinquency","SOC360","3.45","N<10",3.29,"3.56",2013
"54","Research Methods In Sociolgy I","SOC204","N<10","N<10",2.75,"2.74",2013
"55","Industrial and Organizatio Psy","PSY332","3.68","N<10",3.37,"3.47",2013
"56","Soc Welfare Policies and Issue","SW431","N<10","N<10",3.79,"N<10",2013
"57","Survey Research Activity","SOC444A","N<10","N<10",3.8,"3.64",2013
"58","Basic Developmental Psychology","PSY305","3","N<10",2.69,"2.59",2013
"59","Statistics For Social Sci Act","SOC307A","3.36","N<10",3.42,"3.46",2013
"60","Cognitive Processes","PSY334","2.85","N<10",2.47,"2.27",2013
"61","Urban Sociology","SOC401","3.36","N<10",3.43,"N<10",2013
"62","Field Work","SW402","N<10","N<10",3.98,"4",2013
"63","Human Relations","PSY314","3.71","N<10",3.74,"3.65",2013
