"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:31 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2018 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"FirstGen GPA Summary"
Course,"Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap"
"Introduction To Psychology",PSY2201,264,595,2.48,2.78,0.3
"Introduction To Sociology",SOC2201,162,299,1.93,2.21,0.27
"Human Sexuality,  Relationship",PSY4455,227,432,2.77,2.93,0.16
"Theories of Learning",PSY4402,92,141,2.2,2.57,0.37
"Abnormal Psychology",PSY4150,175,292,2.74,2.9,0.15
"Multicultural Psychology",PSY3325,194,307,2.82,2.95,0.13
"Basic Developmental Psychology",PSY3305,163,294,2.9,3.03,0.13
"Race and Ethnic Relations",SOC3320,88,88,2.61,2.93,0.32
"Mind Brain Behvr Intgrtd View",PSY2210,49,102,2.47,2.82,0.35
"Juvenile Delinquency",CRM3360,101,103,2.51,2.75,0.24
"Crime Criminalization Society",SOC3345,90,140,2.71,2.93,0.21
"Socialization,  Self and Socie",SOC4402,137,174,2.68,2.78,0.1
"Adolescent Psychology",PSY3312,64,118,2.82,2.98,0.17
"Social Strat and Inequality",SOC3309,156,156,3.29,3.2,-0.09
"Intro Soc Work and Soc Welfare",SW2201,23,24,3.58,2.97,-0.61
"Program Evaluation Lab",PSY4430A,29,71,2.4,2.69,0.28
"Statistics For Psychology Act",PSY3307A,101,166,3,2.9,-0.1
"Gender and Sexuality",SOC3328,106,156,3.01,3.11,0.1
"Contemp Treat of Law Violators",CRM3318,19,35,1.88,2.27,0.4
"Experimental Psychology",PSY4433,55,106,3.16,3.03,-0.13
"Qual Mthds For Soclgy Lab",SOC4110L,24,27,2.85,3.25,0.4
"Classic Sociological Theory",SOC3305,152,183,2.75,2.81,0.06
"Statistics For Psychology",PSY3307,101,166,2.85,2.78,-0.08
"Statistics For Sociology",SOC3307,85,104,3.05,3.15,0.1
"Experimental Psychology Act",PSY4433A,55,106,3.16,3.06,-0.11
"Cognitive Processes",PSY3334,117,229,2.72,2.77,0.05
"Social Psychology",PSY4401,168,307,3.06,3.1,0.03
"Qualitative Methods For Soc",SOC4110,24,27,2.9,3.21,0.31
"Spec Topic For Ud Students",PSY4990,24,23,3.19,3.45,0.26
"Social Work Practice",SW3301,27,31,3.51,3.3,-0.21
"Social Work Pract Lab",SW3301L,27,31,3.51,3.3,-0.21
"Organizational Psychology",PSY3332,70,120,3.33,3.27,-0.06
"Program Evaluation",PSY4430,29,71,2.47,2.57,0.1
"Psychology of Identity",PSY3321,15,33,2.56,2.76,0.2
"Statistics For Sociology Lab",SOC3307L,85,104,3.26,3.31,0.05
"Senior Seminar",PSY4611,42,132,3.61,3.56,-0.05
"Family Violence",SW3322,49,64,3.35,3.28,-0.08
"Basic Counseling Skills",PSY4170,20,28,2.98,3.14,0.16
"Health Psychology",PSY3326,121,247,2.95,2.97,0.02
"Contemp Sociology Theory",SOC3306,77,100,3.07,3.11,0.04
"Child Psychology For Educators",PSY2206,27,48,2.79,2.69,-0.09
"Research Methods In Sociology",SOC2205,132,150,3.17,3.15,-0.02
"Soc Welfare Policy Issues",SW3310,44,50,3.28,3.35,0.07
"Soc Inequality Sport and Body",SOC4451,60,54,3.13,3.19,0.05
"Probation and Parole",CRM3320,63,93,2.98,3.02,0.03
"Senior Symposium",SOC4611,68,81,3,3.03,0.03
"Qualitative Methods In Psych",PSY4404,19,28,3.91,3.81,-0.1
"Qualitative Mthds In Psych Act",PSY4404A,19,28,3.91,3.81,-0.1
"Child Psych,  Early Childhood",PSY3310,47,66,3.01,3.06,0.04
"Technology and Society",SOC4440,12,19,2.06,2.2,0.15
"Research Methods In Psychology",PSY2204,50,132,2.62,2.6,-0.02
"Quantitative Mthds Sociology",SOC4100,17,16,2.75,2.85,0.11
"Quantitative Mthds Soclgy Lab",SOC4100L,17,16,2.75,2.85,0.11
"Community and Urban Sociology",SOC3325,63,49,3.04,3.07,0.03
"Spec Study For Ud Students",PSY4000,18,41,4,3.94,-0.06
"Psychology of Personality",PSY4403,14,35,2.95,2.89,-0.06
"Theories of Counseling",PSY4121,16,33,3.02,3.06,0.04
"Latina and O Sociology",SOC3313,24,23,3.17,3.13,-0.04
"Careers In Psychology",PSY2222,21,27,4,3.99,-0.01
Internship,SW4411,23,31,3.96,3.96,0

