"","Course","Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap","year"
"1","General Psychology","PSY201",511,1248,2.58,2.84,0.27,2015
"2","Human Sexual Behav,  Relatnshi","PSY455",283,550,2.65,2.86,0.21,2015
"3","Health Psychology","PSY326",189,311,2.71,2.89,0.18,2015
"4","Mind, Brain, and Behavior","PSY210",106,205,2.13,2.41,0.28,2015
"5","Contemporary Social Problems","SOC301",77,139,2.88,3.08,0.2,2015
"6","Social Stratificationand Inequ","SOC309",54,56,3.09,3.38,0.29,2015
"7","Child Psych,  Early Childhood","PSY310",35,41,2.57,2.94,0.37,2015
"8","Child Psych,  The Middle Years","PSY311",46,73,2.68,2.47,-0.22,2015
"9","Psychology of Women","PSY322",17,31,3.06,2.53,-0.52,2015
"10","Principles of Sociology","SOC202",27,39,2.54,2.92,0.38,2015
"11","Cognitive Processes","PSY334",54,81,3.06,3.22,0.17,2015
"12","Criminology","SOC302",47,83,3.61,3.45,-0.16,2015
"13","Classical Sociological Theory","SOC305",65,57,2.31,2.48,0.16,2015
"14","Psychology of Personality","PSY403",51,86,2.38,2.53,0.14,2015
"15","Adolescent Psychology","PSY312",29,46,2.82,2.56,-0.26,2015
"16","Memory and Amnesia","PSY335",20,27,2.92,3.31,0.39,2015
"17","Industrial and Organizatio Psy","PSY332",34,62,3.58,3.77,0.19,2015
"18","Probation and Parole","SW320",39,45,3.39,3.18,-0.21,2015
"19","Rsrch Methods In Sociology II","SOC205",51,45,3.44,3.61,0.17,2015
"20","Socialization,  Self and Socie","SOC402",56,56,3.27,3.12,-0.15,2015
"21","Organizational Change and Inte","PSY452",11,37,3.61,3.29,-0.32,2015
"22","Principles of Psychology I","PSY202",81,155,2.24,2.18,-0.06,2015
"23","The Psychology of Identity","PSY321",16,24,2.94,2.57,-0.37,2015
"24","Basic Counseling Skills","PSY417",38,54,3.01,3.15,0.14,2015
"25","Principles of Sociology","SOC201",146,354,2.38,2.35,-0.03,2015
"26","Sociology of Minority Commun","SOC323",19,29,2.91,2.67,-0.25,2015
"27","Abnormal Psychology","PSY415",94,174,3.02,3.06,0.04,2015
"28","Ethnic Relations In America","SOC320",16,24,2.5,2.79,0.29,2015
"29","Survey Research","SOC444",20,20,3.2,3.48,0.28,2015
"30","Survey Research Activity","SOC444A",20,20,3.2,3.48,0.28,2015
"31","Survey of Social Welfare","SW300",39,27,2.93,3.1,0.17,2015
"32","Family Violence","SW322",43,49,3.66,3.77,0.11,2015
"33","Senior Seminar","SOC498",46,53,3.05,2.96,-0.1,2015
"34","Treatment of Law Violators","SW318",12,17,3.03,3.33,0.31,2015
"35","Social Work Practice","SW301",38,30,3.25,3.38,0.12,2015
"36","Statistics For The Social Scie","PSY307",92,123,2.95,2.99,0.04,2015
"37","Statistics For Social Sci Act","PSY307A",92,123,2.95,2.99,0.04,2015
"38","Theories of Counseling","PSY412",24,52,2.75,2.65,-0.1,2015
"39","Spec Study Ud Students","PSY400",10,40,3.87,4,0.13,2015
"40","Research Methods In Sociolgy I","SOC204",65,54,3.23,3.18,-0.06,2015
"41","Politics As A Soc Institution","SOC322",15,16,3.31,3.11,-0.21,2015
"42","Exper Psy and Res Meth and Des","PSY433",56,90,3.15,3.19,0.04,2015
"43","Exper Psy and Res Meth and Des","PSY433L",56,90,3.15,3.19,0.04,2015
"44","Spec Topics Ud Students","SOC499",26,24,3.36,3.47,0.11,2015
"45","Juvenile Delinquency","SOC360",22,45,3.36,3.3,-0.06,2015
"46","Community Psychology","PSY425",20,22,2.95,2.86,-0.09,2015
"47","Theories of Learning","PSY402",14,25,2.12,2.21,0.1,2015
"48","Research Methods In Psychology","PSY204",38,64,2.53,2.56,0.04,2015
"49","Basic Developmental Psychology","PSY305",58,86,2.68,2.71,0.03,2015
"50","Soc Welfare Policies and Issue","SW431",25,19,3.8,3.88,0.08,2015
"51","Program Evaluation","PSY430",52,95,3.38,3.36,-0.02,2015
"52","Field Work","SW402",49,26,4,3.96,-0.04,2015
"53","Social Psychology","PSY401",33,53,2.88,2.85,-0.03,2015
"54","Child Psych For Educators","PSY206",18,26,1.98,2.04,0.06,2015
"55","Qualitative Methds In Psychlgy","PSY404",11,14,4,3.91,-0.1,2015
"56","Spec Topics Ud Students","PSY499",13,22,3.59,3.65,0.06,2015
"57","Environmental Psychology","PSY420",20,27,3.02,3.06,0.05,2015
"58","Multicultural Psychology","PSY325",97,173,2.89,2.89,0.01,2015
"59","Senior Seminar","PSY498",51,89,3.54,3.55,0.01,2015
"60","Family As A Social Institution","SOC321",41,49,2.82,2.84,0.02,2015
"61","Contemporary Sociological Thry","SOC306",61,48,2.85,2.86,0.01,2015
"62","Gender and Sexuality","SOC328",31,29,2.73,2.75,0.02,2015
"63","Statistics For The Social Sci","SOC307",15,10,3.47,3.43,-0.03,2015
"64","Statistics For Social Sci Act","SOC307A",15,10,3.47,3.43,-0.03,2015
