"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2013 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Enrollment by Ethnicity"
Course,"Course Code",White,"African American",Latino/a,Asian
"General Psychology",PSY201,375,78,710,506
"Human Sexual Behav,  Relatnshi",PSY455,169,28,365,184
"Principles of Psychology I",PSY202,32,18,147,37
"Mind, Brain, and Behavior",PSY210,59,N<10,118,54
"Classical Sociological Theory",SOC305,20,N<10,72,16
"Health Psychology",PSY326,135,19,247,139
"Principles of Sociology",SOC201,117,32,280,117
"Gender and Sexuality",SOC328,33,N<10,74,15
"Socialization,  Self and Socie",SOC402,12,N<10,78,18
"Exper Psy and Res Meth and Des",PSY433,27,10,86,20
"Exper Psy and Res Meth and Des",PSY433L,27,10,86,20
"Multicultural Psychology",PSY325,63,11,121,58
"Theories of Counseling",PSY412,13,N<10,55,15
"Psychology of Personality",PSY403,25,N<10,69,29
"Abnormal Psychology",PSY415,48,N<10,123,74
"Psychology of Women",PSY322,N<10,N<10,23,13
"Research Methods In Psychology",PSY204,24,N<10,65,18
"Adolescent Psychology",PSY312,17,N<10,91,22
"Child Psych,  Early Childhood",PSY310,12,N<10,54,17
"Senior Seminar",SOC498,11,N<10,57,10
"Theories of Learning",PSY402,13,N<10,51,13
"Probation and Parole",SW320,13,N<10,71,N<10
"The Psychology of Identity",PSY321,N<10,N<10,31,N<10
"Treatment of Law Violators",SW318,N<10,N<10,38,N<10
"Contemporary Sociological Thry",SOC306,18,N<10,71,16
Criminology,SOC302,25,N<10,66,17
"Principles of Sociology",SOC202,16,N<10,47,N<10
"Statistics For The Social Scie",PSY307,20,N<10,78,24
"Statistics For Social Sci Act",PSY307A,20,N<10,78,24
"Child Psych,  The Middle Years",PSY311,N<10,N<10,27,N<10
"Contemporary Social Problems",SOC301,20,N<10,64,24
"Religion In American Life",SOC324,N<10,N<10,35,N<10
"Ethnic Relations In America",SOC320,N<10,N<10,31,N<10
"Spec Topics Ud Students",SOC499,N<10,N<10,13,N<10
"Social Stratificationand Inequ",SOC309,15,N<10,84,22
"Memory and Amnesia",PSY335,10,N<10,25,N<10
"Family As A Social Institution",SOC321,10,N<10,18,N<10
"History and Systems",PSY410,N<10,N<10,22,N<10
"Death and Dying",SW470,N<10,N<10,22,N<10
"Survey of Social Welfare",SW300,N<10,N<10,27,N<10
"Senior Seminar",PSY498,19,N<10,60,15
"Social Psychology",PSY401,10,N<10,23,10
"Program Evaluation",PSY430,36,10,108,28
"Social Inequality and Sport",SOC451,N<10,N<10,21,10
"Basic Counseling Skills",PSY417,17,N<10,53,N<10
"Rsrch Methods In Sociology II",SOC205,N<10,N<10,45,12
"Sociology of Minority Commun",SOC323,N<10,N<10,46,10
"Statistics For The Social Sci",SOC307,15,N<10,68,18
"Family Violence",SW322,N<10,N<10,31,N<10
"Survey Research",SOC444,N<10,N<10,36,11
"Social Work Practice",SW301,N<10,N<10,52,N<10
"Technology and Society",SOC440,11,N<10,23,N<10
"Juvenile Delinquency",SOC360,11,N<10,47,12
"Research Methods In Sociolgy I",SOC204,N<10,N<10,60,14
"Industrial and Organizatio Psy",PSY332,23,N<10,47,15
"Soc Welfare Policies and Issue",SW431,N<10,N<10,19,N<10
"Survey Research Activity",SOC444A,N<10,N<10,36,11
"Basic Developmental Psychology",PSY305,16,N<10,79,33
"Statistics For Social Sci Act",SOC307A,15,N<10,68,18
"Cognitive Processes",PSY334,20,N<10,43,15
"Urban Sociology",SOC401,11,N<10,22,N<10
"Field Work",SW402,N<10,N<10,64,12
"Human Relations",PSY314,17,N<10,30,17

