"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","Introduction To Psychology","PSY2201","3.16","2.12",2.51,"2.92",2018
"2","Introduction To Sociology","SOC2201","2.47","2.26",2.07,"2.14",2018
"3","Human Sexuality,  Relationship","PSY4455","3.09","2.62",2.78,"2.9",2018
"4","Theories of Learning","PSY4402","2.67","N<10",2.27,"2.52",2018
"5","Abnormal Psychology","PSY4150","3.31","2.73",2.77,"2.81",2018
"6","Multicultural Psychology","PSY3325","3.09","2.73",2.85,"2.97",2018
"7","Basic Developmental Psychology","PSY3305","3.19","2.9",2.92,"2.99",2018
"8","Race and Ethnic Relations","SOC3320","N<10","3.11",2.7,"2.91",2018
"9","Mind Brain Behvr Intgrtd View","PSY2210","2.94","N<10",2.62,"3.02",2018
"10","Juvenile Delinquency","CRM3360","3.09","N<10",2.57,"2.77",2018
"11","Crime Criminalization Society","SOC3345","3.08","2.76",2.75,"2.99",2018
"12","Socialization,  Self and Socie","SOC4402","2.88","2.8",2.74,"2.77",2018
"13","Adolescent Psychology","PSY3312","3.38","2.9",2.77,"3.19",2018
"14","Social Strat and Inequality","SOC3309","3.5","3.16",3.22,"3.38",2018
"15","Intro Soc Work and Soc Welfare","SW2201","N<10","N<10",3.29,"N<10",2018
"16","Program Evaluation Lab","PSY4430A","3.39","N<10",2.45,"2.13",2018
"17","Statistics For Psychology Act","PSY3307A","3.26","2.64",2.86,"3.35",2018
"18","Gender and Sexuality","SOC3328","3.44","N<10",3.14,"2.53",2018
"19","Contemp Treat of Law Violators","CRM3318","N<10","N<10",2.3,"N<10",2018
"20","Experimental Psychology","PSY4433","3.19","N<10",3.03,"3.14",2018
"21","Qual Mthds For Soclgy Lab","SOC4110L","N<10","N<10",3.08,"N<10",2018
"22","Classic Sociological Theory","SOC3305","3.1","2.8",2.8,"2.78",2018
"23","Statistics For Psychology","PSY3307","3.11","2.33",2.74,"3.19",2018
"24","Statistics For Sociology","SOC3307","2.96","N<10",3.19,"2.73",2018
"25","Experimental Psychology Act","PSY4433A","3.2","N<10",3.04,"3.16",2018
"26","Cognitive Processes","PSY3334","3.11","2.33",2.71,"2.78",2018
"27","Social Psychology","PSY4401","3.18","2.83",3.04,"3.16",2018
"28","Qualitative Methods For Soc","SOC4110","N<10","N<10",3.11,"N<10",2018
"29","Spec Topic For Ud Students","PSY4990","N<10","N<10",3.26,"N<10",2018
"30","Social Work Practice","SW3301","N<10","N<10",3.5,"N<10",2018
"31","Social Work Pract Lab","SW3301L","N<10","N<10",3.5,"N<10",2018
"32","Organizational Psychology","PSY3332","3.57","3.23",3.21,"3.32",2018
"33","Program Evaluation","PSY4430","3.25","N<10",2.38,"1.97",2018
"34","Psychology of Identity","PSY3321","N<10","N<10",2.28,"N<10",2018
"35","Statistics For Sociology Lab","SOC3307L","3.19","N<10",3.38,"2.87",2018
"36","Senior Seminar","PSY4611","3.79","N<10",3.53,"3.43",2018
"37","Family Violence","SW3322","3.64","N<10",3.27,"N<10",2018
"38","Basic Counseling Skills","PSY4170","3.39","N<10",2.92,"N<10",2018
"39","Health Psychology","PSY3326","3.08","3.09",2.94,"2.85",2018
"40","Contemp Sociology Theory","SOC3306","3.33","N<10",3.19,"2.9",2018
"41","Child Psychology For Educators","PSY2206","2.91","N<10",2.76,"N<10",2018
"42","Research Methods In Sociology","SOC2205","3.36","3.25",3.13,"3.13",2018
"43","Soc Welfare Policy Issues","SW3310","N<10","N<10",3.33,"N<10",2018
"44","Soc Inequality Sport and Body","SOC4451","N<10","N<10",3.22,"N<10",2018
"45","Probation and Parole","CRM3320","3.62","N<10",3,"3.3",2018
"46","Senior Symposium","SOC4611","2.97","N<10",3.1,"2.89",2018
"47","Qualitative Methods In Psych","PSY4404","N<10","N<10",3.86,"N<10",2018
"48","Qualitative Mthds In Psych Act","PSY4404A","N<10","N<10",3.86,"N<10",2018
"49","Child Psych,  Early Childhood","PSY3310","3.4","N<10",2.9,"3.11",2018
"50","Technology and Society","SOC4440","N<10","N<10",2.14,"N<10",2018
"51","Research Methods In Psychology","PSY2204","2.72","N<10",2.63,"2.71",2018
"52","Quantitative Mthds Sociology","SOC4100","N<10","N<10",2.92,"N<10",2018
"53","Quantitative Mthds Soclgy Lab","SOC4100L","N<10","N<10",2.92,"N<10",2018
"54","Community and Urban Sociology","SOC3325","N<10","N<10",3.01,"N<10",2018
"55","Spec Study For Ud Students","PSY4000","3.82","N<10",4,"4",2018
"56","Psychology of Personality","PSY4403","N<10","N<10",2.87,"N<10",2018
"57","Theories of Counseling","PSY4121","N<10","N<10",2.94,"N<10",2018
"58","Latina and O Sociology","SOC3313","N<10","N<10",3.18,"N<10",2018
"59","Careers In Psychology","PSY2222","4","N<10",4,"N<10",2018
"60","Internship","SW4411","N<10","N<10",3.97,"N<10",2018
