"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2012 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Pell Status Summary"
Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"General Psychology",PSY201,690,862,2.78,3.03,0.24
"Principles of Psychology I",PSY202,154,184,2.26,2.5,0.24
"Principles of Sociology",SOC201,307,337,2.43,2.47,0.04
"Human Sexual Behav,  Relatnshi",PSY455,201,254,2.98,2.97,-0.01
"Exper Psy and Res Meth and Des",PSY433,71,121,2.76,2.81,0.04
"Exper Psy and Res Meth and Des",PSY433L,71,121,3.01,3.01,0
"Abnormal Psychology",PSY415,88,146,2.83,2.98,0.16
"Health Psychology",PSY326,209,221,2.95,3.02,0.06
"Cognitive Processes",PSY334,68,75,2.4,2.68,0.28
"Mind, Brain, and Behavior",PSY210,253,286,2.32,2.49,0.18
"Program Evaluation",PSY430,29,71,3.1,3.46,0.35
"Politics As A Soc Institution",SOC322,34,27,3.16,2.9,-0.25
"Psychology of Personality",PSY403,68,73,2.45,2.78,0.33
"Principles of Sociology",SOC202,91,93,2.7,2.92,0.22
"Child Psych,  The Middle Years",PSY311,45,51,3.15,3.47,0.32
"Adolescent Psychology",PSY312,49,46,2.98,3.28,0.3
"Theories of Learning",PSY402,29,42,1.64,1.18,-0.46
"Senior Seminar",PSY498,62,107,3.62,3.51,-0.1
"Survey Research",SOC444,36,47,3.25,3.25,0
"Statistics For The Social Scie",PSY307,61,78,2.98,3.04,0.06
"Multicultural Psychology",PSY325,110,117,3.15,3.16,0.01
"Juvenile Delinquency",SOC360,82,53,3.29,3.22,-0.07
"Gender and Sexuality",SOC328,52,44,3.35,3.45,0.11
"Research Methods In Sociolgy I",SOC204,70,56,2.93,3.01,0.08
"Research Methods In Psychology",PSY204,70,83,2.86,2.67,-0.19
"Child Psych For Educators",PSY206,32,33,2.73,2.83,0.1
"Child Psych,  Early Childhood",PSY310,45,51,3.02,2.99,-0.03
"Social Change",SOC340,23,20,2.94,3.03,0.09
"Rsrch Methods In Sociology II",SOC205,58,57,3.68,3.56,-0.13
"Sociology of Minority Commun",SOC323,55,39,3.52,3.44,-0.07
"Theories of Counseling",PSY412,33,41,2.76,2.82,0.06
"Socialization,  Self and Socie",SOC402,72,66,3,3.34,0.34
"Survey Research Activity",SOC444A,36,47,3.48,3.41,-0.07
"Senior Seminar",SOC498,52,54,3.26,3.58,0.31
"Statistics For Social Sci Act",SOC307A,75,69,3.56,3.38,-0.17
"Statistics For The Social Sci",SOC307,75,69,3.55,3.38,-0.17
"Probation and Parole",SW320,27,21,3.19,2.81,-0.38
"Contemporary Social Problems",SOC301,76,74,2.82,2.85,0.03
"Social Psychology",PSY401,105,119,2.8,3,0.2
"Collective Behavior and Soc Mo",SOC350,20,27,2.88,3.03,0.14
"History and Systems",PSY410,34,60,2.52,2.66,0.14
"Psychology of Women",PSY322,63,69,2.25,2.34,0.1
"Ethnic Relations In America",SOC320,54,39,2.78,2.94,0.16
"Classical Sociological Theory",SOC305,83,61,2.96,2.97,0.01
"Family Violence",SW322,54,42,3.35,3.1,-0.26
"Survey of Social Welfare",SW300,39,32,3.46,3.31,-0.15
"Soc Welfare Policies and Issue",SW431,27,18,3.58,3.67,0.09
"Industrial and Organizatio Psy",PSY332,24,24,3.25,3.33,0.08
"The Psychology of Identity",PSY321,21,27,3.03,2.82,-0.22
"Field Work",SW402,45,38,3.86,4,0.14
"Community Psychology",PSY425,30,18,3.01,3.21,0.19
"Social Work Practice",SW301,44,29,3.19,3.4,0.21
"Statistics For Social Sci Act",PSY307A,61,78,3.32,3.19,-0.13
Criminology,SOC302,72,62,2.77,2.75,-0.02
"Death and Dying",SW470,28,20,3.36,3.55,0.19
"Treatment of Law Violators",SW318,50,39,2.92,3.13,0.22
"Social Stratificationand Inequ",SOC309,79,60,3.02,2.99,-0.03
"Urban Sociology",SOC401,54,47,2.77,3.13,0.37
"Prin of Behavorial Management",PSY450,15,13,3,3,0
"Basic Developmental Psychology",PSY305,53,43,3.47,3.33,-0.14
"Contemporary Sociological Thry",SOC306,67,62,3.14,3.26,0.12
"Technology and Society",SOC440,18,16,3.13,2.93,-0.2
"Spec Study Ud Students",PSY400,11,20,4,4,-0

