"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2017 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"URM/Non-URM Summary"
Course,"Course Code","Non-URM Enrollment","URM Enrollment","Non-URM AVG. GPA","URM AVG. GPA","GPA Gap"
"General Psychology",PSY201,824,860,3.05,2.59,0.46
"Principles of Sociology",SOC201,291,382,2.44,2.22,0.21
"Mind, Brain, and Behavior",PSY210,215,230,2.49,2.16,0.33
"Human Sexual Behav,  Relatnshi",PSY455,384,506,3.09,2.88,0.21
"Multicultural Psychology",PSY325,106,147,2.7,2.67,0.03
"Principles of Psychology I",PSY202,109,159,2.71,2.5,0.21
"Contemporary Social Problems",SOC301,85,157,2.87,2.57,0.3
"Gender and Sexuality",SOC328,22,77,3.03,2.9,0.13
"Survey Research",SOC444,27,41,2.95,2.9,0.05
"Survey Research Activity",SOC444A,27,41,2.95,2.9,0.05
"Statistics For Social Sci Act",PSY307A,59,86,3.16,3,0.16
"Research Methods In Psychology",PSY204,78,73,2.9,2.73,0.16
"Juvenile Delinquency",SOC360,39,105,3.21,2.79,0.43
"Health Psychology",PSY326,245,321,3.02,2.94,0.08
"Urban Sociology",SOC401,N<10,40,N<10,2.79,N/A
"Social Work Practice",SW301,22,56,3.3,3.33,-0.03
"Senior Seminar",PSY498,83,111,3.58,3.65,-0.07
"Research Methods In Sociolgy I",SOC204,46,140,3.05,2.87,0.18
"Statistics For The Social Scie",PSY307,59,86,3.09,2.91,0.18
"Socialization,  Self and Socie",SOC402,36,107,2.91,2.77,0.14
"Principles of Sociology",SOC202,30,105,2.65,2.5,0.15
"Statistics For The Social Sci",SOC307,47,97,3.51,3.26,0.24
"Statistics For Social Sci Act",SOC307A,47,97,3.51,3.26,0.24
"Abnormal Psychology",PSY415,95,94,3.06,2.77,0.29
"Social Stratificationand Inequ",SOC309,30,114,2.8,2.64,0.17
"Theories of Counseling",PSY412,28,21,2.99,2.73,0.26
"Industrial and Organizatio Psy",PSY332,46,48,3.57,3.49,0.08
"Treatment of Law Violators",SW318,11,37,3.15,3,0.15
"Basic Developmental Psychology",PSY305,39,56,2.77,2.41,0.36
"Classical Sociological Theory",SOC305,32,111,2.87,2.81,0.06
"Senior Seminar Service Lrng",SOC498S,12,28,2.97,3.13,-0.16
Criminology,SOC302,23,72,2.64,2.77,-0.14
"Psychology of Women",PSY322,35,64,3.43,3.39,0.05
"Probation and Parole",SW320,23,75,3.33,3.28,0.05
"Ethnic Relations In America",SOC320,N<10,40,N<10,2.73,N/A
"Senior Seminar",SOC498,28,72,3.25,3.19,0.06
"Environmental Psychology",PSY420,15,28,2.88,3.02,-0.14
"Politics As A Soc Institution",SOC322,17,31,3.3,3.17,0.12
"Family As A Social Institution",SOC321,28,68,3.21,3.01,0.21
"Sensation and Perception",PSY460,14,27,3,2.7,0.3
"Program Evaluation",PSY430,29,42,3.11,3.17,-0.05
"Cognitive Processes",PSY334,69,72,2.57,1.9,0.67
"Basic Counseling Skills",PSY417,68,74,3.2,3.05,0.15
"Contemporary Sociological Thry",SOC306,25,70,3.16,3.16,0
"Field Work",SW402,16,65,4,3.9,0.1
"Organizational Change and Inte",PSY452,42,50,3.63,3.65,-0.03
"Soc Welfare Policies and Issue",SW431,N<10,26,N<10,3.49,N/A
"Survey of Social Welfare",SW300,N<10,40,N<10,3.45,N/A
"Child Psych,  Early Childhood",PSY310,43,51,3.4,3.15,0.24
"Adolescent Psychology",PSY312,67,75,3.34,3.03,0.31
"Sociology of Minority Commun",SOC323,28,114,3.45,3.25,0.19
"Theories of Learning",PSY402,19,28,3.3,2.67,0.63
"Memory and Amnesia",PSY335,58,83,3.4,3.08,0.31
"Rsrch Methods In Sociology II",SOC205,44,135,3.46,3.29,0.17
"Exper Psy and Res Meth and Des",PSY433,77,88,3.36,3.18,0.18
"Exper Psy and Res Meth and Des",PSY433L,77,88,3.36,3.18,0.18
"Spec Study Ud Students",PSY400,30,26,3.99,3.96,0.03
"Qualitative Methds In Psychlgy",PSY404,31,43,3.75,3.63,0.12
"Family Violence",SW322,28,67,3.76,3.47,0.29
"Social Psychology",PSY401,36,60,2.81,2.76,0.05
"Spec Topics Ud Students",PSY499,12,15,4,4,-0

