"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","322","71",733,"475",2014
"2","Principles of Sociology","SOC201","110","22",242,"125",2014
"3","Principles of Psychology I","PSY202","45","13",135,"47",2014
"4","Juvenile Delinquency","SOC360","24","N<10",85,"14",2014
"5","Socialization,  Self and Socie","SOC402","16","N<10",84,"N<10",2014
"6","Abnormal Psychology","PSY415","41","12",149,"55",2014
"7","Research Methods In Psychology","PSY204","17","N<10",63,"26",2014
"8","Human Sexual Behav,  Relatnshi","PSY455","188","31",384,"186",2014
"9","Family As A Social Institution","SOC321","N<10","N<10",27,"N<10",2014
"10","Basic Developmental Psychology","PSY305","23","N<10",75,"30",2014
"11","Mind, Brain, and Behavior","PSY210","52","12",118,"49",2014
"12","Adolescent Psychology","PSY312","14","N<10",46,"19",2014
"13","Senior Seminar","SOC498","18","N<10",68,"13",2014
"14","Basic Counseling Skills","PSY417","14","N<10",40,"23",2014
"15","Survey Research Activity","SOC444A","N<10","N<10",24,"10",2014
"16","Criminology","SOC302","20","N<10",73,"18",2014
"17","Principles of Sociology","SOC202","14","N<10",54,"13",2014
"18","Survey of Social Welfare","SW300","N<10","N<10",23,"N<10",2014
"19","Exper Psy and Res Meth and Des","PSY433L","22","N<10",84,"20",2014
"20","Classical Sociological Theory","SOC305","14","N<10",94,"14",2014
"21","Social Stratificationand Inequ","SOC309","17","N<10",82,"12",2014
"22","Psychology of Personality","PSY403","17","N<10",48,"20",2014
"23","Exper Psy and Res Meth and Des","PSY433","22","N<10",84,"20",2014
"24","Urban Sociology","SOC401","N<10","N<10",19,"N<10",2014
"25","Child Psych,  Early Childhood","PSY310","10","N<10",52,"18",2014
"26","Sociology of Minority Commun","SOC323","14","N<10",70,"15",2014
"27","Treatment of Law Violators","SW318","N<10","N<10",23,"N<10",2014
"28","Child Psych,  The Middle Years","PSY311","N<10","N<10",30,"N<10",2014
"29","Survey Research","SOC444","N<10","N<10",24,"10",2014
"30","Ethnic Relations In America","SOC320","12","N<10",60,"12",2014
"31","Social Work Practice","SW301","N<10","N<10",49,"N<10",2014
"32","Gender and Sexuality","SOC328","15","N<10",53,"N<10",2014
"33","Politics As A Soc Institution","SOC322","N<10","N<10",30,"N<10",2014
"34","Theories of Learning","PSY402","N<10","N<10",41,"14",2014
"35","Statistics For The Social Sci","SOC307","15","N<10",61,"16",2014
"36","Statistics For Social Sci Act","SOC307A","15","N<10",61,"16",2014
"37","Death and Dying","SW470","N<10","N<10",31,"N<10",2014
"38","Industrial and Organizatio Psy","PSY332","10","N<10",48,"20",2014
"39","Rsrch Methods In Sociology II","SOC205","10","N<10",48,"N<10",2014
"40","Research Methods In Sociolgy I","SOC204","N<10","N<10",29,"N<10",2014
"41","Leadership and Teams","PSY490","N<10","N<10",21,"N<10",2014
"42","Spec Topics Ud Students","SOC499","10","N<10",40,"12",2014
"43","Organizational Change and Inte","PSY452","11","N<10",20,"12",2014
"44","Senior Seminar","PSY498","24","N<10",83,"21",2014
"45","Statistics For The Social Scie","PSY307","24","10",80,"21",2014
"46","Statistics For Social Sci Act","PSY307A","24","10",80,"21",2014
"47","Family Violence","SW322","15","N<10",90,"14",2014
"48","Program Evaluation","PSY430","15","N<10",54,"16",2014
"49","Theories of Counseling","PSY412","N<10","N<10",20,"N<10",2014
"50","Child Psych For Educators","PSY206","10","N<10",27,"N<10",2014
"51","The Psychology of Identity","PSY321","N<10","N<10",19,"11",2014
"52","Community Psychology","PSY425","N<10","N<10",31,"N<10",2014
"53","Human Relations","PSY314","N<10","N<10",10,"N<10",2014
"54","Contemporary Social Problems","SOC301","18","N<10",56,"19",2014
"55","Social Psychology","PSY401","23","N<10",66,"19",2014
"56","Psychology of Women","PSY322","N<10","N<10",32,"N<10",2014
"57","Contemporary Sociological Thry","SOC306","15","N<10",77,"N<10",2014
"58","Probation and Parole","SW320","15","N<10",58,"N<10",2014
"59","Soc Welfare Policies and Issue","SW431","N<10","N<10",17,"N<10",2014
"60","Cognitive Processes","PSY334","27","N<10",77,"17",2014
"61","Multicultural Psychology","PSY325","54","14",148,"63",2014
"62","Health Psychology","PSY326","109","19",238,"121",2014
"63","Field Work","SW402","N<10","N<10",33,"N<10",2014
