"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","Introduction To Psychology","PSY2201","3.46","3.15",3.23,"3.51",2020
"2","Research Methods In Psychology","PSY2204","3.36","3",3.04,"3.65",2020
"3","Statistics For Sociology","SOC3307","3.35","3",3.32,"3.42",2020
"4","Mind Brain Behvr Intgrtd View","PSY2210","3.44","3.35",3.38,"3.5",2020
"5","Contemp Sociology Theory","SOC3306","3.53","N<10",3.4,"3.41",2020
"6","Statistics For Psychology","PSY3307","3.51","N<10",3.39,"3.37",2020
"7","Soc Inequality Sport and Body","SOC4451","3.46","N<10",3.3,"2.81",2020
"8","Statistics For Sociology Lab","SOC3307L","3.56","3.1",3.45,"3.63",2020
"9","Soc Welfare Policy Issues","SW3310","3.64","N<10",3.43,"N<10",2020
"10","Multicultural Psychology","PSY3325","3.38","3.35",3.13,"3.39",2020
"11","Organizational Psychology","PSY3332","3.78","N<10",3.55,"3.51",2020
"12","Socialization,  Self and Socie","SOC4402","3.81","2.87",3.55,"N<10",2020
"13","Crime Criminalization Society","SOC3345","3.35","N<10",3.41,"3.29",2020
"14","Statistics For Psychology Act","PSY3307A","3.54","N<10",3.42,"3.35",2020
"15","Survey Research","PSY4444","3.67","N<10",3.47,"3.63",2020
"16","Social Work Practice","SW3301","N<10","N<10",3.35,"N<10",2020
"17","Social Strat and Inequality","SOC3309","3.79","3.5",3.65,"3.64",2020
"18","Social Work Pract Lab","SW3301L","N<10","N<10",3.37,"N<10",2020
"19","Research Methods In Sociology","SOC2205","3.51","2.94",3.42,"3.59",2020
"20","Basic Developmental Psychology","PSY3305","3.67","3.59",3.65,"3.77",2020
"21","Hr In Organizations","PSY3314","N<10","N<10",3.66,"N<10",2020
"22","Cognitive Processes","PSY3334","3.53","N<10",3.37,"3.44",2020
"23","Community and Urban Sociology","SOC3325","3.27","N<10",3.42,"N<10",2020
"24","Crm Theory","CRM3350","N<10","N<10",2.92,"N<10",2020
"25","Introduction To Criminology","CRM2201","3.68","N<10",3.51,"3.81",2020
"26","Impact Colonization On Hawaii","SOC4465","N<10","N<10",3.29,"N<10",2020
"27","Memory and Amnesia","PSY3335","2.81","N<10",3.19,"3.47",2020
"28","Careers In Psychology","PSY2222","3.82","N<10",3.83,"3.77",2020
"29","Intro Soc Work and Soc Welfare","SW2201","N<10","N<10",3.4,"N<10",2020
"30","Senior Seminar","PSY4611","3.64","3.56",3.61,"3.81",2020
"31","Classic Sociological Theory","SOC3305","3.77","3.55",3.71,"3.8",2020
"32","Senior Symposium","SOC4611","3.43","3.45",3.59,"3.33",2020
"33","Abnormal Psychology","PSY4150","3.3","2.69",3.14,"3.49",2020
"34","Latina and O Sociology","SOC3313","N<10","N<10",3.4,"N<10",2020
"35","Basic Counseling Skills","PSY4170","3.46","3.25",3.44,"3.63",2020
"36","Leadership and Teams","PSY4490","N<10","N<10",3.74,"N<10",2020
"37","Political Violence","CRM3380","N<10","N<10",3.2,"N<10",2020
"38","Sociology of The Family","SOC3321","3.55","N<10",3.16,"N<10",2020
"39","Qualitative Mthds In Psych Act","PSY4404A","3.79","N<10",3.54,"3.54",2020
"40","Quantitative Mthds Soclgy Lab","SOC4100L","3.57","N<10",3.55,"N<10",2020
"41","Psychology of Women","PSY3322","3.69","N<10",3.57,"3.67",2020
