"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","2.95","2.11",2.53,"2.92",2014
"2","Principles of Sociology","SOC201","2.83","2.18",2.55,"2.82",2014
"3","Principles of Psychology I","PSY202","2.39","2.03",2.02,"2.35",2014
"4","Juvenile Delinquency","SOC360","3.35","N<10",3.28,"2.43",2014
"5","Socialization,  Self and Socie","SOC402","3.31","N<10",3.25,"N<10",2014
"6","Abnormal Psychology","PSY415","3.07","1.97",2.66,"2.65",2014
"7","Research Methods In Psychology","PSY204","2.77","N<10",2.84,"2.87",2014
"8","Human Sexual Behav,  Relatnshi","PSY455","2.87","2.85",2.78,"2.7",2014
"9","Family As A Social Institution","SOC321","N<10","N<10",2.7,"N<10",2014
"10","Basic Developmental Psychology","PSY305","2.78","N<10",2.7,"2.92",2014
"11","Mind, Brain, and Behavior","PSY210","2.59","2.52",2.21,"2.18",2014
"12","Adolescent Psychology","PSY312","2.98","N<10",3.03,"2.72",2014
"13","Senior Seminar","SOC498","3.59","N<10",3.23,"3.21",2014
"14","Basic Counseling Skills","PSY417","3.33","N<10",3.23,"3.09",2014
"15","Survey Research Activity","SOC444A","N<10","N<10",3.26,"2.83",2014
"16","Criminology","SOC302","2.72","N<10",2.65,"2.33",2014
"17","Principles of Sociology","SOC202","2.57","N<10",2.48,"2.03",2014
"18","Survey of Social Welfare","SW300","N<10","N<10",3.17,"N<10",2014
"19","Exper Psy and Res Meth and Des","PSY433L","3.24","N<10",2.89,"2.9",2014
"20","Classical Sociological Theory","SOC305","2.79","N<10",2.46,"2.67",2014
"21","Social Stratificationand Inequ","SOC309","3.14","N<10",2.8,"2.28",2014
"22","Psychology of Personality","PSY403","2.69","N<10",2.81,"2.58",2014
"23","Exper Psy and Res Meth and Des","PSY433","3.24","N<10",2.89,"2.88",2014
"24","Urban Sociology","SOC401","N<10","N<10",3.42,"N<10",2014
"25","Child Psych,  Early Childhood","PSY310","3.7","N<10",2.93,"3.02",2014
"26","Sociology of Minority Commun","SOC323","3.33","N<10",3.28,"2.96",2014
"27","Treatment of Law Violators","SW318","N<10","N<10",3.23,"N<10",2014
"28","Child Psych,  The Middle Years","PSY311","N<10","N<10",2.28,"N<10",2014
"29","Survey Research","SOC444","N<10","N<10",3.03,"2.73",2014
"30","Ethnic Relations In America","SOC320","3.08","N<10",2.76,"3.06",2014
"31","Social Work Practice","SW301","N<10","N<10",3.37,"N<10",2014
"32","Gender and Sexuality","SOC328","3.31","N<10",2.96,"N<10",2014
"33","Politics As A Soc Institution","SOC322","N<10","N<10",2.52,"N<10",2014
"34","Theories of Learning","PSY402","N<10","N<10",2.02,"1.62",2014
"35","Statistics For The Social Sci","SOC307","3.76","N<10",3.62,"3.46",2014
"36","Statistics For Social Sci Act","SOC307A","3.76","N<10",3.62,"3.46",2014
"37","Death and Dying","SW470","N<10","N<10",3.43,"N<10",2014
"38","Industrial and Organizatio Psy","PSY332","3.6","N<10",3.53,"3.63",2014
"39","Rsrch Methods In Sociology II","SOC205","3.73","N<10",3.76,"N<10",2014
"40","Research Methods In Sociolgy I","SOC204","N<10","N<10",2.92,"N<10",2014
"41","Leadership and Teams","PSY490","N<10","N<10",3.24,"N<10",2014
"42","Spec Topics Ud Students","SOC499","3.57","N<10",3.18,"3.09",2014
"43","Organizational Change and Inte","PSY452","3.55","N<10",3.77,"3.53",2014
"44","Senior Seminar","PSY498","3.71","N<10",3.48,"3.49",2014
"45","Statistics For The Social Scie","PSY307","3.14","2.9",3,"2.86",2014
"46","Statistics For Social Sci Act","PSY307A","3.14","2.9",3,"2.86",2014
"47","Family Violence","SW322","3.47","N<10",3.47,"3.26",2014
"48","Program Evaluation","PSY430","3.49","N<10",3.38,"3.31",2014
"49","Theories of Counseling","PSY412","N<10","N<10",3.26,"N<10",2014
"50","Child Psych For Educators","PSY206","2.57","N<10",2.35,"N<10",2014
"51","The Psychology of Identity","PSY321","N<10","N<10",2.85,"3.12",2014
"52","Community Psychology","PSY425","N<10","N<10",2.97,"N<10",2014
"53","Human Relations","PSY314","N<10","N<10",3.8,"N<10",2014
"54","Contemporary Social Problems","SOC301","3.16","N<10",3.01,"3.11",2014
"55","Social Psychology","PSY401","3.03","N<10",2.96,"2.77",2014
"56","Psychology of Women","PSY322","N<10","N<10",2.69,"N<10",2014
"57","Contemporary Sociological Thry","SOC306","3.64","N<10",3.49,"N<10",2014
"58","Probation and Parole","SW320","3.38","N<10",3.26,"N<10",2014
"59","Soc Welfare Policies and Issue","SW431","N<10","N<10",3.65,"N<10",2014
"60","Cognitive Processes","PSY334","2.79","N<10",2.55,"2.86",2014
"61","Multicultural Psychology","PSY325","3.08","2.95",2.98,"3.07",2014
"62","Health Psychology","PSY326","3.17","2.75",3.06,"3.06",2014
"63","Field Work","SW402","N<10","N<10",4,"N<10",2014
