"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2016 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"FirstGen GPA Summary"
Course,"Course Code","FirstGen Enrollment","NotFirstGen Enrollment","FirstGen GPA","NotFirstGen GPA","GPA Gap"
"General Psychology",PSY201,523,"1,106",2.39,2.56,0.18
"Human Sexual Behav,  Relatnshi",PSY455,277,504,2.51,2.71,0.2
"Mind, Brain, and Behavior",PSY210,118,303,2.13,2.42,0.29
"Principles of Sociology",SOC201,174,361,2.16,2.36,0.2
"Multicultural Psychology",PSY325,134,225,2.79,2.98,0.19
"Principles of Psychology I",PSY202,89,182,2.34,2.58,0.24
"Research Methods In Sociolgy I",SOC204,70,77,2.94,3.32,0.38
"Basic Developmental Psychology",PSY305,45,51,2.63,3.01,0.38
"Statistics For The Social Scie",PSY307,61,81,2.92,3.14,0.22
"Statistics For Social Sci Act",PSY307A,61,81,2.92,3.14,0.22
"Child Psych,  Early Childhood",PSY310,35,52,2.81,3.13,0.32
"Statistics For The Social Sci",SOC307,24,39,3.03,3.44,0.42
"Cognitive Processes",PSY334,38,100,3.03,2.85,-0.18
"Juvenile Delinquency",SOC360,49,69,2.9,2.69,-0.21
"Exper Psy and Res Meth and Des",PSY433,67,96,3.01,3.16,0.15
"Exper Psy and Res Meth and Des",PSY433L,67,96,3.01,3.16,0.15
"Statistics For Social Sci Act",SOC307A,24,39,3.22,3.59,0.37
"Contemporary Sociological Thry",SOC306,57,55,3.14,3.35,0.2
"Senior Seminar",PSY498,46,84,3.66,3.83,0.17
"Family Violence",SW322,43,44,3.45,3.2,-0.25
"Theories of Learning",PSY402,14,27,3,2.52,-0.48
"Treatment of Law Violators",SW318,37,53,2.95,2.77,-0.18
"Memory and Amnesia",PSY335,17,30,3.25,2.92,-0.33
"Religion In American Life",SOC324,16,18,2.81,3.25,0.44
"Abnormal Psychology",PSY415,63,122,2.8,2.72,-0.08
"Classical Sociological Theory",SOC305,59,75,2.77,2.87,0.1
"Senior Seminar",SOC498,64,57,3.41,3.51,0.11
Criminology,SOC302,43,101,2.75,2.83,0.09
"Psychology of Women",PSY322,41,54,2.9,2.77,-0.13
"Social Inequality and Sport",SOC451,18,26,2.95,2.67,-0.28
"Ethnic Relations In America",SOC320,16,32,3.67,3.42,-0.25
"Socialization,  Self and Socie",SOC402,47,65,2.68,2.79,0.1
"Rsrch Methods In Sociology II",SOC205,61,73,3.44,3.52,0.08
"Gender and Sexuality",SOC328,45,61,2.87,2.77,-0.1
"Child Psych,  The Middle Years",PSY311,22,23,2.77,3.01,0.24
"Basic Counseling Skills",PSY417,34,62,3.27,3.38,0.11
"Research Methods In Psychology",PSY204,24,80,2.8,2.9,0.1
"Sensation and Perception",PSY460,18,27,3.54,3.33,-0.2
"Probation and Parole",SW320,49,39,2.99,3.09,0.1
"Social Change",SOC340,11,16,3.39,3.09,-0.31
"Industrial and Organizatio Psy",PSY332,30,66,3.68,3.59,-0.08
"Adolescent Psychology",PSY312,39,56,3.15,3.23,0.08
"Program Evaluation",PSY430,39,67,3.68,3.62,-0.06
"Survey of Social Welfare",SW300,16,11,3.49,3.73,0.24
"Survey Research",SOC444,15,17,3.49,3.29,-0.19
"Health Psychology",PSY326,200,370,2.56,2.57,0.01
"Survey Research Activity",SOC444A,15,17,3.64,3.49,-0.15
"Psychology of Personality",PSY403,49,82,2.86,2.9,0.04
"Soc Welfare Policies and Issue",SW431,16,10,3.69,3.87,0.18
"Organizational Change and Inte",PSY452,17,31,3.49,3.4,-0.09
"Theories of Counseling",PSY412,10,16,2.93,2.77,-0.16
"Principles of Sociology",SOC202,20,48,2.22,2.27,0.06
"Social Stratificationand Inequ",SOC309,47,62,2.72,2.75,0.04
"Physiological Psychology",PSY303,12,12,3.31,3.21,-0.09
"Politics As A Soc Institution",SOC322,22,24,2.73,2.68,-0.05
"Urban Sociology",SOC401,22,23,3.35,3.39,0.04
"Qualitative Methds In Psychlgy",PSY404,13,11,3.86,3.79,-0.07
"Spec Study Ld Students",PSY200,12,19,4,3.95,-0.05
"Physiological Psychology Lab",PSY303L,12,12,4,3.94,-0.06
"Spec Study Ud Students",PSY400,20,27,4,3.98,-0.02
"Social Work Practice",SW301,29,31,3.45,3.47,0.02
"Social Psychology",PSY401,33,62,3.2,3.2,-0
"Family As A Social Institution",SOC321,19,22,2.79,2.79,-0
"Contemporary Social Problems",SOC301,77,137,3,3,-0
"Field Work",SW402,42,47,4,4,-0

