"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2013 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Pell Status Summary"
Course,"Course Code","Pell Enrollment","Non-Pell Enrollment","Pell GPA","Non-Pell GPA","GPA Gap"
"General Psychology",PSY201,891,993,2.68,2.83,0.15
"Human Sexual Behav,  Relatnshi",PSY455,422,400,2.79,3.03,0.24
"Principles of Psychology I",PSY202,148,103,2.04,2.28,0.24
"Mind, Brain, and Behavior",PSY210,130,139,2.42,2.59,0.17
"Classical Sociological Theory",SOC305,78,48,2.88,2.88,-0.01
"Health Psychology",PSY326,284,332,2.96,2.97,0.01
"Principles of Sociology",SOC201,304,305,2.5,2.62,0.11
"Gender and Sexuality",SOC328,73,69,3.44,3.32,-0.12
"Socialization,  Self and Socie",SOC402,73,52,3.5,3.2,-0.3
"Exper Psy and Res Meth and Des",PSY433,78,85,2.52,2.96,0.44
"Exper Psy and Res Meth and Des",PSY433L,78,85,2.52,2.96,0.44
"Multicultural Psychology",PSY325,129,149,2.99,2.93,-0.07
"Theories of Counseling",PSY412,51,45,2.86,3.02,0.17
"Psychology of Personality",PSY403,79,64,2.59,2.66,0.07
"Abnormal Psychology",PSY415,121,160,2.81,2.9,0.09
"Psychology of Women",PSY322,25,22,2.5,2.71,0.21
"Research Methods In Psychology",PSY204,61,69,3.08,2.86,-0.22
"Adolescent Psychology",PSY312,77,66,3.09,3.26,0.17
"Child Psych,  Early Childhood",PSY310,56,40,2.96,3.13,0.16
"Senior Seminar",SOC498,51,40,3.69,3.75,0.06
"Theories of Learning",PSY402,42,44,1.56,1.7,0.13
"Probation and Parole",SW320,64,32,2.96,3.13,0.17
"The Psychology of Identity",PSY321,25,23,2.72,3.03,0.31
"Treatment of Law Violators",SW318,42,16,2.88,2.6,-0.27
"Contemporary Sociological Thry",SOC306,75,43,3.07,2.89,-0.18
Criminology,SOC302,72,56,2.66,2.65,-0
"Principles of Sociology",SOC202,46,37,2.83,3.01,0.18
"Statistics For The Social Scie",PSY307,70,72,2.81,3.15,0.34
"Statistics For Social Sci Act",PSY307A,70,72,2.81,3.15,0.34
"Child Psych,  The Middle Years",PSY311,25,23,2.88,2.46,-0.42
"Contemporary Social Problems",SOC301,67,54,2.74,2.91,0.17
"Religion In American Life",SOC324,28,19,3.29,3.37,0.08
"Ethnic Relations In America",SOC320,26,22,3.52,3.41,-0.11
"Spec Topics Ud Students",SOC499,15,11,3.69,3.4,-0.29
"Social Stratificationand Inequ",SOC309,82,51,2.75,2.84,0.09
"Memory and Amnesia",PSY335,22,26,2.33,2.38,0.05
"Family As A Social Institution",SOC321,24,21,2.96,2.87,-0.08
"History and Systems",PSY410,22,20,2.27,2.62,0.34
"Death and Dying",SW470,22,10,3.36,3.4,0.04
"Survey of Social Welfare",SW300,27,18,3.62,3.65,0.03
"Senior Seminar",PSY498,61,55,3.56,3.59,0.02
"Social Psychology",PSY401,27,20,2.62,2.88,0.26
"Program Evaluation",PSY430,103,96,3.55,3.52,-0.03
"Social Inequality and Sport",SOC451,24,22,3.3,3.01,-0.29
"Basic Counseling Skills",PSY417,42,54,3.36,3.23,-0.12
"Rsrch Methods In Sociology II",SOC205,46,28,3.78,3.8,0.01
"Sociology of Minority Commun",SOC323,42,27,3.58,3.7,0.12
"Statistics For The Social Sci",SOC307,66,49,3.36,3.4,0.04
"Family Violence",SW322,28,18,3.68,3.65,-0.03
"Survey Research",SOC444,37,31,3.46,3.33,-0.13
"Social Work Practice",SW301,47,28,3.08,3.15,0.07
"Technology and Society",SOC440,23,24,3.77,3.58,-0.19
"Juvenile Delinquency",SOC360,55,27,3.43,3.46,0.03
"Research Methods In Sociolgy I",SOC204,60,35,2.67,2.86,0.18
"Industrial and Organizatio Psy",PSY332,44,47,3.52,3.41,-0.11
"Soc Welfare Policies and Issue",SW431,20,N<10,3.8,N<10,N/A
"Survey Research Activity",SOC444A,37,31,3.87,3.51,-0.36
"Basic Developmental Psychology",PSY305,80,64,2.65,2.79,0.13
"Statistics For Social Sci Act",SOC307A,66,49,3.48,3.44,-0.04
"Cognitive Processes",PSY334,44,48,2.49,2.61,0.13
"Urban Sociology",SOC401,27,19,3.32,3.18,-0.15
"Field Work",SW402,61,26,3.98,4,0.02
"Human Relations",PSY314,40,33,3.65,3.8,0.15

