"","Course","Course Code","White","African American","Latino/a","Asian","year"
"1","General Psychology","PSY201","262","40",412,"345",2011
"2","Principles of Sociology","SOC201","106","23",232,"106",2011
"3","Mind, Brain, and Behavior","PSY210","61","10",122,"42",2011
"4","Human Sexual Behav,  Relatnshi","PSY455","67","14",132,"61",2011
"5","Principles of Sociology","SOC202","54","N<10",137,"44",2011
"6","Statistics For Social Sci Act","PSY307A","37","N<10",93,"24",2011
"7","Statistics For The Social Scie","PSY307","37","N<10",93,"24",2011
"8","Principles of Psychology I","PSY202","65","12",185,"71",2011
"9","Theories of Learning","PSY402","13","N<10",38,"11",2011
"10","Socialization,  Self and Socie","SOC402","23","N<10",81,"21",2011
"11","Exper Psy and Res Meth and Des","PSY433","46","N<10",89,"28",2011
"12","Basic Developmental Psychology","PSY305","25","N<10",70,"24",2011
"13","Politics As A Soc Institution","SOC322","18","N<10",68,"22",2011
"14","Ethnic Relations In America","SOC320","N<10","N<10",24,"12",2011
"15","Urban Sociology","SOC401","22","N<10",60,"22",2011
"16","Social Psychology","PSY401","41","N<10",100,"28",2011
"17","History and Systems","PSY410","28","N<10",43,"12",2011
"18","Multicultural Psychology","PSY325","48","10",130,"42",2011
"19","Research Methods In Psychology","PSY204","44","N<10",126,"29",2011
"20","Juvenile Delinquency","SOC360","31","N<10",83,"15",2011
"21","Health Psychology","PSY326","57","N<10",102,"46",2011
"22","Contemporary Sociological Thry","SOC306","13","N<10",69,"22",2011
"23","Statistics For Social Sci Act","SOC307A","13","N<10",48,"19",2011
"24","Statistics For The Social Sci","SOC307","13","N<10",48,"19",2011
"25","Psychology of Personality","PSY403","32","N<10",67,"27",2011
"26","Prin of Behavorial Management","PSY450","12","N<10",41,"12",2011
"27","Abnormal Psychology","PSY415","36","N<10",87,"41",2011
"28","Treatment of Law Violators","SW318","10","N<10",64,"10",2011
"29","Rsrch Methods In Sociology II","SOC205","20","N<10",78,"26",2011
"30","Classical Sociological Theory","SOC305","24","N<10",79,"26",2011
"31","Probation and Parole","SW320","N<10","N<10",31,"N<10",2011
"32","Survey of Social Welfare","SW300","18","N<10",74,"10",2011
"33","Theories of Counseling","PSY412","30","N<10",59,"31",2011
"34","Exper Psy and Res Meth and Des","PSY433L","46","N<10",89,"28",2011
"35","Family Violence","SW322","20","N<10",93,"16",2011
"36","Criminology","SOC302","30","N<10",80,"18",2011
"37","Field Work","SW402","12","N<10",69,"17",2011
"38","Leadership and Teams","PSY490","N<10","N<10",22,"N<10",2011
"39","Program Evaluation","PSY430","18","N<10",44,"19",2011
"40","Cognitive Processes","PSY334","32","N<10",66,"21",2011
"41","The Psychology of Identity","PSY321","31","N<10",79,"19",2011
"42","Senior Seminar","PSY498","34","N<10",93,"33",2011
"43","Social Work Practice","SW301","N<10","N<10",30,"10",2011
"44","Social Stratificationand Inequ","SOC309","21","N<10",87,"18",2011
"45","Survey Research Activity","SOC444A","N<10","N<10",27,"16",2011
"46","Child Psych,  Early Childhood","PSY310","20","N<10",78,"24",2011
"47","Industrial and Organizatio Psy","PSY332","12","N<10",20,"N<10",2011
"48","Psychological Testing","PSY416","N<10","N<10",31,"N<10",2011
"49","Memory and Amnesia","PSY335","N<10","N<10",23,"N<10",2011
"50","Spec Topics Ud Students","SOC499","N<10","N<10",14,"N<10",2011
"51","Sensation and Perception","PSY460","12","N<10",15,"N<10",2011
"52","Sensation and Perception Act","PSY460A","12","N<10",15,"N<10",2011
"53","Community Psychology","PSY425","N<10","N<10",21,"10",2011
"54","Social Inequality and Sport","SOC451","10","N<10",19,"N<10",2011
"55","Contemporary Social Problems","SOC301","27","N<10",52,"29",2011
"56","Research Methods In Sociolgy I","SOC204","30","N<10",78,"26",2011
"57","Soc Welfare Policies and Issue","SW431","N<10","N<10",36,"11",2011
"58","Senior Seminar","SOC498","18","N<10",70,"22",2011
"59","Psychology of Women","PSY322","18","N<10",45,"12",2011
"60","Sociology of Minority Commun","SOC323","N<10","N<10",26,"10",2011
"61","Social Change","SOC340","N<10","N<10",27,"10",2011
"62","Survey Research","SOC444","N<10","N<10",27,"16",2011
