"Data Download for Which Courses Have the Largest GPA Equity Gaps?"
"CSV from: ",https://csusuccess.dashboards.calstate.edu/public/faculty-dashboard/achievement-gaps-gpa
"CSV created on:  ","Sun, Dec 12, 2021 5:32 PM America/Los_Angeles"
Pomona,"College of Letters, Arts, & Social Sciences","Psychology and Sociology","2016 - Academic Year","Largest GPA Gap AND Highest Enrollment"

"Gender GPA Summary"
Course,"Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap"
"General Psychology",PSY201,820,809,2.52,2.49,0.03
"Human Sexual Behav,  Relatnshi",PSY455,456,325,2.69,2.56,0.13
"Mind, Brain, and Behavior",PSY210,231,190,2.38,2.3,0.08
"Principles of Sociology",SOC201,328,207,2.29,2.29,0
"Multicultural Psychology",PSY325,233,126,3.03,2.69,0.35
"Principles of Psychology I",PSY202,184,87,2.5,2.49,0.01
"Research Methods In Sociolgy I",SOC204,103,44,3.08,3.28,-0.2
"Basic Developmental Psychology",PSY305,65,31,2.97,2.56,0.41
"Statistics For The Social Scie",PSY307,116,26,3.08,2.92,0.16
"Statistics For Social Sci Act",PSY307A,116,26,3.08,2.92,0.16
"Child Psych,  Early Childhood",PSY310,73,14,3.05,2.74,0.31
"Statistics For The Social Sci",SOC307,49,14,3.23,3.48,-0.25
"Cognitive Processes",PSY334,100,38,3.01,2.59,0.43
"Juvenile Delinquency",SOC360,82,36,2.81,2.69,0.13
"Exper Psy and Res Meth and Des",PSY433,131,32,3.14,2.97,0.17
"Exper Psy and Res Meth and Des",PSY433L,131,32,3.14,2.97,0.17
"Statistics For Social Sci Act",SOC307A,49,14,3.39,3.67,-0.28
"Contemporary Sociological Thry",SOC306,83,29,3.25,3.23,0.01
"Senior Seminar",PSY498,106,24,3.79,3.69,0.1
"Family Violence",SW322,62,25,3.42,3.09,0.33
"Theories of Learning",PSY402,31,10,2.6,2.93,-0.33
"Treatment of Law Violators",SW318,62,28,2.86,2.8,0.06
"Memory and Amnesia",PSY335,37,10,3.11,2.77,0.35
"Religion In American Life",SOC324,27,N<10,2.92,N<10,N/A
"Abnormal Psychology",PSY415,149,36,2.79,2.57,0.21
"Classical Sociological Theory",SOC305,96,38,2.79,2.91,-0.12
"Senior Seminar",SOC498,89,32,3.46,3.44,0.02
Criminology,SOC302,97,47,2.93,2.55,0.38
"Psychology of Women",PSY322,73,22,2.93,2.45,0.48
"Social Inequality and Sport",SOC451,16,28,2.6,2.89,-0.29
"Ethnic Relations In America",SOC320,34,14,3.57,3.33,0.23
"Socialization,  Self and Socie",SOC402,87,25,2.79,2.56,0.23
"Rsrch Methods In Sociology II",SOC205,98,36,3.48,3.5,-0.02
"Gender and Sexuality",SOC328,81,25,2.88,2.6,0.28
"Child Psych,  The Middle Years",PSY311,38,N<10,2.94,N<10,N/A
"Basic Counseling Skills",PSY417,81,15,3.38,3.12,0.26
"Research Methods In Psychology",PSY204,72,32,2.94,2.75,0.19
"Sensation and Perception",PSY460,31,14,3.46,3.33,0.13
"Probation and Parole",SW320,67,21,3.02,3.06,-0.04
"Social Change",SOC340,19,N<10,3.15,N<10,N/A
"Industrial and Organizatio Psy",PSY332,77,19,3.65,3.51,0.14
"Adolescent Psychology",PSY312,74,21,3.18,3.25,-0.08
"Program Evaluation",PSY430,83,23,3.65,3.62,0.03
"Survey of Social Welfare",SW300,20,N<10,3.61,N<10,N/A
"Survey Research",SOC444,24,N<10,3.39,N<10,N/A
"Health Psychology",PSY326,343,227,2.72,2.33,0.4
"Survey Research Activity",SOC444A,24,N<10,3.58,N<10,N/A
"Psychology of Personality",PSY403,93,38,2.88,2.89,-0
"Soc Welfare Policies and Issue",SW431,22,N<10,3.77,N<10,N/A
"Organizational Change and Inte",PSY452,39,N<10,3.55,N<10,N/A
"Theories of Counseling",PSY412,23,N<10,3.06,N<10,N/A
"Principles of Sociology",SOC202,46,22,2.3,2.17,0.13
"Social Stratificationand Inequ",SOC309,77,32,2.82,2.55,0.26
"Physiological Psychology",PSY303,20,N<10,3.35,N<10,N/A
"Politics As A Soc Institution",SOC322,28,18,2.64,2.8,-0.15
"Urban Sociology",SOC401,23,22,3.36,3.38,-0.02
"Qualitative Methds In Psychlgy",PSY404,21,N<10,3.87,N<10,N/A
"Spec Study Ld Students",PSY200,30,N<10,3.97,N<10,N/A
"Physiological Psychology Lab",PSY303L,20,N<10,3.96,N<10,N/A
"Spec Study Ud Students",PSY400,42,N<10,3.98,N<10,N/A
"Social Work Practice",SW301,51,N<10,3.42,N<10,N/A
"Social Psychology",PSY401,67,28,3.33,2.88,0.45
"Family As A Social Institution",SOC321,27,14,2.91,2.55,0.37
"Contemporary Social Problems",SOC301,120,94,3.02,2.97,0.05
"Field Work",SW402,78,11,4,4,-0

