"","Course","Course Code","Female Enrollment","Male Enrollment","Female GPA","Male GPA","GPA Gap","year"
"1","General Psychology","PSY201",568,"639",2.79,"2.71","0.07",2011
"2","Principles of Sociology","SOC201",313,"198",2.78,"2.8","-0.02",2011
"3","Mind, Brain, and Behavior","PSY210",172,"99",2.17,"2.25","-0.08",2011
"4","Human Sexual Behav,  Relatnshi","PSY455",200,"125",3.29,"3.12","0.17",2011
"5","Principles of Sociology","SOC202",197,"73",2.71,"2.74","-0.03",2011
"6","Statistics For Social Sci Act","PSY307A",138,"49",2.87,"2.74","0.13",2011
"7","Statistics For The Social Scie","PSY307",138,"49",2.85,"2.61","0.25",2011
"8","Principles of Psychology I","PSY202",234,"123",2.72,"2.58","0.13",2011
"9","Theories of Learning","PSY402",52,"22",2.05,"2.09","-0.04",2011
"10","Socialization,  Self and Socie","SOC402",98,"45",3.34,"2.99","0.34",2011
"11","Exper Psy and Res Meth and Des","PSY433",135,"55",2.74,"2.56","0.19",2011
"12","Basic Developmental Psychology","PSY305",108,"36",3.59,"3.44","0.15",2011
"13","Politics As A Soc Institution","SOC322",77,"49",3.29,"2.99","0.3",2011
"14","Ethnic Relations In America","SOC320",29,"17",2.94,"2.47","0.47",2011
"15","Urban Sociology","SOC401",78,"43",3.28,"3.33","-0.06",2011
"16","Social Psychology","PSY401",139,"53",2.9,"2.8","0.1",2011
"17","History and Systems","PSY410",62,"34",2.74,"2.95","-0.2",2011
"18","Multicultural Psychology","PSY325",178,"84",3.54,"3.37","0.17",2011
"19","Research Methods In Psychology","PSY204",180,"51",2.54,"2.67","-0.13",2011
"20","Juvenile Delinquency","SOC360",98,"46",3.16,"3.01","0.15",2011
"21","Health Psychology","PSY326",156,"97",2.89,"2.74","0.15",2011
"22","Contemporary Sociological Thry","SOC306",76,"43",3.22,"2.99","0.22",2011
"23","Statistics For Social Sci Act","SOC307A",58,"36",3.31,"3.47","-0.16",2011
"24","Statistics For The Social Sci","SOC307",58,"36",3.31,"3.47","-0.17",2011
"25","Psychology of Personality","PSY403",96,"46",2.85,"2.5","0.34",2011
"26","Prin of Behavorial Management","PSY450",61,"25",2.88,"2.76","0.12",2011
"27","Abnormal Psychology","PSY415",137,"55",2.88,"2.72","0.16",2011
"28","Treatment of Law Violators","SW318",73,"27",3.33,"2.78","0.55",2011
"29","Rsrch Methods In Sociology II","SOC205",88,"49",3.66,"3.39","0.27",2011
"30","Classical Sociological Theory","SOC305",95,"48",2.74,"2.8","-0.06",2011
"31","Probation and Parole","SW320",36,"14",3.64,"3.1","0.54",2011
"32","Survey of Social Welfare","SW300",86,"28",3.44,"3.11","0.34",2011
"33","Theories of Counseling","PSY412",103,"42",2.85,"2.62","0.23",2011
"34","Exper Psy and Res Meth and Des","PSY433L",135,"55",2.95,"2.61","0.34",2011
"35","Family Violence","SW322",106,"38",3.71,"3.37","0.34",2011
"36","Criminology","SOC302",102,"42",2.8,"2.79","0.01",2011
"37","Field Work","SW402",96,"15",4,"3.47","0.53",2011
"38","Leadership and Teams","PSY490",25,"21",3.65,"3.65","0",2011
"39","Program Evaluation","PSY430",66,"31",3.69,"3.44","0.25",2011
"40","Cognitive Processes","PSY334",109,"35",2.46,"2.54","-0.08",2011
"41","The Psychology of Identity","PSY321",98,"45",2.76,"2.53","0.23",2011
"42","Senior Seminar","PSY498",133,"56",3.45,"3.47","-0.02",2011
"43","Social Work Practice","SW301",40,"12",3.31,"3.33","-0.03",2011
"44","Social Stratificationand Inequ","SOC309",104,"41",3.34,"3.32","0.03",2011
"45","Survey Research Activity","SOC444A",37,"22",3.98,"3.43","0.55",2011
"46","Child Psych,  Early Childhood","PSY310",108,"36",3.63,"3.46","0.16",2011
"47","Industrial and Organizatio Psy","PSY332",33,"15",3.48,"3.42","0.05",2011
"48","Psychological Testing","PSY416",34,"14",3.33,"3.41","-0.07",2011
"49","Memory and Amnesia","PSY335",30,"12",3.01,"2.67","0.34",2011
"50","Spec Topics Ud Students","SOC499",26,"N<10",3.83,"N<10","N/A",2011
"51","Sensation and Perception","PSY460",24,"11",2.28,"1.64","0.64",2011
"52","Sensation and Perception Act","PSY460A",24,"11",2.28,"1.64","0.64",2011
"53","Community Psychology","PSY425",41,"N<10",2.84,"N<10","N/A",2011
"54","Social Inequality and Sport","SOC451",20,"24",3.12,"2.42","0.69",2011
"55","Contemporary Social Problems","SOC301",64,"63",2.95,"2.74","0.21",2011
"56","Research Methods In Sociolgy I","SOC204",101,"44",3.02,"2.96","0.06",2011
"57","Soc Welfare Policies and Issue","SW431",51,"11",3.75,"3.76","-0.01",2011
"58","Senior Seminar","SOC498",77,"42",3.44,"3.43","0.01",2011
"59","Psychology of Women","PSY322",83,"10",2.61,"2.07","0.54",2011
"60","Sociology of Minority Commun","SOC323",34,"14",3.59,"3.57","0.02",2011
"61","Social Change","SOC340",35,"12",3.28,"2.94","0.33",2011
"62","Survey Research","SOC444",37,"22",3.51,"2.93","0.58",2011
